year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1949,1949,30,Austria,1.7,1.7,3.4,38.713,-13.6,October 1949,Austrian Social Democratic Party
1949,1949,70,Austria,0.0,2.9,8.6,11.667,4.7,October 1949,League of Independents
1949,1949,50,Austria,0.0,0.0,8.9,44.032,32.2,October 1949,Austrian People’s Party
1949,1950,30,Austria,1.7,1.7,3.4,38.713,-13.6,October 1949,Austrian Social Democratic Party
1949,1950,70,Austria,0.0,2.9,8.6,11.667,4.7,October 1949,League of Independents
1949,1950,50,Austria,0.0,0.0,8.9,44.032,32.2,October 1949,Austrian People’s Party
1949,1951,30,Austria,1.7,1.7,3.4,38.713,-13.6,October 1949,Austrian Social Democratic Party
1949,1951,70,Austria,0.0,2.9,8.6,11.667,4.7,October 1949,League of Independents
1949,1951,50,Austria,0.0,0.0,8.9,44.032,32.2,October 1949,Austrian People’s Party
1949,1952,30,Austria,1.7,1.7,3.4,38.713,-13.6,October 1949,Austrian Social Democratic Party
1949,1952,70,Austria,0.0,2.9,8.6,11.667,4.7,October 1949,League of Independents
1949,1952,50,Austria,0.0,0.0,8.9,44.032,32.2,October 1949,Austrian People’s Party
1953,1953,30,Austria,0.0,2.6,11.5,42.108,-16.5,February 1953,Austrian Social Democratic Party
1953,1953,70,Austria,0.0,3.8,7.7,10.949000000000002,-3.6,February 1953,League of Independents
1953,1953,50,Austria,0.0,2.4,6.5,41.257,29.5,February 1953,Austrian People’s Party
1953,1954,30,Austria,0.0,2.6,11.5,42.108,-16.5,February 1953,Austrian Social Democratic Party
1953,1954,70,Austria,0.0,3.8,7.7,10.949000000000002,-3.6,February 1953,League of Independents
1953,1954,50,Austria,0.0,2.4,6.5,41.257,29.5,February 1953,Austrian People’s Party
1953,1955,30,Austria,0.0,2.6,11.5,42.108,-16.5,February 1953,Austrian Social Democratic Party
1953,1955,70,Austria,0.0,3.8,7.7,10.949000000000002,-3.6,February 1953,League of Independents
1953,1955,50,Austria,0.0,2.4,6.5,41.257,29.5,February 1953,Austrian People’s Party
1956,1956,30,Austria,1.0,2.9,6.9,43.045,-16.9,May 1956,Austrian Social Democratic Party
1956,1956,70,Austria,0.0,8.3,4.2,6.52,-4.2,May 1956,Austrian Freedom Party
1956,1956,50,Austria,0.0,0.0,6.3,45.957,45.9,May 1956,Austrian People’s Party
1956,1957,30,Austria,1.0,2.9,6.9,43.045,-16.9,May 1956,Austrian Social Democratic Party
1956,1957,70,Austria,0.0,8.3,4.2,6.52,-4.2,May 1956,Austrian Freedom Party
1956,1957,50,Austria,0.0,0.0,6.3,45.957,45.9,May 1956,Austrian People’s Party
1956,1958,30,Austria,1.0,2.9,6.9,43.045,-16.9,May 1956,Austrian Social Democratic Party
1956,1958,70,Austria,0.0,8.3,4.2,6.52,-4.2,May 1956,Austrian Freedom Party
1956,1958,50,Austria,0.0,0.0,6.3,45.957,45.9,May 1956,Austrian People’s Party
1959,1959,30,Austria,0.0,0.0,12.0,44.786,-16.0,May 1959,Austrian Social Democratic Party
1959,1959,70,Austria,0.0,2.0,2.0,7.704,21.2,May 1959,Austrian Freedom Party
1959,1959,50,Austria,0.0,6.7,1.3,44.192,24.0,May 1959,Austrian People’s Party
1959,1960,30,Austria,0.0,0.0,12.0,44.786,-16.0,May 1959,Austrian Social Democratic Party
1959,1960,70,Austria,0.0,2.0,2.0,7.704,21.2,May 1959,Austrian Freedom Party
1959,1960,50,Austria,0.0,6.7,1.3,44.192,24.0,May 1959,Austrian People’s Party
1959,1961,30,Austria,0.0,0.0,12.0,44.786,-16.0,May 1959,Austrian Social Democratic Party
1959,1961,70,Austria,0.0,2.0,2.0,7.704,21.2,May 1959,Austrian Freedom Party
1959,1961,50,Austria,0.0,6.7,1.3,44.192,24.0,May 1959,Austrian People’s Party
1962,1962,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,November 1962,Austrian Social Democratic Party
1962,1962,70,Austria,0.0,1.8,1.8,7.044,-24.6,November 1962,Austrian Freedom Party
1962,1962,50,Austria,0.0,9.8,7.7,45.432,11.2,November 1962,Austrian People’s Party
1962,1963,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,November 1962,Austrian Social Democratic Party
1962,1963,70,Austria,0.0,1.8,1.8,7.044,-24.6,November 1962,Austrian Freedom Party
1962,1963,50,Austria,0.0,9.8,7.7,45.432,11.2,November 1962,Austrian People’s Party
1962,1964,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,November 1962,Austrian Social Democratic Party
1962,1964,70,Austria,0.0,1.8,1.8,7.044,-24.6,November 1962,Austrian Freedom Party
1962,1964,50,Austria,0.0,9.8,7.7,45.432,11.2,November 1962,Austrian People’s Party
1962,1965,30,Austria,0.0,0.7000000000000001,13.6,44.0,-13.5,November 1962,Austrian Social Democratic Party
1962,1965,70,Austria,0.0,1.8,1.8,7.044,-24.6,November 1962,Austrian Freedom Party
1962,1965,50,Austria,0.0,9.8,7.7,45.432,11.2,November 1962,Austrian People’s Party
1966,1966,30,Austria,0.6,6.5,4.9,42.565,-15.8,March 1966,Austrian Social Democratic Party
1966,1966,70,Austria,0.0,1.8,6.9,5.353,-28.95,March 1966,Austrian Freedom Party
1966,1966,50,Austria,0.0,3.5,8.800000000000002,48.349,5.8,March 1966,Austrian People’s Party
1966,1967,30,Austria,0.6,6.5,4.9,42.565,-15.8,March 1966,Austrian Social Democratic Party
1966,1967,70,Austria,0.0,1.8,6.9,5.353,-28.95,March 1966,Austrian Freedom Party
1966,1967,50,Austria,0.0,3.5,8.800000000000002,48.349,5.8,March 1966,Austrian People’s Party
1966,1968,30,Austria,0.6,6.5,4.9,42.565,-15.8,March 1966,Austrian Social Democratic Party
1966,1968,70,Austria,0.0,1.8,6.9,5.353,-28.95,March 1966,Austrian Freedom Party
1966,1968,50,Austria,0.0,3.5,8.800000000000002,48.349,5.8,March 1966,Austrian People’s Party
1966,1969,30,Austria,0.6,6.5,4.9,42.565,-15.8,March 1966,Austrian Social Democratic Party
1966,1969,70,Austria,0.0,1.8,6.9,5.353,-28.95,March 1966,Austrian Freedom Party
1966,1969,50,Austria,0.0,3.5,8.800000000000002,48.349,5.8,March 1966,Austrian People’s Party
1970,1970,30,Austria,0.0,0.0,0.0,48.42,-54.3,March 1970,Austrian Social Democratic Party
1970,1970,70,Austria,0.0,1.8,12.0,5.522,-33.3,March 1970,Austrian Freedom Party
1970,1970,50,Austria,1.9,6.100000000000001,6.600000000000001,44.694,-6.8,March 1970,Austrian People’s Party
1971,1971,30,Austria,5.600000000000001,2.6,6.100000000000001,50.037,-13.8,October 1971,Austrian Social Democratic Party
1971,1971,70,Austria,1.9,0.4,5.600000000000001,5.4529999999999985,-6.600000000000001,October 1971,Austrian Freedom Party
1971,1971,50,Austria,0.0,9.9,3.8,43.114,25.3,October 1971,Austrian People’s Party
1971,1972,30,Austria,5.600000000000001,2.6,6.100000000000001,50.037,-13.8,October 1971,Austrian Social Democratic Party
1971,1972,70,Austria,1.9,0.4,5.600000000000001,5.4529999999999985,-6.600000000000001,October 1971,Austrian Freedom Party
1971,1972,50,Austria,0.0,9.9,3.8,43.114,25.3,October 1971,Austrian People’s Party
