year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1946,1946,30,Belgium,0.8,0.0,3.4,32.85,-13.5,February 1946,Belgian Socialist Party
1946,1946,40,Belgium,0.0,0.0,5.8,9.24,15.3,February 1946,Liberal Party
1946,1946,50,Belgium,0.0,1.0,8.1,42.538,30.1,February 1946,Francophone Christian Social Party and Flemish Christian People’s Party
1946,1947,30,Belgium,0.8,0.0,3.4,32.85,-13.5,February 1946,Belgian Socialist Party
1946,1947,40,Belgium,0.0,0.0,5.8,9.24,15.3,February 1946,Liberal Party
1946,1947,50,Belgium,0.0,1.0,8.1,42.538,30.1,February 1946,Francophone Christian Social Party and Flemish Christian People’s Party
1946,1948,30,Belgium,0.8,0.0,3.4,32.85,-13.5,February 1946,Belgian Socialist Party
1946,1948,40,Belgium,0.0,0.0,5.8,9.24,15.3,February 1946,Liberal Party
1946,1948,50,Belgium,0.0,1.0,8.1,42.538,30.1,February 1946,Francophone Christian Social Party and Flemish Christian People’s Party
1949,1949,30,Belgium,0.2,0.6,26.6,29.747,-50.0,June 1949,Belgian Socialist Party
1949,1949,40,Belgium,0.0,0.0,3.0,15.249,31.8,June 1949,Liberal Party
1949,1949,50,Belgium,0.3,0.8,3.9,43.549,2.4,June 1949,Francophone Christian Social Party and Flemish Christian People’s Party
1950,1950,30,Belgium,0.0,0.0,6.8,35.91,-13.5,June 1950,Belgian Socialist Party
1950,1950,40,Belgium,0.0,2.3,1.2,11.61,21.7,June 1950,Liberal Party
1950,1950,50,Belgium,0.0,0.8,3.8,47.678,1.6,June 1950,Francophone Christian Social Party and Flemish Christian People’s Party
1950,1951,30,Belgium,0.0,0.0,6.8,35.91,-13.5,June 1950,Belgian Socialist Party
1950,1951,40,Belgium,0.0,2.3,1.2,11.61,21.7,June 1950,Liberal Party
1950,1951,50,Belgium,0.0,0.8,3.8,47.678,1.6,June 1950,Francophone Christian Social Party and Flemish Christian People’s Party
1950,1952,30,Belgium,0.0,0.0,6.8,35.91,-13.5,June 1950,Belgian Socialist Party
1950,1952,40,Belgium,0.0,2.3,1.2,11.61,21.7,June 1950,Liberal Party
1950,1952,50,Belgium,0.0,0.8,3.8,47.678,1.6,June 1950,Francophone Christian Social Party and Flemish Christian People’s Party
1950,1953,30,Belgium,0.0,0.0,6.8,35.91,-13.5,June 1950,Belgian Socialist Party
1950,1953,40,Belgium,0.0,2.3,1.2,11.61,21.7,June 1950,Liberal Party
1950,1953,50,Belgium,0.0,0.8,3.8,47.678,1.6,June 1950,Francophone Christian Social Party and Flemish Christian People’s Party
