year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990,1990,30,Bulgaria,3.093,2.062,4.381,47.151,18.299,June 1990,Bulgarian Socialist Party
1990,1990,40,Bulgaria,3.261,4.941,0.988,36.212,22.036,June 1990,Union of Democratic Forces
1990,1990,80,Bulgaria,5.806,0.0,0.645,6.024,12.258,June 1990,Bulgarian Agrarian National Union
1990,1990,90,Bulgaria,0.0,0.0,0.0,8.027000000000001,19.643,June 1990,Movement for Rights and Freedoms
1991,1991,30,Bulgaria,1.848,8.314,2.54,,1.848,October 1991,Bulgarian Socialist Party
1991,1991,30,Bulgaria,1.848,8.314,2.54,33.14,1.848,October 1991,Coalition of Bulgarian Socialist Party
1991,1991,40,Bulgaria,1.829,2.439,0.61,34.355,14.634,October 1991,Union of Democratic Forces
1991,1991,90,Bulgaria,3.15,0.0,2.362,7.5470000000000015,-4.724,October 1991,Movement for Rights and Freedoms
1991,1992,30,Bulgaria,1.848,8.314,2.54,,1.848,October 1991,Bulgarian Socialist Party
1991,1992,30,Bulgaria,1.848,8.314,2.54,33.14,1.848,October 1991,Coalition of Bulgarian Socialist Party
1991,1992,40,Bulgaria,1.829,2.439,0.61,34.355,14.634,October 1991,Union of Democratic Forces
1991,1992,90,Bulgaria,3.15,0.0,2.362,7.5470000000000015,-4.724,October 1991,Movement for Rights and Freedoms
1991,1993,30,Bulgaria,1.848,8.314,2.54,,1.848,October 1991,Bulgarian Socialist Party
1991,1993,30,Bulgaria,1.848,8.314,2.54,33.14,1.848,October 1991,Coalition of Bulgarian Socialist Party
1991,1993,40,Bulgaria,1.829,2.439,0.61,34.355,14.634,October 1991,Union of Democratic Forces
1991,1993,90,Bulgaria,3.15,0.0,2.362,7.5470000000000015,-4.724,October 1991,Movement for Rights and Freedoms
1994,1994,10,Bulgaria,20.382,6.369,0.0,,35.66900000000001,December 1994,Political Club ‘Ekoglasnost'
1994,1994,30,Bulgaria,0.0,4.474,5.263,,-2.632,December 1994,Bulgarian Socialist Party
1994,1994,30,Bulgaria,0.0,4.474,5.263,43.50100000000001,-2.632,December 1994,"Coalition of Bulgarian Socialist Party, Bulgarian Agrarian People’s Union - Alexandar Stambolijski and Political Club 'Ekoglasnost'"
1994,1994,40,Bulgaria,3.786,2.673,1.5590000000000002,24.228,23.608,December 1994,Union of Democratic Forces
1994,1994,70,Bulgaria,1.515,2.273,0.0,6.5070000000000014,1.515,December 1994,People’s Union
