year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990,1990,10,Croatia,75.41,1.639,1.639,,-1.639,April 1990,Green Alliance of Croatia
1990,1990,10,Croatia,72.414,5.1720000000000015,0.0,,5.1720000000000015,April 1990,Green Action of Split
1990,1990,20,Croatia,6.225000000000001,0.8029999999999999,4.016,,-5.221,April 1990,League of Communists of Croatia - Party of Democratic Changes
1990,1990,20,Croatia,6.167000000000002,3.965,4.405,,-11.013,April 1990,Socialist Party of Croatia
1990,1990,20,Croatia,12.5,6.25,10.417,,-11.458,April 1990,Union of Socialist Youth of Croatia
1990,1990,20,Croatia,6.225000000000001,0.8029999999999999,4.016,34.975,-5.221,April 1990,League of Communists of Croatia - Party of Democratic Changes and Socialist Party of Croatia
1990,1990,40,Croatia,2.174,1.449,0.725,15.337,10.87,April 1990,Coalition of People’s Accord
1990,1990,70,Croatia,2.013,0.6709999999999999,5.369,41.927,3.3560000000000003,April 1990,Croatian Democratic Union
1990,1991,10,Croatia,75.41,1.639,1.639,,-1.639,April 1990,Green Alliance of Croatia
1990,1991,10,Croatia,72.414,5.1720000000000015,0.0,,5.1720000000000015,April 1990,Green Action of Split
1990,1991,20,Croatia,6.225000000000001,0.8029999999999999,4.016,,-5.221,April 1990,League of Communists of Croatia - Party of Democratic Changes
1990,1991,20,Croatia,6.167000000000002,3.965,4.405,,-11.013,April 1990,Socialist Party of Croatia
1990,1991,20,Croatia,12.5,6.25,10.417,,-11.458,April 1990,Union of Socialist Youth of Croatia
1990,1991,20,Croatia,6.225000000000001,0.8029999999999999,4.016,34.975,-5.221,April 1990,League of Communists of Croatia - Party of Democratic Changes and Socialist Party of Croatia
1990,1991,40,Croatia,2.174,1.449,0.725,15.337,10.87,April 1990,Coalition of People’s Accord
1990,1991,70,Croatia,2.013,0.6709999999999999,5.369,41.927,3.3560000000000003,April 1990,Croatian Democratic Union
1992,1992,20,Croatia,5.533,0.0,7.582000000000002,5.526,-1.025,August 1992,Social Democratic Party of Croatia - Party of Democratic Changes
1992,1992,40,Croatia,4.704,2.514,3.1630000000000003,17.722,14.599,August 1992,Croatian Social-Liberal Party
1992,1992,70,Croatia,0.0,1.6130000000000002,8.065,44.705,25.806,August 1992,Croatian Democratic Union
1992,1992,40,Croatia,0.6990000000000001,0.6990000000000001,5.5939999999999985,6.6960000000000015,-12.587,August 1992,Croatian People’s Party
1992,1992,70,Croatia,3.39,1.695,9.322000000000001,7.068000000000001,37.288,August 1992,Croatian Party of Rights
1992,1992,80,Croatia,7.479,3.047,1.939,4.251,9.695,August 1992,Croatian Peasant Party
1992,1992,90,Croatia,1.802,0.0,0.901,1.088,8.107999999999999,August 1992,Serbian People’s Party
1992,1992,90,Croatia,5.419,5.9110000000000005,4.433,,-1.97,August 1992,Istrian Democratic Assembly
1992,1992,90,Croatia,8.202,2.524,3.785,,0.0,August 1992,Dalmatian Action
1992,1992,90,Croatia,10.0,4.444,6.667000000000002,,3.333,August 1992,Democratic Alliance of Rijeka
1992,1992,90,Croatia,7.874000000000001,4.293,4.962,3.178,0.454,August 1992,"Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka"
1992,1993,20,Croatia,5.533,0.0,7.582000000000002,5.526,-1.025,August 1992,Social Democratic Party of Croatia - Party of Democratic Changes
1992,1993,40,Croatia,4.704,2.514,3.1630000000000003,17.722,14.599,August 1992,Croatian Social-Liberal Party
1992,1993,70,Croatia,0.0,1.6130000000000002,8.065,44.705,25.806,August 1992,Croatian Democratic Union
1992,1993,40,Croatia,0.6990000000000001,0.6990000000000001,5.5939999999999985,6.6960000000000015,-12.587,August 1992,Croatian People’s Party
1992,1993,70,Croatia,3.39,1.695,9.322000000000001,7.068000000000001,37.288,August 1992,Croatian Party of Rights
1992,1993,80,Croatia,7.479,3.047,1.939,4.251,9.695,August 1992,Croatian Peasant Party
1992,1993,90,Croatia,1.802,0.0,0.901,1.088,8.107999999999999,August 1992,Serbian People’s Party
1992,1993,90,Croatia,5.419,5.9110000000000005,4.433,,-1.97,August 1992,Istrian Democratic Assembly
1992,1993,90,Croatia,8.202,2.524,3.785,,0.0,August 1992,Dalmatian Action
1992,1993,90,Croatia,10.0,4.444,6.667000000000002,,3.333,August 1992,Democratic Alliance of Rijeka
1992,1993,90,Croatia,7.874000000000001,4.293,4.962,3.178,0.454,August 1992,"Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka"
1992,1994,20,Croatia,5.533,0.0,7.582000000000002,5.526,-1.025,August 1992,Social Democratic Party of Croatia - Party of Democratic Changes
1992,1994,40,Croatia,4.704,2.514,3.1630000000000003,17.722,14.599,August 1992,Croatian Social-Liberal Party
1992,1994,70,Croatia,0.0,1.6130000000000002,8.065,44.705,25.806,August 1992,Croatian Democratic Union
1992,1994,40,Croatia,0.6990000000000001,0.6990000000000001,5.5939999999999985,6.6960000000000015,-12.587,August 1992,Croatian People’s Party
1992,1994,70,Croatia,3.39,1.695,9.322000000000001,7.068000000000001,37.288,August 1992,Croatian Party of Rights
1992,1994,80,Croatia,7.479,3.047,1.939,4.251,9.695,August 1992,Croatian Peasant Party
1992,1994,90,Croatia,1.802,0.0,0.901,1.088,8.107999999999999,August 1992,Serbian People’s Party
1992,1994,90,Croatia,5.419,5.9110000000000005,4.433,,-1.97,August 1992,Istrian Democratic Assembly
1992,1994,90,Croatia,8.202,2.524,3.785,,0.0,August 1992,Dalmatian Action
1992,1994,90,Croatia,10.0,4.444,6.667000000000002,,3.333,August 1992,Democratic Alliance of Rijeka
1992,1994,90,Croatia,7.874000000000001,4.293,4.962,3.178,0.454,August 1992,"Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka"
1995,1995,20,Croatia,0.752,0.0,14.286,8.93,3.008,October 1995,Social Democratic Party of Croatia
1995,1995,40,Croatia,5.850000000000001,2.925,3.656,11.552,13.894,October 1995,Croatian Social-Liberal Party
1995,1995,40,Croatia,1.878,2.347,3.286,3.004,3.756,October 1995,Croatian Independent Democrats
1995,1995,70,Croatia,0.0,0.0,0.0,45.231,47.368,October 1995,Croatian Democratic Union
1995,1995,40,Croatia,0.0,1.905,17.143,,13.333,October 1995,Croatian People’s Party
1995,1995,70,Croatia,8.024000000000001,2.801,3.028,5.009,14.005,October 1995,Croatian Party of Rights
1995,1995,80,Croatia,4.902,1.961,5.392,,-4.412,October 1995,Croatian Peasant Party
1995,1995,90,Croatia,2.79,3.705,7.792999999999998,18.259,3.629,October 1995,Joint List Bloc
1995,1995,90,Croatia,0.84,5.042,4.202,,7.563,October 1995,Croatian Party of Slavonia and Baranja
1995,1996,20,Croatia,0.752,0.0,14.286,8.93,3.008,October 1995,Social Democratic Party of Croatia
1995,1996,40,Croatia,5.850000000000001,2.925,3.656,11.552,13.894,October 1995,Croatian Social-Liberal Party
1995,1996,40,Croatia,1.878,2.347,3.286,3.004,3.756,October 1995,Croatian Independent Democrats
1995,1996,70,Croatia,0.0,0.0,0.0,45.231,47.368,October 1995,Croatian Democratic Union
1995,1996,40,Croatia,0.0,1.905,17.143,,13.333,October 1995,Croatian People’s Party
1995,1996,70,Croatia,8.024000000000001,2.801,3.028,5.009,14.005,October 1995,Croatian Party of Rights
1995,1996,80,Croatia,4.902,1.961,5.392,,-4.412,October 1995,Croatian Peasant Party
1995,1996,90,Croatia,2.79,3.705,7.792999999999998,18.259,3.629,October 1995,Joint List Bloc
1995,1996,90,Croatia,0.84,5.042,4.202,,7.563,October 1995,Croatian Party of Slavonia and Baranja
1995,1997,20,Croatia,0.752,0.0,14.286,8.93,3.008,October 1995,Social Democratic Party of Croatia
1995,1997,40,Croatia,5.850000000000001,2.925,3.656,11.552,13.894,October 1995,Croatian Social-Liberal Party
1995,1997,40,Croatia,1.878,2.347,3.286,3.004,3.756,October 1995,Croatian Independent Democrats
1995,1997,70,Croatia,0.0,0.0,0.0,45.231,47.368,October 1995,Croatian Democratic Union
1995,1997,40,Croatia,0.0,1.905,17.143,,13.333,October 1995,Croatian People’s Party
1995,1997,70,Croatia,8.024000000000001,2.801,3.028,5.009,14.005,October 1995,Croatian Party of Rights
1995,1997,80,Croatia,4.902,1.961,5.392,,-4.412,October 1995,Croatian Peasant Party
1995,1997,90,Croatia,2.79,3.705,7.792999999999998,18.259,3.629,October 1995,Joint List Bloc
1995,1997,90,Croatia,0.84,5.042,4.202,,7.563,October 1995,Croatian Party of Slavonia and Baranja
1995,1998,20,Croatia,0.752,0.0,14.286,8.93,3.008,October 1995,Social Democratic Party of Croatia
1995,1998,40,Croatia,5.850000000000001,2.925,3.656,11.552,13.894,October 1995,Croatian Social-Liberal Party
1995,1998,40,Croatia,1.878,2.347,3.286,3.004,3.756,October 1995,Croatian Independent Democrats
1995,1998,70,Croatia,0.0,0.0,0.0,45.231,47.368,October 1995,Croatian Democratic Union
1995,1998,40,Croatia,0.0,1.905,17.143,,13.333,October 1995,Croatian People’s Party
1995,1998,70,Croatia,8.024000000000001,2.801,3.028,5.009,14.005,October 1995,Croatian Party of Rights
1995,1998,80,Croatia,4.902,1.961,5.392,,-4.412,October 1995,Croatian Peasant Party
1995,1998,90,Croatia,2.79,3.705,7.792999999999998,18.259,3.629,October 1995,Joint List Bloc
1995,1998,90,Croatia,0.84,5.042,4.202,,7.563,October 1995,Croatian Party of Slavonia and Baranja
1995,1999,20,Croatia,0.752,0.0,14.286,8.93,3.008,October 1995,Social Democratic Party of Croatia
1995,1999,40,Croatia,5.850000000000001,2.925,3.656,11.552,13.894,October 1995,Croatian Social-Liberal Party
1995,1999,40,Croatia,1.878,2.347,3.286,3.004,3.756,October 1995,Croatian Independent Democrats
1995,1999,70,Croatia,0.0,0.0,0.0,45.231,47.368,October 1995,Croatian Democratic Union
1995,1999,40,Croatia,0.0,1.905,17.143,,13.333,October 1995,Croatian People’s Party
1995,1999,70,Croatia,8.024000000000001,2.801,3.028,5.009,14.005,October 1995,Croatian Party of Rights
1995,1999,80,Croatia,4.902,1.961,5.392,,-4.412,October 1995,Croatian Peasant Party
1995,1999,90,Croatia,2.79,3.705,7.792999999999998,18.259,3.629,October 1995,Joint List Bloc
1995,1999,90,Croatia,0.84,5.042,4.202,,7.563,October 1995,Croatian Party of Slavonia and Baranja
