year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1996,1996,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,May 1996,Progressive Party of the Working People
1996,1996,30,Cyprus,13.308,7.612,3.998,8.13,-11.61,May 1996,United Democratic Union of Cyprus
1996,1996,40,Cyprus,1.266,6.9620000000000015,6.329,,20.886,May 1996,Liberal Party
1996,1996,40,Cyprus,4.701000000000001,5.372999999999998,4.1789999999999985,16.43,0.075,May 1996,Democratic Party
1996,1996,40,Cyprus,5.307,5.66,1.533,3.69,4.245,May 1996,Free Democrats Movement
1996,1996,70,Cyprus,8.342,5.309,3.359,34.47,-4.334000000000001,May 1996,Democratic Coalition
1996,1997,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,May 1996,Progressive Party of the Working People
1996,1997,30,Cyprus,13.308,7.612,3.998,8.13,-11.61,May 1996,United Democratic Union of Cyprus
1996,1997,40,Cyprus,1.266,6.9620000000000015,6.329,,20.886,May 1996,Liberal Party
1996,1997,40,Cyprus,4.701000000000001,5.372999999999998,4.1789999999999985,16.43,0.075,May 1996,Democratic Party
1996,1997,40,Cyprus,5.307,5.66,1.533,3.69,4.245,May 1996,Free Democrats Movement
1996,1997,70,Cyprus,8.342,5.309,3.359,34.47,-4.334000000000001,May 1996,Democratic Coalition
1996,1998,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,May 1996,Progressive Party of the Working People
1996,1998,30,Cyprus,13.308,7.612,3.998,8.13,-11.61,May 1996,United Democratic Union of Cyprus
1996,1998,40,Cyprus,1.266,6.9620000000000015,6.329,,20.886,May 1996,Liberal Party
1996,1998,40,Cyprus,4.701000000000001,5.372999999999998,4.1789999999999985,16.43,0.075,May 1996,Democratic Party
1996,1998,40,Cyprus,5.307,5.66,1.533,3.69,4.245,May 1996,Free Democrats Movement
1996,1998,70,Cyprus,8.342,5.309,3.359,34.47,-4.334000000000001,May 1996,Democratic Coalition
1996,1999,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,May 1996,Progressive Party of the Working People
1996,1999,30,Cyprus,13.308,7.612,3.998,8.13,-11.61,May 1996,United Democratic Union of Cyprus
1996,1999,40,Cyprus,1.266,6.9620000000000015,6.329,,20.886,May 1996,Liberal Party
1996,1999,40,Cyprus,4.701000000000001,5.372999999999998,4.1789999999999985,16.43,0.075,May 1996,Democratic Party
1996,1999,40,Cyprus,5.307,5.66,1.533,3.69,4.245,May 1996,Free Democrats Movement
1996,1999,70,Cyprus,8.342,5.309,3.359,34.47,-4.334000000000001,May 1996,Democratic Coalition
1996,2000,30,Cyprus,1.769,6.559,2.063,33.0,-0.737,May 1996,Progressive Party of the Working People
1996,2000,30,Cyprus,13.308,7.612,3.998,8.13,-11.61,May 1996,United Democratic Union of Cyprus
