year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990,1990,20,Czech Republic,8.442,6.494,5.195,13.201,-17.532,June 1990,Communist Party of Czechoslovakia
1990,1990,40,Czech Republic,2.395,1.198,0.599,49.352,14.371,June 1990,Civic Forum
1990,1990,60,Czech Republic,6.41,1.2819999999999998,3.846,,37.179,June 1990,Czechoslovak People’s Party
1990,1990,50,Czech Republic,8.833,2.156,3.005,8.39,20.754,June 1990,Christian and Democratic Union
1990,1990,90,Czech Republic,3.125,15.625,0.0,10.005,12.5,June 1990,Movement for an Autonomous Democracy - Society for Moravia-Silesia
1990,1991,20,Czech Republic,8.442,6.494,5.195,13.201,-17.532,June 1990,Communist Party of Czechoslovakia
1990,1991,40,Czech Republic,2.395,1.198,0.599,49.352,14.371,June 1990,Civic Forum
1990,1991,60,Czech Republic,6.41,1.2819999999999998,3.846,,37.179,June 1990,Czechoslovak People’s Party
1990,1991,50,Czech Republic,8.833,2.156,3.005,8.39,20.754,June 1990,Christian and Democratic Union
1990,1991,90,Czech Republic,3.125,15.625,0.0,10.005,12.5,June 1990,Movement for an Autonomous Democracy - Society for Moravia-Silesia
1992,1992,20,Czech Republic,5.3889999999999985,1.497,5.689,14.023,12.874,June 1992,Left Bloc
1992,1992,30,Czech Republic,4.021,0.268,12.601,6.518,4.558,June 1992,Czechoslovak Social Democratic Party
1992,1992,40,Czech Republic,8.184000000000001,3.325,1.79,5.916,12.02,June 1992,Civic Democratic Alliance
1992,1992,60,Czech Republic,9.091000000000001,5.114,0.5680000000000001,,39.773,June 1992,Civic Democratic Party
1992,1992,60,Czech Republic,10.173,4.072,1.366,29.67,22.051,June 1992,Civic Democratic Party - Christian Democratic Party
1992,1992,40,Czech Republic,0.667,1.3330000000000002,3.333,6.506,2.0,June 1992,Liberal Social Union
1992,1992,50,Czech Republic,11.255,3.03,2.165,,4.329,June 1992,Christian Democratic Party
1992,1992,50,Czech Republic,4.494,2.247,2.247,6.2650000000000015,0.0,June 1992,Christian and Democratic Union - Czech People's Party
1992,1992,70,Czech Republic,8.163,0.0,0.0,5.967000000000001,6.122000000000001,June 1992,Association for the Republic – Republican Party of Czechoslovakia
1992,1992,90,Czech Republic,9.929,4.965,1.418,5.86,4.255,June 1992,Movement for an Autonomous Democracy - Society for Moravia-Silesia
1992,1993,20,Czech Republic,5.3889999999999985,1.497,5.689,14.023,12.874,June 1992,Left Bloc
1992,1993,30,Czech Republic,4.021,0.268,12.601,6.518,4.558,June 1992,Czechoslovak Social Democratic Party
1992,1993,40,Czech Republic,8.184000000000001,3.325,1.79,5.916,12.02,June 1992,Civic Democratic Alliance
1992,1993,60,Czech Republic,9.091000000000001,5.114,0.5680000000000001,,39.773,June 1992,Civic Democratic Party
1992,1993,60,Czech Republic,10.173,4.072,1.366,29.67,22.051,June 1992,Civic Democratic Party - Christian Democratic Party
1992,1993,40,Czech Republic,0.667,1.3330000000000002,3.333,6.506,2.0,June 1992,Liberal Social Union
1992,1993,50,Czech Republic,11.255,3.03,2.165,,4.329,June 1992,Christian Democratic Party
1992,1993,50,Czech Republic,4.494,2.247,2.247,6.2650000000000015,0.0,June 1992,Christian and Democratic Union - Czech People's Party
1992,1993,70,Czech Republic,8.163,0.0,0.0,5.967000000000001,6.122000000000001,June 1992,Association for the Republic – Republican Party of Czechoslovakia
1992,1993,90,Czech Republic,9.929,4.965,1.418,5.86,4.255,June 1992,Movement for an Autonomous Democracy - Society for Moravia-Silesia
1992,1994,20,Czech Republic,5.3889999999999985,1.497,5.689,14.023,12.874,June 1992,Left Bloc
1992,1994,30,Czech Republic,4.021,0.268,12.601,6.518,4.558,June 1992,Czechoslovak Social Democratic Party
1992,1994,40,Czech Republic,8.184000000000001,3.325,1.79,5.916,12.02,June 1992,Civic Democratic Alliance
1992,1994,60,Czech Republic,9.091000000000001,5.114,0.5680000000000001,,39.773,June 1992,Civic Democratic Party
1992,1994,60,Czech Republic,10.173,4.072,1.366,29.67,22.051,June 1992,Civic Democratic Party - Christian Democratic Party
1992,1994,40,Czech Republic,0.667,1.3330000000000002,3.333,6.506,2.0,June 1992,Liberal Social Union
1992,1994,50,Czech Republic,11.255,3.03,2.165,,4.329,June 1992,Christian Democratic Party
1992,1994,50,Czech Republic,4.494,2.247,2.247,6.2650000000000015,0.0,June 1992,Christian and Democratic Union - Czech People's Party
1992,1994,70,Czech Republic,8.163,0.0,0.0,5.967000000000001,6.122000000000001,June 1992,Association for the Republic – Republican Party of Czechoslovakia
1992,1994,90,Czech Republic,9.929,4.965,1.418,5.86,4.255,June 1992,Movement for an Autonomous Democracy - Society for Moravia-Silesia
1992,1995,20,Czech Republic,5.3889999999999985,1.497,5.689,14.023,12.874,June 1992,Left Bloc
1992,1995,30,Czech Republic,4.021,0.268,12.601,6.518,4.558,June 1992,Czechoslovak Social Democratic Party
1992,1995,40,Czech Republic,8.184000000000001,3.325,1.79,5.916,12.02,June 1992,Civic Democratic Alliance
1992,1995,60,Czech Republic,9.091000000000001,5.114,0.5680000000000001,,39.773,June 1992,Civic Democratic Party
1992,1995,60,Czech Republic,10.173,4.072,1.366,29.67,22.051,June 1992,Civic Democratic Party - Christian Democratic Party
1992,1995,40,Czech Republic,0.667,1.3330000000000002,3.333,6.506,2.0,June 1992,Liberal Social Union
1992,1995,50,Czech Republic,11.255,3.03,2.165,,4.329,June 1992,Christian Democratic Party
