year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1945,1945,20,Denmark,0.0,0.0,8.6,12.455,-21.2,October 1945,Danish Communist Party
1945,1945,30,Denmark,0.0,2.1,10.4,32.782,-23.0,October 1945,Social Democratic Party
1945,1945,40,Denmark,0.0,0.0,7.8,8.152999999999999,-15.7,October 1945,Danish Social-Liberal Party
1945,1945,40,Denmark,0.0,0.0,1.6,23.383000000000006,16.4,October 1945,Liberals
1945,1945,60,Denmark,0.0,0.0,0.8,18.236,-0.2,October 1945,Conservative People’s Party
1945,1945,95,Denmark,0.0,0.0,3.4,1.877,6.8,October 1945,Justice Party
1945,1945,95,Denmark,0.0,0.0,2.206,3.111,-13.970999999999998,October 1945,Danish Union
1945,1946,20,Denmark,0.0,0.0,8.6,12.455,-21.2,October 1945,Danish Communist Party
1945,1946,30,Denmark,0.0,2.1,10.4,32.782,-23.0,October 1945,Social Democratic Party
1945,1946,40,Denmark,0.0,0.0,7.8,8.152999999999999,-15.7,October 1945,Danish Social-Liberal Party
1945,1946,40,Denmark,0.0,0.0,1.6,23.383000000000006,16.4,October 1945,Liberals
1945,1946,60,Denmark,0.0,0.0,0.8,18.236,-0.2,October 1945,Conservative People’s Party
1945,1946,95,Denmark,0.0,0.0,3.4,1.877,6.8,October 1945,Justice Party
1945,1946,95,Denmark,0.0,0.0,2.206,3.111,-13.970999999999998,October 1945,Danish Union
1947,1947,20,Denmark,0.0,0.0,12.3,6.77,-10.6,October 1947,Danish Communist Party
1947,1947,30,Denmark,0.0,0.0,6.5,40.021,-10.8,October 1947,Social Democratic Party
1947,1947,40,Denmark,0.0,0.0,7.7,6.919,-2.5,October 1947,Danish Social-Liberal Party
1947,1947,40,Denmark,0.0,0.0,1.6,27.584,3.3,October 1947,Liberals
1947,1947,60,Denmark,0.0,0.0,3.8,12.443,19.3,October 1947,Conservative People’s Party
1947,1947,95,Denmark,0.0,0.0,0.8,4.538,25.5,October 1947,Justice Party
1947,1948,20,Denmark,0.0,0.0,12.3,6.77,-10.6,October 1947,Danish Communist Party
1947,1948,30,Denmark,0.0,0.0,6.5,40.021,-10.8,October 1947,Social Democratic Party
1947,1948,40,Denmark,0.0,0.0,7.7,6.919,-2.5,October 1947,Danish Social-Liberal Party
1947,1948,40,Denmark,0.0,0.0,1.6,27.584,3.3,October 1947,Liberals
1947,1948,60,Denmark,0.0,0.0,3.8,12.443,19.3,October 1947,Conservative People’s Party
1947,1948,95,Denmark,0.0,0.0,0.8,4.538,25.5,October 1947,Justice Party
1947,1949,20,Denmark,0.0,0.0,12.3,6.77,-10.6,October 1947,Danish Communist Party
1947,1949,30,Denmark,0.0,0.0,6.5,40.021,-10.8,October 1947,Social Democratic Party
1947,1949,40,Denmark,0.0,0.0,7.7,6.919,-2.5,October 1947,Danish Social-Liberal Party
1947,1949,40,Denmark,0.0,0.0,1.6,27.584,3.3,October 1947,Liberals
1947,1949,60,Denmark,0.0,0.0,3.8,12.443,19.3,October 1947,Conservative People’s Party
1947,1949,95,Denmark,0.0,0.0,0.8,4.538,25.5,October 1947,Justice Party
1950,1950,20,Denmark,0.0,0.0,3.6,4.601,-26.9,September 1950,Danish Communist Party
1950,1950,30,Denmark,0.0,0.0,7.7,39.586,-9.2,September 1950,Social Democratic Party
1950,1950,40,Denmark,0.0,0.0,0.0,8.176,0.0,September 1950,Danish Social-Liberal Party
1950,1950,40,Denmark,0.0,0.0,2.5,21.33,20.0,September 1950,Liberals
1950,1950,60,Denmark,0.0,0.0,4.8,17.779,38.2,September 1950,Conservative People’s Party
1950,1950,95,Denmark,0.0,0.0,1.9,8.216000000000001,10.9,September 1950,Justice Party
1950,1951,20,Denmark,0.0,0.0,3.6,4.601,-26.9,September 1950,Danish Communist Party
1950,1951,30,Denmark,0.0,0.0,7.7,39.586,-9.2,September 1950,Social Democratic Party
1950,1951,40,Denmark,0.0,0.0,0.0,8.176,0.0,September 1950,Danish Social-Liberal Party
1950,1951,40,Denmark,0.0,0.0,2.5,21.33,20.0,September 1950,Liberals
1950,1951,60,Denmark,0.0,0.0,4.8,17.779,38.2,September 1950,Conservative People’s Party
