year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1992,1992,20,Estonia,0.0,1.515,0.0,13.602,31.818,September 1992,Electoral Union ‘Secure Home'
1992,1992,30,Estonia,3.39,1.977,6.215,,-12.147,September 1992,Estonian Social Democratic Party
1992,1992,30,Estonia,7.229,3.614,0.0,9.728,-10.241,September 1992,Electoral coalition Estonian Rural Center Party - Estonian Social Democratic Party
1992,1992,40,Estonia,9.028,0.0,2.778,12.248,0.34700000000000003,September 1992,Electoral Union ‘Popular Front'
1992,1992,60,Estonia,1.3969999999999998,5.866000000000001,0.279,22.003,1.955,September 1992,National Coalition Pro Patria
1992,1992,60,Estonia,7.774,4.5939999999999985,0.0,8.786,14.488,September 1992,Estonian National Independence Party
1992,1992,80,Estonia,0.0,4.0,0.0,6.881,44.0,September 1992,Electoral Union ‘Estonian Citizen'
1992,1992,95,Estonia,0.0,0.0,0.0,7.122000000000001,62.5,September 1992,Electoral Union ‘Independent Royalists'
1992,1993,20,Estonia,0.0,1.515,0.0,13.602,31.818,September 1992,Electoral Union ‘Secure Home'
1992,1993,30,Estonia,3.39,1.977,6.215,,-12.147,September 1992,Estonian Social Democratic Party
1992,1993,30,Estonia,7.229,3.614,0.0,9.728,-10.241,September 1992,Electoral coalition Estonian Rural Center Party - Estonian Social Democratic Party
1992,1993,40,Estonia,9.028,0.0,2.778,12.248,0.34700000000000003,September 1992,Electoral Union ‘Popular Front'
1992,1993,60,Estonia,1.3969999999999998,5.866000000000001,0.279,22.003,1.955,September 1992,National Coalition Pro Patria
1992,1993,60,Estonia,7.774,4.5939999999999985,0.0,8.786,14.488,September 1992,Estonian National Independence Party
1992,1993,80,Estonia,0.0,4.0,0.0,6.881,44.0,September 1992,Electoral Union ‘Estonian Citizen'
1992,1993,95,Estonia,0.0,0.0,0.0,7.122000000000001,62.5,September 1992,Electoral Union ‘Independent Royalists'
1992,1994,20,Estonia,0.0,1.515,0.0,13.602,31.818,September 1992,Electoral Union ‘Secure Home'
