year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1945,1945,20,Finland,0.0,0.0,0.976,23.471,-42.927,March 1945,Finnish People’s Democratic Union
1945,1945,30,Finland,0.0,0.0,0.0,25.08,78.947,March 1945,Finnish Social Democrats
1945,1945,40,Finland,0.7190000000000001,0.0,4.317,5.174,21.583,March 1945,National Progressive Party
1945,1945,60,Finland,0.0,0.0,1.471,15.038,4.412,March 1945,National Coalition
1945,1945,80,Finland,0.0,1.099,4.396,21.353,3.297,March 1945,Agrarian Union
1945,1945,90,Finland,0.0,0.0,4.762,8.378,4.167,March 1945,Swedish People’s Party
1945,1946,20,Finland,0.0,0.0,0.976,23.471,-42.927,March 1945,Finnish People’s Democratic Union
1945,1946,30,Finland,0.0,0.0,0.0,25.08,78.947,March 1945,Finnish Social Democrats
1945,1946,40,Finland,0.7190000000000001,0.0,4.317,5.174,21.583,March 1945,National Progressive Party
1945,1946,60,Finland,0.0,0.0,1.471,15.038,4.412,March 1945,National Coalition
1945,1946,80,Finland,0.0,1.099,4.396,21.353,3.297,March 1945,Agrarian Union
1945,1946,90,Finland,0.0,0.0,4.762,8.378,4.167,March 1945,Swedish People’s Party
1945,1947,20,Finland,0.0,0.0,0.976,23.471,-42.927,March 1945,Finnish People’s Democratic Union
1945,1947,30,Finland,0.0,0.0,0.0,25.08,78.947,March 1945,Finnish Social Democrats
1945,1947,40,Finland,0.7190000000000001,0.0,4.317,5.174,21.583,March 1945,National Progressive Party
1945,1947,60,Finland,0.0,0.0,1.471,15.038,4.412,March 1945,National Coalition
1945,1947,80,Finland,0.0,1.099,4.396,21.353,3.297,March 1945,Agrarian Union
1945,1947,90,Finland,0.0,0.0,4.762,8.378,4.167,March 1945,Swedish People’s Party
1948,1948,20,Finland,0.0,0.76,0.38,19.991,12.548,July 1948,Finnish People’s Democratic Union
1948,1948,30,Finland,0.0,0.0,4.902,26.315,0.98,July 1948,Finnish Social Democrats
1948,1948,40,Finland,0.7190000000000001,0.0,4.317,3.907,21.583,July 1948,National Progressive Party
1948,1948,60,Finland,0.0,0.0,5.8820000000000014,17.041,-7.563,July 1948,National Coalition
1948,1948,80,Finland,0.0,2.326,10.465,24.236,-2.326,July 1948,Agrarian Union
1948,1948,90,Finland,0.0,0.0,4.255,7.737,21.277,July 1948,Swedish People’s Party
1948,1949,20,Finland,0.0,0.76,0.38,19.991,12.548,July 1948,Finnish People’s Democratic Union
1948,1949,30,Finland,0.0,0.0,4.902,26.315,0.98,July 1948,Finnish Social Democrats
1948,1949,40,Finland,0.7190000000000001,0.0,4.317,3.907,21.583,July 1948,National Progressive Party
1948,1949,60,Finland,0.0,0.0,5.8820000000000014,17.041,-7.563,July 1948,National Coalition
1948,1949,80,Finland,0.0,2.326,10.465,24.236,-2.326,July 1948,Agrarian Union
1948,1949,90,Finland,0.0,0.0,4.255,7.737,21.277,July 1948,Swedish People’s Party
1948,1950,20,Finland,0.0,0.76,0.38,19.991,12.548,July 1948,Finnish People’s Democratic Union
1948,1950,30,Finland,0.0,0.0,4.902,26.315,0.98,July 1948,Finnish Social Democrats
1948,1950,40,Finland,0.7190000000000001,0.0,4.317,3.907,21.583,July 1948,National Progressive Party
1948,1950,60,Finland,0.0,0.0,5.8820000000000014,17.041,-7.563,July 1948,National Coalition
1948,1950,80,Finland,0.0,2.326,10.465,24.236,-2.326,July 1948,Agrarian Union
1948,1950,90,Finland,0.0,0.0,4.255,7.737,21.277,July 1948,Swedish People’s Party
1951,1951,20,Finland,0.0,3.571,4.464,21.589,-52.679,July 1951,Finnish People’s Democratic Union
1951,1951,30,Finland,0.0,0.0,0.0,26.52,9.259,July 1951,Finnish Social Democrats
1951,1951,40,Finland,0.7190000000000001,0.0,4.317,5.678,21.583,July 1951,Finnish People’s Party
1951,1951,60,Finland,0.0,3.077,4.615,14.565,29.231,July 1951,National Coalition
1951,1951,80,Finland,0.0,2.419,8.871,23.257,2.419,July 1951,Agrarian Union
1951,1951,90,Finland,0.0,1.724,8.621,7.567,10.345,July 1951,Swedish People’s Party
1951,1952,20,Finland,0.0,3.571,4.464,21.589,-52.679,July 1951,Finnish People’s Democratic Union
1951,1952,30,Finland,0.0,0.0,0.0,26.52,9.259,July 1951,Finnish Social Democrats
1951,1952,40,Finland,0.7190000000000001,0.0,4.317,5.678,21.583,July 1951,Finnish People’s Party
1951,1952,60,Finland,0.0,3.077,4.615,14.565,29.231,July 1951,National Coalition
1951,1952,80,Finland,0.0,2.419,8.871,23.257,2.419,July 1951,Agrarian Union
1951,1952,90,Finland,0.0,1.724,8.621,7.567,10.345,July 1951,Swedish People’s Party
1951,1953,20,Finland,0.0,3.571,4.464,21.589,-52.679,July 1951,Finnish People’s Democratic Union
1951,1953,30,Finland,0.0,0.0,0.0,26.52,9.259,July 1951,Finnish Social Democrats
1951,1953,40,Finland,0.7190000000000001,0.0,4.317,5.678,21.583,July 1951,Finnish People’s Party
1951,1953,60,Finland,0.0,3.077,4.615,14.565,29.231,July 1951,National Coalition
1951,1953,80,Finland,0.0,2.419,8.871,23.257,2.419,July 1951,Agrarian Union
1951,1953,90,Finland,0.0,1.724,8.621,7.567,10.345,July 1951,Swedish People’s Party
1954,1954,20,Finland,0.0,1.575,10.236,21.587,-33.858000000000004,March 1954,Finnish People’s Democratic Union
1954,1954,30,Finland,0.0,0.0,0.0,26.246,-38.824,March 1954,Finnish Social Democrats
1954,1954,40,Finland,0.7190000000000001,0.0,4.317,7.883999999999999,21.583,March 1954,Finnish People’s Party
1954,1954,60,Finland,0.0,0.0,5.405,12.798,-10.811,March 1954,National Coalition
1954,1954,80,Finland,0.0,0.0,7.407,24.098000000000006,37.778,March 1954,Agrarian Union
1954,1954,90,Finland,0.0,2.469,12.345999999999998,6.978,1.235,March 1954,Swedish People’s Party
