year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1946,1946,20,France,0.0,0.0,4.878,28.585,18.902,November 1946,French Communist Party
1946,1946,30,France,0.0,4.526,3.879,17.872,-14.44,November 1946,French Section of the Workers' International
1946,1946,40,France,0.0,0.0,2.139,12.401,37.433,November 1946,Radical Socialist Party
1946,1946,50,France,0.0,0.0,1.045,26.341,48.432,November 1946,Popular Republican Movement
1946,1946,60,France,0.0,0.862,0.862,1.628,25.0,November 1946,Rally for the French People - Gaullists
1946,1946,60,France,0.0,1.918,1.644,12.839,25.479,November 1946,Republican Party of Liberty - Conservatives
1946,1947,20,France,0.0,0.0,4.878,28.585,18.902,November 1946,French Communist Party
1946,1947,30,France,0.0,4.526,3.879,17.872,-14.44,November 1946,French Section of the Workers' International
1946,1947,40,France,0.0,0.0,2.139,12.401,37.433,November 1946,Radical Socialist Party
1946,1947,50,France,0.0,0.0,1.045,26.341,48.432,November 1946,Popular Republican Movement
1946,1947,60,France,0.0,0.862,0.862,1.628,25.0,November 1946,Rally for the French People - Gaullists
1946,1947,60,France,0.0,1.918,1.644,12.839,25.479,November 1946,Republican Party of Liberty - Conservatives
1946,1948,20,France,0.0,0.0,4.878,28.585,18.902,November 1946,French Communist Party
1946,1948,30,France,0.0,4.526,3.879,17.872,-14.44,November 1946,French Section of the Workers' International
1946,1948,40,France,0.0,0.0,2.139,12.401,37.433,November 1946,Radical Socialist Party
1946,1948,50,France,0.0,0.0,1.045,26.341,48.432,November 1946,Popular Republican Movement
1946,1948,60,France,0.0,0.862,0.862,1.628,25.0,November 1946,Rally for the French People - Gaullists
1946,1948,60,France,0.0,1.918,1.644,12.839,25.479,November 1946,Republican Party of Liberty - Conservatives
1946,1949,20,France,0.0,0.0,4.878,28.585,18.902,November 1946,French Communist Party
1946,1949,30,France,0.0,4.526,3.879,17.872,-14.44,November 1946,French Section of the Workers' International
1946,1949,40,France,0.0,0.0,2.139,12.401,37.433,November 1946,Radical Socialist Party
1946,1949,50,France,0.0,0.0,1.045,26.341,48.432,November 1946,Popular Republican Movement
1946,1949,60,France,0.0,0.862,0.862,1.628,25.0,November 1946,Rally for the French People - Gaullists
1946,1949,60,France,0.0,1.918,1.644,12.839,25.479,November 1946,Republican Party of Liberty - Conservatives
1946,1950,20,France,0.0,0.0,4.878,28.585,18.902,November 1946,French Communist Party
1946,1950,30,France,0.0,4.526,3.879,17.872,-14.44,November 1946,French Section of the Workers' International
1946,1950,40,France,0.0,0.0,2.139,12.401,37.433,November 1946,Radical Socialist Party
1946,1950,50,France,0.0,0.0,1.045,26.341,48.432,November 1946,Popular Republican Movement
1946,1950,60,France,0.0,0.862,0.862,1.628,25.0,November 1946,Rally for the French People - Gaullists
1946,1950,60,France,0.0,1.918,1.644,12.839,25.479,November 1946,Republican Party of Liberty - Conservatives
1951,1951,20,France,0.0,0.325,6.818000000000001,26.434,0.325,June 1951,French Communist Party
1951,1951,30,France,0.0,0.0,4.046,14.349,-15.607,June 1951,French Section of the Workers' International
1951,1951,40,France,0.0,0.0,3.07,9.868,15.383,June 1951,Radical Socialist Party
1951,1951,50,France,0.0,0.685,2.235,12.388,25.928,June 1951,Popular Republican Movement
1951,1951,60,France,0.0,0.862,0.862,21.567,25.0,June 1951,Rally for the French People - Gaullists
1951,1951,60,France,0.0,1.166,1.648,13.89,27.203000000000007,June 1951,National Centre of Independents and Peasants - Conservatives
1951,1952,20,France,0.0,0.325,6.818000000000001,26.434,0.325,June 1951,French Communist Party
1951,1952,30,France,0.0,0.0,4.046,14.349,-15.607,June 1951,French Section of the Workers' International
1951,1952,40,France,0.0,0.0,3.07,9.868,15.383,June 1951,Radical Socialist Party
1951,1952,50,France,0.0,0.685,2.235,12.388,25.928,June 1951,Popular Republican Movement
1951,1952,60,France,0.0,0.862,0.862,21.567,25.0,June 1951,Rally for the French People - Gaullists
1951,1952,60,France,0.0,1.166,1.648,13.89,27.203000000000007,June 1951,National Centre of Independents and Peasants - Conservatives
1951,1953,20,France,0.0,0.325,6.818000000000001,26.434,0.325,June 1951,French Communist Party
1951,1953,30,France,0.0,0.0,4.046,14.349,-15.607,June 1951,French Section of the Workers' International
1951,1953,40,France,0.0,0.0,3.07,9.868,15.383,June 1951,Radical Socialist Party
1951,1953,50,France,0.0,0.685,2.235,12.388,25.928,June 1951,Popular Republican Movement
1951,1953,60,France,0.0,0.862,0.862,21.567,25.0,June 1951,Rally for the French People - Gaullists
1951,1953,60,France,0.0,1.166,1.648,13.89,27.203000000000007,June 1951,National Centre of Independents and Peasants - Conservatives
1951,1954,20,France,0.0,0.325,6.818000000000001,26.434,0.325,June 1951,French Communist Party
1951,1954,30,France,0.0,0.0,4.046,14.349,-15.607,June 1951,French Section of the Workers' International
1951,1954,40,France,0.0,0.0,3.07,9.868,15.383,June 1951,Radical Socialist Party
1951,1954,50,France,0.0,0.685,2.235,12.388,25.928,June 1951,Popular Republican Movement
1951,1954,60,France,0.0,0.862,0.862,21.567,25.0,June 1951,Rally for the French People - Gaullists
1951,1954,60,France,0.0,1.166,1.648,13.89,27.203000000000007,June 1951,National Centre of Independents and Peasants - Conservatives
1951,1955,20,France,0.0,0.325,6.818000000000001,26.434,0.325,June 1951,French Communist Party
1951,1955,30,France,0.0,0.0,4.046,14.349,-15.607,June 1951,French Section of the Workers' International
1951,1955,40,France,0.0,0.0,3.07,9.868,15.383,June 1951,Radical Socialist Party
1951,1955,50,France,0.0,0.685,2.235,12.388,25.928,June 1951,Popular Republican Movement
1951,1955,60,France,0.0,0.862,0.862,21.567,25.0,June 1951,Rally for the French People - Gaullists
1951,1955,60,France,0.0,1.166,1.648,13.89,27.203000000000007,June 1951,National Centre of Independents and Peasants - Conservatives
1956,1956,20,France,0.0,0.5670000000000001,4.249,25.659,0.85,January 1956,French Communist Party
1956,1956,30,France,0.0,0.8130000000000001,8.943,15.111,-41.057,January 1956,French Section of the Workers' International
1956,1956,40,France,0.0,0.0,4.0,15.018,-6.667000000000002,January 1956,Radical Socialist Party
1956,1956,50,France,0.0,1.37,3.425,11.011,3.425,January 1956,Popular Republican Movement
1956,1956,60,France,0.0,0.8310000000000001,2.681,3.92,20.35,January 1956,Rally for the French People - Gaullists
1956,1956,60,France,0.0,0.413,1.653,15.159,28.926,January 1956,National Centre of Independents and Peasants - Conservatives
1956,1956,60,France,0.0,0.0,1.37,11.558,21.461,January 1956,Union for the Defence of Traders and Artisans - Poujadists
1956,1957,20,France,0.0,0.5670000000000001,4.249,25.659,0.85,January 1956,French Communist Party
1956,1957,30,France,0.0,0.8130000000000001,8.943,15.111,-41.057,January 1956,French Section of the Workers' International
1956,1957,40,France,0.0,0.0,4.0,15.018,-6.667000000000002,January 1956,Radical Socialist Party
1956,1957,50,France,0.0,1.37,3.425,11.011,3.425,January 1956,Popular Republican Movement
1956,1957,60,France,0.0,0.8310000000000001,2.681,3.92,20.35,January 1956,Rally for the French People - Gaullists
1956,1957,60,France,0.0,0.413,1.653,15.159,28.926,January 1956,National Centre of Independents and Peasants - Conservatives
1956,1957,60,France,0.0,0.0,1.37,11.558,21.461,January 1956,Union for the Defence of Traders and Artisans - Poujadists
1958,1958,20,France,0.0,2.8,0.0,18.886,-51.4,November 1958,French Communist Party
1958,1958,30,France,0.0,0.0,0.0,15.476,-19.4,November 1958,French Section of the Workers' International
1958,1958,40,France,0.0,0.0,12.0,9.651,8.0,November 1958,Radical Socialist Party
1958,1958,50,France,0.0,5.0,5.7,11.09,-12.5,November 1958,Popular Republican Movement
1958,1958,60,France,0.0,0.8,4.5,20.638,15.7,November 1958,Union for the New Republic - Gaullists
1958,1958,60,France,0.0,0.4,2.9,19.964,19.7,November 1958,National Centre of Independents and Peasants - Conservatives
1958,1959,20,France,0.0,2.8,0.0,18.886,-51.4,November 1958,French Communist Party
1958,1959,30,France,0.0,0.0,0.0,15.476,-19.4,November 1958,French Section of the Workers' International
1958,1959,40,France,0.0,0.0,12.0,9.651,8.0,November 1958,Radical Socialist Party
1958,1959,50,France,0.0,5.0,5.7,11.09,-12.5,November 1958,Popular Republican Movement
1958,1959,60,France,0.0,0.8,4.5,20.638,15.7,November 1958,Union for the New Republic - Gaullists
1958,1959,60,France,0.0,0.4,2.9,19.964,19.7,November 1958,National Centre of Independents and Peasants - Conservatives
1958,1960,20,France,0.0,2.8,0.0,18.886,-51.4,November 1958,French Communist Party
1958,1960,30,France,0.0,0.0,0.0,15.476,-19.4,November 1958,French Section of the Workers' International
1958,1960,40,France,0.0,0.0,12.0,9.651,8.0,November 1958,Radical Socialist Party
1958,1960,50,France,0.0,5.0,5.7,11.09,-12.5,November 1958,Popular Republican Movement
1958,1960,60,France,0.0,0.8,4.5,20.638,15.7,November 1958,Union for the New Republic - Gaullists
1958,1960,60,France,0.0,0.4,2.9,19.964,19.7,November 1958,National Centre of Independents and Peasants - Conservatives
1958,1961,20,France,0.0,2.8,0.0,18.886,-51.4,November 1958,French Communist Party
1958,1961,30,France,0.0,0.0,0.0,15.476,-19.4,November 1958,French Section of the Workers' International
1958,1961,40,France,0.0,0.0,12.0,9.651,8.0,November 1958,Radical Socialist Party
1958,1961,50,France,0.0,5.0,5.7,11.09,-12.5,November 1958,Popular Republican Movement
1958,1961,60,France,0.0,0.8,4.5,20.638,15.7,November 1958,Union for the New Republic - Gaullists
1958,1961,60,France,0.0,0.4,2.9,19.964,19.7,November 1958,National Centre of Independents and Peasants - Conservatives
1962,1962,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,November 1962,French Communist Party
1962,1962,30,France,0.0,2.7,8.0,12.432,-49.5,November 1962,French Section of the Workers' International
1962,1962,40,France,1.0,1.5,0.0,7.421,-20.3,November 1962,Radical Socialist Party
1962,1962,50,France,0.0,0.0,10.0,7.875,-6.600000000000001,November 1962,Popular Republican Movement
1962,1962,60,France,0.3,0.8,3.7,33.696,9.6,November 1962,Union for the New Republic - Gaullists
1962,1962,60,France,0.6,1.3,4.5,11.515,11.4,November 1962,National Centre of Independents and Peasants - Conservatives
1962,1963,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,November 1962,French Communist Party
1962,1963,30,France,0.0,2.7,8.0,12.432,-49.5,November 1962,French Section of the Workers' International
1962,1963,40,France,1.0,1.5,0.0,7.421,-20.3,November 1962,Radical Socialist Party
1962,1963,50,France,0.0,0.0,10.0,7.875,-6.600000000000001,November 1962,Popular Republican Movement
1962,1963,60,France,0.3,0.8,3.7,33.696,9.6,November 1962,Union for the New Republic - Gaullists
1962,1963,60,France,0.6,1.3,4.5,11.515,11.4,November 1962,National Centre of Independents and Peasants - Conservatives
1962,1964,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,November 1962,French Communist Party
1962,1964,30,France,0.0,2.7,8.0,12.432,-49.5,November 1962,French Section of the Workers' International
1962,1964,40,France,1.0,1.5,0.0,7.421,-20.3,November 1962,Radical Socialist Party
1962,1964,50,France,0.0,0.0,10.0,7.875,-6.600000000000001,November 1962,Popular Republican Movement
1962,1964,60,France,0.3,0.8,3.7,33.696,9.6,November 1962,Union for the New Republic - Gaullists
1962,1964,60,France,0.6,1.3,4.5,11.515,11.4,November 1962,National Centre of Independents and Peasants - Conservatives
1962,1965,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,November 1962,French Communist Party
1962,1965,30,France,0.0,2.7,8.0,12.432,-49.5,November 1962,French Section of the Workers' International
1962,1965,40,France,1.0,1.5,0.0,7.421,-20.3,November 1962,Radical Socialist Party
1962,1965,50,France,0.0,0.0,10.0,7.875,-6.600000000000001,November 1962,Popular Republican Movement
1962,1965,60,France,0.3,0.8,3.7,33.696,9.6,November 1962,Union for the New Republic - Gaullists
1962,1965,60,France,0.6,1.3,4.5,11.515,11.4,November 1962,National Centre of Independents and Peasants - Conservatives
1962,1966,20,France,0.7000000000000001,2.7,9.4,21.875,-35.6,November 1962,French Communist Party
1962,1966,30,France,0.0,2.7,8.0,12.432,-49.5,November 1962,French Section of the Workers' International
1962,1966,40,France,1.0,1.5,0.0,7.421,-20.3,November 1962,Radical Socialist Party
1962,1966,50,France,0.0,0.0,10.0,7.875,-6.600000000000001,November 1962,Popular Republican Movement
1962,1966,60,France,0.3,0.8,3.7,33.696,9.6,November 1962,Union for the New Republic - Gaullists
1962,1966,60,France,0.6,1.3,4.5,11.515,11.4,November 1962,National Centre of Independents and Peasants - Conservatives
1967,1967,20,France,1.1,3.2,5.3,22.506,-50.2,March 1967,French Communist Party
1967,1967,30,France,0.0,2.2,7.5,11.37,-38.0,March 1967,French Section of the Workers' International
1967,1967,40,France,0.0,2.2,7.5,7.53,-38.0,March 1967,Radical Socialist Party
1967,1967,50,France,0.0,0.0,0.0,14.093,7.3,March 1967,Democratic Centre
1967,1967,60,France,0.0,0.0,10.8,32.953,11.0,March 1967,Democratic Union of the Fifth Republic - Gaulists
1967,1967,60,France,0.6,1.3,4.5,3.26,11.4,March 1967,National Centre of Independents and Peasants - Conservatives
