year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1949,1949,20,Germany,0.0,0.0,14.773,5.738,-10.227,August 1949,Communist Party of Germany
1949,1949,30,Germany,0.0,0.0,2.041,29.222,-18.367,August 1949,Social Democratic Party of Germany
1949,1949,40,Germany,0.0,1.869,0.935,11.924,6.542000000000002,August 1949,Free Democratic Party
1949,1949,50,Germany,0.0,0.68,2.041,31.009,-11.565,August 1949,Christian Democratic Union/Christian Social Union
1949,1949,50,Germany,0.0,0.0,0.0,3.065,-21.739,August 1949,Centre Party
1949,1949,60,Germany,0.0,0.0,11.429,3.961,28.571,August 1949,German Party
1949,1949,70,Germany,0.0,0.0,4.11,2.873,-24.658,August 1949,Economic Reconstruction League
1949,1949,70,Germany,0.0,0.0,5.0,1.808,20.0,August 1949,German Reich Party
1949,1949,90,Germany,0.0,0.0,4.762,4.157,28.571,August 1949,Bavarian Party
1949,1949,90,Germany,0.0,0.0,5.263,0.318,31.579,August 1949,South Schleswig Voters’ Union
1949,1950,20,Germany,0.0,0.0,14.773,5.738,-10.227,August 1949,Communist Party of Germany
1949,1950,30,Germany,0.0,0.0,2.041,29.222,-18.367,August 1949,Social Democratic Party of Germany
1949,1950,40,Germany,0.0,1.869,0.935,11.924,6.542000000000002,August 1949,Free Democratic Party
1949,1950,50,Germany,0.0,0.68,2.041,31.009,-11.565,August 1949,Christian Democratic Union/Christian Social Union
1949,1950,50,Germany,0.0,0.0,0.0,3.065,-21.739,August 1949,Centre Party
1949,1950,60,Germany,0.0,0.0,11.429,3.961,28.571,August 1949,German Party
1949,1950,70,Germany,0.0,0.0,4.11,2.873,-24.658,August 1949,Economic Reconstruction League
1949,1950,70,Germany,0.0,0.0,5.0,1.808,20.0,August 1949,German Reich Party
1949,1950,90,Germany,0.0,0.0,4.762,4.157,28.571,August 1949,Bavarian Party
1949,1950,90,Germany,0.0,0.0,5.263,0.318,31.579,August 1949,South Schleswig Voters’ Union
1949,1951,20,Germany,0.0,0.0,14.773,5.738,-10.227,August 1949,Communist Party of Germany
1949,1951,30,Germany,0.0,0.0,2.041,29.222,-18.367,August 1949,Social Democratic Party of Germany
1949,1951,40,Germany,0.0,1.869,0.935,11.924,6.542000000000002,August 1949,Free Democratic Party
1949,1951,50,Germany,0.0,0.68,2.041,31.009,-11.565,August 1949,Christian Democratic Union/Christian Social Union
1949,1951,50,Germany,0.0,0.0,0.0,3.065,-21.739,August 1949,Centre Party
1949,1951,60,Germany,0.0,0.0,11.429,3.961,28.571,August 1949,German Party
1949,1951,70,Germany,0.0,0.0,4.11,2.873,-24.658,August 1949,Economic Reconstruction League
1949,1951,70,Germany,0.0,0.0,5.0,1.808,20.0,August 1949,German Reich Party
1949,1951,90,Germany,0.0,0.0,4.762,4.157,28.571,August 1949,Bavarian Party
1949,1951,90,Germany,0.0,0.0,5.263,0.318,31.579,August 1949,South Schleswig Voters’ Union
1949,1952,20,Germany,0.0,0.0,14.773,5.738,-10.227,August 1949,Communist Party of Germany
1949,1952,30,Germany,0.0,0.0,2.041,29.222,-18.367,August 1949,Social Democratic Party of Germany
1949,1952,40,Germany,0.0,1.869,0.935,11.924,6.542000000000002,August 1949,Free Democratic Party
1949,1952,50,Germany,0.0,0.68,2.041,31.009,-11.565,August 1949,Christian Democratic Union/Christian Social Union
1949,1952,50,Germany,0.0,0.0,0.0,3.065,-21.739,August 1949,Centre Party
1949,1952,60,Germany,0.0,0.0,11.429,3.961,28.571,August 1949,German Party
1949,1952,70,Germany,0.0,0.0,4.11,2.873,-24.658,August 1949,Economic Reconstruction League
1949,1952,70,Germany,0.0,0.0,5.0,1.808,20.0,August 1949,German Reich Party
1949,1952,90,Germany,0.0,0.0,4.762,4.157,28.571,August 1949,Bavarian Party
1949,1952,90,Germany,0.0,0.0,5.263,0.318,31.579,August 1949,South Schleswig Voters’ Union
1953,1953,30,Germany,0.0,0.0,7.407,28.837,-23.457,September 1953,Social Democratic Party of Germany
1953,1953,40,Germany,0.0,2.247,2.247,9.543,-1.124,September 1953,Free Democratic Party
1953,1953,50,Germany,0.0,1.653,2.479,45.167,-6.612,September 1953,Christian Democratic Union/Christian Social Union
1953,1953,50,Germany,0.0,0.0,10.0,0.7879999999999999,-10.0,September 1953,Centre Party
1953,1953,60,Germany,0.0,0.0,4.762,3.253,-15.476,September 1953,German Party
1953,1953,95,Germany,0.0,0.0,6.667000000000002,5.869,-13.333,September 1953,Refugee Party
1953,1954,30,Germany,0.0,0.0,7.407,28.837,-23.457,September 1953,Social Democratic Party of Germany
1953,1954,40,Germany,0.0,2.247,2.247,9.543,-1.124,September 1953,Free Democratic Party
1953,1954,50,Germany,0.0,1.653,2.479,45.167,-6.612,September 1953,Christian Democratic Union/Christian Social Union
1953,1954,50,Germany,0.0,0.0,10.0,0.7879999999999999,-10.0,September 1953,Centre Party
1953,1954,60,Germany,0.0,0.0,4.762,3.253,-15.476,September 1953,German Party
1953,1954,95,Germany,0.0,0.0,6.667000000000002,5.869,-13.333,September 1953,Refugee Party
1953,1955,30,Germany,0.0,0.0,7.407,28.837,-23.457,September 1953,Social Democratic Party of Germany
1953,1955,40,Germany,0.0,2.247,2.247,9.543,-1.124,September 1953,Free Democratic Party
1953,1955,50,Germany,0.0,1.653,2.479,45.167,-6.612,September 1953,Christian Democratic Union/Christian Social Union
1953,1955,50,Germany,0.0,0.0,10.0,0.7879999999999999,-10.0,September 1953,Centre Party
1953,1955,60,Germany,0.0,0.0,4.762,3.253,-15.476,September 1953,German Party
1953,1955,95,Germany,0.0,0.0,6.667000000000002,5.869,-13.333,September 1953,Refugee Party
1953,1956,30,Germany,0.0,0.0,7.407,28.837,-23.457,September 1953,Social Democratic Party of Germany
1953,1956,40,Germany,0.0,2.247,2.247,9.543,-1.124,September 1953,Free Democratic Party
1953,1956,50,Germany,0.0,1.653,2.479,45.167,-6.612,September 1953,Christian Democratic Union/Christian Social Union
1953,1956,50,Germany,0.0,0.0,10.0,0.7879999999999999,-10.0,September 1953,Centre Party
1953,1956,60,Germany,0.0,0.0,4.762,3.253,-15.476,September 1953,German Party
1953,1956,95,Germany,0.0,0.0,6.667000000000002,5.869,-13.333,September 1953,Refugee Party
1957,1957,30,Germany,0.0,1.471,5.8820000000000014,31.752,-25.0,September 1957,Social Democratic Party of Germany
1957,1957,40,Germany,0.0,1.449,2.899,7.715,0.0,September 1957,Free Democratic Party
1957,1957,50,Germany,0.0,0.0,0.0,50.18600000000001,50.0,September 1957,Christian Democratic Union/Christian Social Union
1957,1957,60,Germany,0.0,0.0,0.0,3.3680000000000003,-20.0,September 1957,German Party
1957,1958,30,Germany,0.0,1.471,5.8820000000000014,31.752,-25.0,September 1957,Social Democratic Party of Germany
1957,1958,40,Germany,0.0,1.449,2.899,7.715,0.0,September 1957,Free Democratic Party
1957,1958,50,Germany,0.0,0.0,0.0,50.18600000000001,50.0,September 1957,Christian Democratic Union/Christian Social Union
1957,1958,60,Germany,0.0,0.0,0.0,3.3680000000000003,-20.0,September 1957,German Party
1957,1959,30,Germany,0.0,1.471,5.8820000000000014,31.752,-25.0,September 1957,Social Democratic Party of Germany
1957,1959,40,Germany,0.0,1.449,2.899,7.715,0.0,September 1957,Free Democratic Party
1957,1959,50,Germany,0.0,0.0,0.0,50.18600000000001,50.0,September 1957,Christian Democratic Union/Christian Social Union
1957,1959,60,Germany,0.0,0.0,0.0,3.3680000000000003,-20.0,September 1957,German Party
1957,1960,30,Germany,0.0,1.471,5.8820000000000014,31.752,-25.0,September 1957,Social Democratic Party of Germany
1957,1960,40,Germany,0.0,1.449,2.899,7.715,0.0,September 1957,Free Democratic Party
1957,1960,50,Germany,0.0,0.0,0.0,50.18600000000001,50.0,September 1957,Christian Democratic Union/Christian Social Union
1957,1960,60,Germany,0.0,0.0,0.0,3.3680000000000003,-20.0,September 1957,German Party
1961,1961,30,Germany,1.744,1.744,4.651,36.219,-2.907,September 1961,Social Democratic Party of Germany
1961,1961,40,Germany,2.804,0.935,0.935,12.769,-17.757,September 1961,Free Democratic Party
1961,1961,50,Germany,6.977,4.651,2.326,45.31800000000001,2.326,September 1961,Christian Democratic Union/Christian Social Union
1961,1962,30,Germany,1.744,1.744,4.651,36.219,-2.907,September 1961,Social Democratic Party of Germany
1961,1962,40,Germany,2.804,0.935,0.935,12.769,-17.757,September 1961,Free Democratic Party
1961,1962,50,Germany,6.977,4.651,2.326,45.31800000000001,2.326,September 1961,Christian Democratic Union/Christian Social Union
1961,1963,30,Germany,1.744,1.744,4.651,36.219,-2.907,September 1961,Social Democratic Party of Germany
1961,1963,40,Germany,2.804,0.935,0.935,12.769,-17.757,September 1961,Free Democratic Party
1961,1963,50,Germany,6.977,4.651,2.326,45.31800000000001,2.326,September 1961,Christian Democratic Union/Christian Social Union
1961,1964,30,Germany,1.744,1.744,4.651,36.219,-2.907,September 1961,Social Democratic Party of Germany
1961,1964,40,Germany,2.804,0.935,0.935,12.769,-17.757,September 1961,Free Democratic Party
1961,1964,50,Germany,6.977,4.651,2.326,45.31800000000001,2.326,September 1961,Christian Democratic Union/Christian Social Union
1965,1965,30,Germany,0.911,3.417,0.911,39.28,-5.922999999999999,September 1965,Social Democratic Party of Germany
1965,1965,40,Germany,2.358,1.887,1.415,9.493,0.943,September 1965,Free Democratic Party
1965,1965,50,Germany,3.2,0.0,2.4,47.59,-1.6,September 1965,Christian Democratic Union/Christian Social Union
1965,1966,30,Germany,0.911,3.417,0.911,39.28,-5.922999999999999,September 1965,Social Democratic Party of Germany
1965,1966,40,Germany,2.358,1.887,1.415,9.493,0.943,September 1965,Free Democratic Party
1965,1966,50,Germany,3.2,0.0,2.4,47.59,-1.6,September 1965,Christian Democratic Union/Christian Social Union
1965,1967,30,Germany,0.911,3.417,0.911,39.28,-5.922999999999999,September 1965,Social Democratic Party of Germany
1965,1967,40,Germany,2.358,1.887,1.415,9.493,0.943,September 1965,Free Democratic Party
1965,1967,50,Germany,3.2,0.0,2.4,47.59,-1.6,September 1965,Christian Democratic Union/Christian Social Union
1965,1968,30,Germany,0.911,3.417,0.911,39.28,-5.922999999999999,September 1965,Social Democratic Party of Germany
1965,1968,40,Germany,2.358,1.887,1.415,9.493,0.943,September 1965,Free Democratic Party
1965,1968,50,Germany,3.2,0.0,2.4,47.59,-1.6,September 1965,Christian Democratic Union/Christian Social Union
1969,1969,30,Germany,0.0,2.609,6.0870000000000015,42.667,-10.435,September 1969,Social Democratic Party of Germany
1969,1969,40,Germany,0.0,1.3330000000000002,0.667,5.774,-18.667,September 1969,Free Democratic Party
1969,1969,50,Germany,2.542,0.847,2.542,46.093,-5.085,September 1969,Christian Democratic Union/Christian Social Union
1969,1970,30,Germany,0.0,2.609,6.0870000000000015,42.667,-10.435,September 1969,Social Democratic Party of Germany
1969,1970,40,Germany,0.0,1.3330000000000002,0.667,5.774,-18.667,September 1969,Free Democratic Party
1969,1970,50,Germany,2.542,0.847,2.542,46.093,-5.085,September 1969,Christian Democratic Union/Christian Social Union
1969,1971,30,Germany,0.0,2.609,6.0870000000000015,42.667,-10.435,September 1969,Social Democratic Party of Germany
1969,1971,40,Germany,0.0,1.3330000000000002,0.667,5.774,-18.667,September 1969,Free Democratic Party
1969,1971,50,Germany,2.542,0.847,2.542,46.093,-5.085,September 1969,Christian Democratic Union/Christian Social Union
1972,1972,30,Germany,5.0,6.667000000000002,6.1110000000000015,45.85,-14.444,November 1972,Social Democratic Party of Germany
1972,1972,40,Germany,3.846,0.0,3.846,8.356,26.923,November 1972,Free Democratic Party
1972,1972,50,Germany,5.143,0.0,5.714,44.864,5.143,November 1972,Christian Democratic Union/Christian Social Union
1972,1973,30,Germany,5.0,6.667000000000002,6.1110000000000015,45.85,-14.444,November 1972,Social Democratic Party of Germany
1972,1973,40,Germany,3.846,0.0,3.846,8.356,26.923,November 1972,Free Democratic Party
1972,1973,50,Germany,5.143,0.0,5.714,44.864,5.143,November 1972,Christian Democratic Union/Christian Social Union
1972,1974,30,Germany,5.0,6.667000000000002,6.1110000000000015,45.85,-14.444,November 1972,Social Democratic Party of Germany
1972,1974,40,Germany,3.846,0.0,3.846,8.356,26.923,November 1972,Free Democratic Party
1972,1974,50,Germany,5.143,0.0,5.714,44.864,5.143,November 1972,Christian Democratic Union/Christian Social Union
1972,1975,30,Germany,5.0,6.667000000000002,6.1110000000000015,45.85,-14.444,November 1972,Social Democratic Party of Germany
1972,1975,40,Germany,3.846,0.0,3.846,8.356,26.923,November 1972,Free Democratic Party
1972,1975,50,Germany,5.143,0.0,5.714,44.864,5.143,November 1972,Christian Democratic Union/Christian Social Union
1976,1976,30,Germany,1.98,1.98,3.465,42.565,-20.792,October 1976,Social Democratic Party of Germany
1976,1976,40,Germany,2.128,10.638,3.83,7.919,-5.532,October 1976,Free Democratic Party
1976,1976,50,Germany,2.235,1.676,6.145,48.635,14.525,October 1976,Christian Democratic Union/Christian Social Union
1976,1977,30,Germany,1.98,1.98,3.465,42.565,-20.792,October 1976,Social Democratic Party of Germany
1976,1977,40,Germany,2.128,10.638,3.83,7.919,-5.532,October 1976,Free Democratic Party
1976,1977,50,Germany,2.235,1.676,6.145,48.635,14.525,October 1976,Christian Democratic Union/Christian Social Union
1976,1978,30,Germany,1.98,1.98,3.465,42.565,-20.792,October 1976,Social Democratic Party of Germany
1976,1978,40,Germany,2.128,10.638,3.83,7.919,-5.532,October 1976,Free Democratic Party
1976,1978,50,Germany,2.235,1.676,6.145,48.635,14.525,October 1976,Christian Democratic Union/Christian Social Union
1976,1979,30,Germany,1.98,1.98,3.465,42.565,-20.792,October 1976,Social Democratic Party of Germany
1976,1979,40,Germany,2.128,10.638,3.83,7.919,-5.532,October 1976,Free Democratic Party
1976,1979,50,Germany,2.235,1.676,6.145,48.635,14.525,October 1976,Christian Democratic Union/Christian Social Union
1980,1980,30,Germany,1.404,3.86,5.263,42.86,-20.351,October 1980,Social Democratic Party of Germany
1980,1980,40,Germany,8.372,3.411,1.24,10.625,-7.1320000000000014,October 1980,Free Democratic Party
1980,1980,50,Germany,0.758,4.167,4.545,44.539,21.212,October 1980,Christian Democratic Union/Christian Social Union
1980,1981,30,Germany,1.404,3.86,5.263,42.86,-20.351,October 1980,Social Democratic Party of Germany
1980,1981,40,Germany,8.372,3.411,1.24,10.625,-7.1320000000000014,October 1980,Free Democratic Party
1980,1981,50,Germany,0.758,4.167,4.545,44.539,21.212,October 1980,Christian Democratic Union/Christian Social Union
1980,1982,30,Germany,1.404,3.86,5.263,42.86,-20.351,October 1980,Social Democratic Party of Germany
