year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1974,1974,20,Greece,0.205,0.0,5.738,5.92,-28.689,November 1974,Communist Party of Greece
1974,1974,30,Greece,0.368,0.0,13.628,13.575,-37.569,November 1974,Panhellenic Socialist Movement
1974,1974,50,Greece,0.0,0.0,5.67,20.423,-32.99,November 1974,Centre Union
1974,1974,50,Greece,0.0,0.0,2.381,54.37300000000001,-3.571,November 1974,New Democracy
1974,1975,20,Greece,0.205,0.0,5.738,5.92,-28.689,November 1974,Communist Party of Greece
1974,1975,30,Greece,0.368,0.0,13.628,13.575,-37.569,November 1974,Panhellenic Socialist Movement
1974,1975,50,Greece,0.0,0.0,5.67,20.423,-32.99,November 1974,Centre Union
1974,1975,50,Greece,0.0,0.0,2.381,54.37300000000001,-3.571,November 1974,New Democracy
1974,1976,20,Greece,0.205,0.0,5.738,5.92,-28.689,November 1974,Communist Party of Greece
1974,1976,30,Greece,0.368,0.0,13.628,13.575,-37.569,November 1974,Panhellenic Socialist Movement
1974,1976,50,Greece,0.0,0.0,5.67,20.423,-32.99,November 1974,Centre Union
1974,1976,50,Greece,0.0,0.0,2.381,54.37300000000001,-3.571,November 1974,New Democracy
1977,1977,20,Greece,1.22,0.0,6.098,9.362,-15.244000000000002,November 1977,Communist Party of Greece
1977,1977,30,Greece,5.917000000000002,4.253,4.771,25.343000000000004,-27.182,November 1977,Panhellenic Socialist Movement
1977,1977,50,Greece,0.333,1.6669999999999998,4.0,11.946,-16.333,November 1977,Union of the Democratic Centre
1977,1977,50,Greece,0.0,0.0,0.0,41.841,32.298,November 1977,New Democracy
1977,1977,60,Greece,0.0,0.0,1.754,6.823,12.281,November 1977,National Alignment
1977,1978,20,Greece,1.22,0.0,6.098,9.362,-15.244000000000002,November 1977,Communist Party of Greece
1977,1978,30,Greece,5.917000000000002,4.253,4.771,25.343000000000004,-27.182,November 1977,Panhellenic Socialist Movement
1977,1978,50,Greece,0.333,1.6669999999999998,4.0,11.946,-16.333,November 1977,Union of the Democratic Centre
1977,1978,50,Greece,0.0,0.0,0.0,41.841,32.298,November 1977,New Democracy
1977,1978,60,Greece,0.0,0.0,1.754,6.823,12.281,November 1977,National Alignment
