year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990,1990,30,Hungary,1.825,2.19,6.204,10.895,-8.394,March 1990,Hungarian Socialist Party
1990,1990,30,Hungary,2.778,0.0,9.259,2.1180000000000003,-15.741,March 1990,Hungarian Social Democratic Party
1990,1990,60,Hungary,7.813,0.7809999999999999,0.7809999999999999,8.952,4.688,March 1990,Federation of Young Democrats
1990,1990,40,Hungary,0.0,0.0,3.2260000000000004,21.396,7.527,March 1990,Alliance of Free Democrats
1990,1990,50,Hungary,11.043,0.0,0.0,22.894,0.0,March 1990,Hungarian Democratic Forum
1990,1990,50,Hungary,1.57,1.121,2.466,6.46,18.161,March 1990,Christian Democratic People’s Party
1990,1990,80,Hungary,0.0,0.0,2.174,11.735,15.217,March 1990,Independent Smallholders’ Party
1990,1990,80,Hungary,5.1720000000000015,0.0,3.448,0.0,1.724,March 1990,Agrarian Alliance
1990,1991,30,Hungary,1.825,2.19,6.204,10.895,-8.394,March 1990,Hungarian Socialist Party
1990,1991,30,Hungary,2.778,0.0,9.259,2.1180000000000003,-15.741,March 1990,Hungarian Social Democratic Party
1990,1991,60,Hungary,7.813,0.7809999999999999,0.7809999999999999,8.952,4.688,March 1990,Federation of Young Democrats
1990,1991,40,Hungary,0.0,0.0,3.2260000000000004,21.396,7.527,March 1990,Alliance of Free Democrats
1990,1991,50,Hungary,11.043,0.0,0.0,22.894,0.0,March 1990,Hungarian Democratic Forum
1990,1991,50,Hungary,1.57,1.121,2.466,6.46,18.161,March 1990,Christian Democratic People’s Party
1990,1991,80,Hungary,0.0,0.0,2.174,11.735,15.217,March 1990,Independent Smallholders’ Party
1990,1991,80,Hungary,5.1720000000000015,0.0,3.448,0.0,1.724,March 1990,Agrarian Alliance
1990,1992,30,Hungary,1.825,2.19,6.204,10.895,-8.394,March 1990,Hungarian Socialist Party
1990,1992,30,Hungary,2.778,0.0,9.259,2.1180000000000003,-15.741,March 1990,Hungarian Social Democratic Party
1990,1992,60,Hungary,7.813,0.7809999999999999,0.7809999999999999,8.952,4.688,March 1990,Federation of Young Democrats
1990,1992,40,Hungary,0.0,0.0,3.2260000000000004,21.396,7.527,March 1990,Alliance of Free Democrats
1990,1992,50,Hungary,11.043,0.0,0.0,22.894,0.0,March 1990,Hungarian Democratic Forum
1990,1992,50,Hungary,1.57,1.121,2.466,6.46,18.161,March 1990,Christian Democratic People’s Party
1990,1992,80,Hungary,0.0,0.0,2.174,11.735,15.217,March 1990,Independent Smallholders’ Party
1990,1992,80,Hungary,5.1720000000000015,0.0,3.448,0.0,1.724,March 1990,Agrarian Alliance
