year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1948,1948,30,Ireland,0.0,0.0,15.0,8.695,-19.2,February 1948,Labour Party
1948,1948,50,Ireland,0.0,0.0,0.0,19.827,51.7,February 1948,Family of the Irish
1948,1948,60,Ireland,0.0,0.0,4.1,41.854,-11.6,February 1948,Soldiers of Destiny
1948,1948,70,Ireland,0.0,7.843,3.922,13.21,-3.922,February 1948,Republican Party
1948,1948,80,Ireland,0.0,0.0,0.0,5.577000000000001,-6.667000000000002,February 1948,Party of the Land
1948,1949,30,Ireland,0.0,0.0,15.0,8.695,-19.2,February 1948,Labour Party
1948,1949,50,Ireland,0.0,0.0,0.0,19.827,51.7,February 1948,Family of the Irish
1948,1949,60,Ireland,0.0,0.0,4.1,41.854,-11.6,February 1948,Soldiers of Destiny
1948,1949,70,Ireland,0.0,7.843,3.922,13.21,-3.922,February 1948,Republican Party
1948,1949,80,Ireland,0.0,0.0,0.0,5.577000000000001,-6.667000000000002,February 1948,Party of the Land
1948,1950,30,Ireland,0.0,0.0,15.0,8.695,-19.2,February 1948,Labour Party
1948,1950,50,Ireland,0.0,0.0,0.0,19.827,51.7,February 1948,Family of the Irish
1948,1950,60,Ireland,0.0,0.0,4.1,41.854,-11.6,February 1948,Soldiers of Destiny
1948,1950,70,Ireland,0.0,7.843,3.922,13.21,-3.922,February 1948,Republican Party
1948,1950,80,Ireland,0.0,0.0,0.0,5.577000000000001,-6.667000000000002,February 1948,Party of the Land
1951,1951,30,Ireland,0.0,0.0,3.2,11.402,-42.0,May 1951,Labour Party
1951,1951,50,Ireland,0.0,0.0,1.8,25.753,33.9,May 1951,Family of the Irish
1951,1951,60,Ireland,0.0,5.7,0.0,46.277,-6.5,May 1951,Soldiers of Destiny
1951,1951,70,Ireland,0.0,7.843,3.922,4.0710000000000015,-3.922,May 1951,Republican Party
1951,1951,80,Ireland,0.0,0.0,0.0,2.919,-3.333,May 1951,Party of the Land
1951,1952,30,Ireland,0.0,0.0,3.2,11.402,-42.0,May 1951,Labour Party
1951,1952,50,Ireland,0.0,0.0,1.8,25.753,33.9,May 1951,Family of the Irish
1951,1952,60,Ireland,0.0,5.7,0.0,46.277,-6.5,May 1951,Soldiers of Destiny
1951,1952,70,Ireland,0.0,7.843,3.922,4.0710000000000015,-3.922,May 1951,Republican Party
1951,1952,80,Ireland,0.0,0.0,0.0,2.919,-3.333,May 1951,Party of the Land
1951,1953,30,Ireland,0.0,0.0,3.2,11.402,-42.0,May 1951,Labour Party
1951,1953,50,Ireland,0.0,0.0,1.8,25.753,33.9,May 1951,Family of the Irish
1951,1953,60,Ireland,0.0,5.7,0.0,46.277,-6.5,May 1951,Soldiers of Destiny
1951,1953,70,Ireland,0.0,7.843,3.922,4.0710000000000015,-3.922,May 1951,Republican Party
1951,1953,80,Ireland,0.0,0.0,0.0,2.919,-3.333,May 1951,Party of the Land
1954,1954,30,Ireland,0.0,0.0,22.5,12.061,-17.5,May 1954,Labour Party
1954,1954,50,Ireland,0.0,0.0,5.600000000000001,31.983,22.2,May 1954,Family of the Irish
1954,1954,60,Ireland,0.0,0.6,2.4,43.361,19.8,May 1954,Soldiers of Destiny
1954,1954,70,Ireland,0.0,7.843,3.922,3.089,-3.922,May 1954,Republican Party
1954,1954,80,Ireland,0.0,0.0,0.0,3.825,0.0,May 1954,Party of the Land
1954,1955,30,Ireland,0.0,0.0,22.5,12.061,-17.5,May 1954,Labour Party
1954,1955,50,Ireland,0.0,0.0,5.600000000000001,31.983,22.2,May 1954,Family of the Irish
1954,1955,60,Ireland,0.0,0.6,2.4,43.361,19.8,May 1954,Soldiers of Destiny
1954,1955,70,Ireland,0.0,7.843,3.922,3.089,-3.922,May 1954,Republican Party
1954,1955,80,Ireland,0.0,0.0,0.0,3.825,0.0,May 1954,Party of the Land
1954,1956,30,Ireland,0.0,0.0,22.5,12.061,-17.5,May 1954,Labour Party
1954,1956,50,Ireland,0.0,0.0,5.600000000000001,31.983,22.2,May 1954,Family of the Irish
1954,1956,60,Ireland,0.0,0.6,2.4,43.361,19.8,May 1954,Soldiers of Destiny
1954,1956,70,Ireland,0.0,7.843,3.922,3.089,-3.922,May 1954,Republican Party
1954,1956,80,Ireland,0.0,0.0,0.0,3.825,0.0,May 1954,Party of the Land
1957,1957,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,March 1957,Labour Party
1957,1957,50,Ireland,0.0,0.0,0.0,26.625,78.40000000000002,March 1957,Family of the Irish
1957,1957,60,Ireland,0.0,0.0,0.0,48.328,30.3,March 1957,Soldiers of Destiny
1957,1957,70,Ireland,0.0,7.843,3.922,1.681,-3.922,March 1957,Republican Party
1957,1957,80,Ireland,0.0,0.0,0.0,2.356,0.0,March 1957,Party of the Land
1957,1958,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,March 1957,Labour Party
1957,1958,50,Ireland,0.0,0.0,0.0,26.625,78.40000000000002,March 1957,Family of the Irish
1957,1958,60,Ireland,0.0,0.0,0.0,48.328,30.3,March 1957,Soldiers of Destiny
1957,1958,70,Ireland,0.0,7.843,3.922,1.681,-3.922,March 1957,Republican Party
1957,1958,80,Ireland,0.0,0.0,0.0,2.356,0.0,March 1957,Party of the Land
1957,1959,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,March 1957,Labour Party
1957,1959,50,Ireland,0.0,0.0,0.0,26.625,78.40000000000002,March 1957,Family of the Irish
1957,1959,60,Ireland,0.0,0.0,0.0,48.328,30.3,March 1957,Soldiers of Destiny
1957,1959,70,Ireland,0.0,7.843,3.922,1.681,-3.922,March 1957,Republican Party
1957,1959,80,Ireland,0.0,0.0,0.0,2.356,0.0,March 1957,Party of the Land
1957,1960,30,Ireland,0.0,0.0,2.8,9.107000000000001,-31.9,March 1957,Labour Party
1957,1960,50,Ireland,0.0,0.0,0.0,26.625,78.40000000000002,March 1957,Family of the Irish
1957,1960,60,Ireland,0.0,0.0,0.0,48.328,30.3,March 1957,Soldiers of Destiny
1957,1960,70,Ireland,0.0,7.843,3.922,1.681,-3.922,March 1957,Republican Party
1957,1960,80,Ireland,0.0,0.0,0.0,2.356,0.0,March 1957,Party of the Land
1961,1961,30,Ireland,0.0,0.0,4.9,11.649,-34.4,October 1961,Labour Party
1961,1961,50,Ireland,3.4,1.2,3.4,32.018,9.1,October 1961,Family of the Irish
1961,1961,60,Ireland,0.0,0.0,0.0,43.827,33.3,October 1961,Soldiers of Destiny
1961,1961,70,Ireland,0.0,7.843,3.922,1.127,-3.922,October 1961,Republican Party
1961,1961,80,Ireland,0.0,0.0,0.0,1.514,0.0,October 1961,Party of the Land
1961,1962,30,Ireland,0.0,0.0,4.9,11.649,-34.4,October 1961,Labour Party
1961,1962,50,Ireland,3.4,1.2,3.4,32.018,9.1,October 1961,Family of the Irish
1961,1962,60,Ireland,0.0,0.0,0.0,43.827,33.3,October 1961,Soldiers of Destiny
1961,1962,70,Ireland,0.0,7.843,3.922,1.127,-3.922,October 1961,Republican Party
1961,1962,80,Ireland,0.0,0.0,0.0,1.514,0.0,October 1961,Party of the Land
1961,1963,30,Ireland,0.0,0.0,4.9,11.649,-34.4,October 1961,Labour Party
1961,1963,50,Ireland,3.4,1.2,3.4,32.018,9.1,October 1961,Family of the Irish
1961,1963,60,Ireland,0.0,0.0,0.0,43.827,33.3,October 1961,Soldiers of Destiny
1961,1963,70,Ireland,0.0,7.843,3.922,1.127,-3.922,October 1961,Republican Party
1961,1963,80,Ireland,0.0,0.0,0.0,1.514,0.0,October 1961,Party of the Land
1961,1964,30,Ireland,0.0,0.0,4.9,11.649,-34.4,October 1961,Labour Party
1961,1964,50,Ireland,3.4,1.2,3.4,32.018,9.1,October 1961,Family of the Irish
1961,1964,60,Ireland,0.0,0.0,0.0,43.827,33.3,October 1961,Soldiers of Destiny
1961,1964,70,Ireland,0.0,7.843,3.922,1.127,-3.922,October 1961,Republican Party
1961,1964,80,Ireland,0.0,0.0,0.0,1.514,0.0,October 1961,Party of the Land
1965,1965,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,April 1965,Labour Party
1965,1965,50,Ireland,0.9,0.2,7.3,34.081,-7.9,April 1965,Family of the Irish
1965,1965,60,Ireland,0.0,0.0,0.0,47.674,-0.5,April 1965,Soldiers of Destiny
1965,1965,70,Ireland,0.0,7.843,3.922,0.752,-3.922,April 1965,Republican Party
1965,1966,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,April 1965,Labour Party
1965,1966,50,Ireland,0.9,0.2,7.3,34.081,-7.9,April 1965,Family of the Irish
1965,1966,60,Ireland,0.0,0.0,0.0,47.674,-0.5,April 1965,Soldiers of Destiny
1965,1966,70,Ireland,0.0,7.843,3.922,0.752,-3.922,April 1965,Republican Party
1965,1967,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,April 1965,Labour Party
1965,1967,50,Ireland,0.9,0.2,7.3,34.081,-7.9,April 1965,Family of the Irish
1965,1967,60,Ireland,0.0,0.0,0.0,47.674,-0.5,April 1965,Soldiers of Destiny
1965,1967,70,Ireland,0.0,7.843,3.922,0.752,-3.922,April 1965,Republican Party
1965,1968,30,Ireland,12.1,12.9,0.0,15.380999999999998,-15.8,April 1965,Labour Party
1965,1968,50,Ireland,0.9,0.2,7.3,34.081,-7.9,April 1965,Family of the Irish
1965,1968,60,Ireland,0.0,0.0,0.0,47.674,-0.5,April 1965,Soldiers of Destiny
1965,1968,70,Ireland,0.0,7.843,3.922,0.752,-3.922,April 1965,Republican Party
1969,1969,30,Ireland,0.0,0.0,7.8,17.021,-16.6,June 1969,Labour Party
1969,1969,50,Ireland,0.0,0.0,4.8,34.099000000000004,-7.3,June 1969,Family of the Irish
1969,1969,60,Ireland,0.0,1.7,0.0,45.66,34.5,June 1969,Soldiers of Destiny
1969,1970,30,Ireland,0.0,0.0,7.8,17.021,-16.6,June 1969,Labour Party
1969,1970,50,Ireland,0.0,0.0,4.8,34.099000000000004,-7.3,June 1969,Family of the Irish
1969,1970,60,Ireland,0.0,1.7,0.0,45.66,34.5,June 1969,Soldiers of Destiny
1969,1971,30,Ireland,0.0,0.0,7.8,17.021,-16.6,June 1969,Labour Party
1969,1971,50,Ireland,0.0,0.0,4.8,34.099000000000004,-7.3,June 1969,Family of the Irish
1969,1971,60,Ireland,0.0,1.7,0.0,45.66,34.5,June 1969,Soldiers of Destiny
1969,1972,30,Ireland,0.0,0.0,7.8,17.021,-16.6,June 1969,Labour Party
1969,1972,50,Ireland,0.0,0.0,4.8,34.099000000000004,-7.3,June 1969,Family of the Irish
1969,1972,60,Ireland,0.0,1.7,0.0,45.66,34.5,June 1969,Soldiers of Destiny
1973,1973,30,Ireland,3.4,0.0,13.5,13.673,-19.1,February 1973,Labour Party
1973,1973,50,Ireland,3.4,0.0,13.5,35.081,-19.1,February 1973,Family of the Irish
1973,1973,60,Ireland,0.0,0.0,4.8,46.243,57.1,February 1973,Soldiers of Destiny
1973,1974,30,Ireland,3.4,0.0,13.5,13.673,-19.1,February 1973,Labour Party
1973,1974,50,Ireland,3.4,0.0,13.5,35.081,-19.1,February 1973,Family of the Irish
1973,1974,60,Ireland,0.0,0.0,4.8,46.243,57.1,February 1973,Soldiers of Destiny
1973,1975,30,Ireland,3.4,0.0,13.5,13.673,-19.1,February 1973,Labour Party
1973,1975,50,Ireland,3.4,0.0,13.5,35.081,-19.1,February 1973,Family of the Irish
1973,1975,60,Ireland,0.0,0.0,4.8,46.243,57.1,February 1973,Soldiers of Destiny
1973,1976,30,Ireland,3.4,0.0,13.5,13.673,-19.1,February 1973,Labour Party
1973,1976,50,Ireland,3.4,0.0,13.5,35.081,-19.1,February 1973,Family of the Irish
1973,1976,60,Ireland,0.0,0.0,4.8,46.243,57.1,February 1973,Soldiers of Destiny
1977,1977,30,Ireland,1.2,2.8,0.6,11.629,-16.0,June 1977,Labour Party
1977,1977,50,Ireland,1.2,2.8,0.6,30.49,-16.0,June 1977,Family of the Irish
1977,1977,60,Ireland,0.6,0.6,2.7,50.63,-4.2,June 1977,Soldiers of Destiny
1977,1978,30,Ireland,1.2,2.8,0.6,11.629,-16.0,June 1977,Labour Party
1977,1978,50,Ireland,1.2,2.8,0.6,30.49,-16.0,June 1977,Family of the Irish
1977,1978,60,Ireland,0.6,0.6,2.7,50.63,-4.2,June 1977,Soldiers of Destiny
1977,1979,30,Ireland,1.2,2.8,0.6,11.629,-16.0,June 1977,Labour Party
1977,1979,50,Ireland,1.2,2.8,0.6,30.49,-16.0,June 1977,Family of the Irish
1977,1979,60,Ireland,0.6,0.6,2.7,50.63,-4.2,June 1977,Soldiers of Destiny
1977,1980,30,Ireland,1.2,2.8,0.6,11.629,-16.0,June 1977,Labour Party
1977,1980,50,Ireland,1.2,2.8,0.6,30.49,-16.0,June 1977,Family of the Irish
1977,1980,60,Ireland,0.6,0.6,2.7,50.63,-4.2,June 1977,Soldiers of Destiny
1981,1981,20,Ireland,1.955,8.939,10.056,1.72,-37.43,June 1981,Workers’ Party
1981,1981,30,Ireland,1.9,1.9,13.3,9.892999999999999,-8.700000000000001,June 1981,Labour Party
