year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1946,1946,20,Italy,0.0,0.0,1.19,18.935,-22.619,June 1946,Italian Communist Party
1946,1946,30,Italy,0.0,0.0,1.515,20.705,-31.818,June 1946,Italian Socialist Party
1946,1946,40,Italy,0.0,0.0,1.587,4.783,-5.556,June 1946,Italian Republican Party
1946,1946,40,Italy,0.0,0.0,3.125,6.778,-9.375,June 1946,Italian Liberal Party
1946,1946,50,Italy,0.0,0.0,8.333,35.204,29.167,June 1946,Christian Democrats
1946,1947,20,Italy,0.0,0.0,1.19,18.935,-22.619,June 1946,Italian Communist Party
1946,1947,30,Italy,0.0,0.0,1.515,20.705,-31.818,June 1946,Italian Socialist Party
1946,1947,40,Italy,0.0,0.0,1.587,4.783,-5.556,June 1946,Italian Republican Party
1946,1947,40,Italy,0.0,0.0,3.125,6.778,-9.375,June 1946,Italian Liberal Party
1946,1947,50,Italy,0.0,0.0,8.333,35.204,29.167,June 1946,Christian Democrats
1948,1948,20,Italy,0.0,0.0,11.429,22.176,-11.429,April 1948,Italian Communist Party
1948,1948,30,Italy,0.0,0.0,6.897,8.800000000000002,-13.793,April 1948,Italian Socialist Party
1948,1948,30,Italy,0.0,0.0,0.0,7.074,-36.434,April 1948,Socialist Party of Italian Workers
1948,1948,40,Italy,0.0,0.0,5.1720000000000015,2.484,-22.414,April 1948,Italian Republican Party
1948,1948,40,Italy,0.0,0.0,0.0,3.825,45.0,April 1948,Italian Liberal Party
1948,1948,50,Italy,0.0,0.0,2.381,48.503,7.143,April 1948,Christian Democrats
1948,1948,70,Italy,0.0,0.0,1.724,2.005,1.724,April 1948,Italian Social Movement
1948,1949,20,Italy,0.0,0.0,11.429,22.176,-11.429,April 1948,Italian Communist Party
1948,1949,30,Italy,0.0,0.0,6.897,8.800000000000002,-13.793,April 1948,Italian Socialist Party
1948,1949,30,Italy,0.0,0.0,0.0,7.074,-36.434,April 1948,Socialist Party of Italian Workers
1948,1949,40,Italy,0.0,0.0,5.1720000000000015,2.484,-22.414,April 1948,Italian Republican Party
1948,1949,40,Italy,0.0,0.0,0.0,3.825,45.0,April 1948,Italian Liberal Party
1948,1949,50,Italy,0.0,0.0,2.381,48.503,7.143,April 1948,Christian Democrats
1948,1949,70,Italy,0.0,0.0,1.724,2.005,1.724,April 1948,Italian Social Movement
1948,1950,20,Italy,0.0,0.0,11.429,22.176,-11.429,April 1948,Italian Communist Party
