year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1993,1993,20,Latvia,0.0,2.273,0.0,12.008,20.455,June 1993,Harmony for Latvia - Rebirth of the Economy
1993,1993,40,Latvia,0.0,0.0,0.448,32.412,15.695,June 1993,Latvian Way Union
1993,1993,40,Latvia,5.65,9.605,1.695,0.136,20.904,June 1993,Latvian Liberal Party
1993,1993,40,Latvia,3.704,6.79,3.704,4.766,4.3210000000000015,June 1993,Democratic Centre Party
1993,1993,50,Latvia,1.923,3.846,1.923,5.013,5.769,June 1993,Christian Democratic Union
1993,1993,60,Latvia,4.819,13.855,0.0,13.355,19.88,June 1993,Latvian National Independence Movement
1993,1993,70,Latvia,0.0,5.8820000000000014,0.0,5.352,11.765,June 1993,For Fatherland and Freedom
1993,1993,80,Latvia,6.047999999999999,0.8059999999999999,0.0,10.651,5.242000000000001,June 1993,Latvian Farmers’ Union
1993,1993,90,Latvia,0.0,0.0,0.0,5.763,2.9410000000000003,June 1993,Equal Rights
1993,1994,20,Latvia,0.0,2.273,0.0,12.008,20.455,June 1993,Harmony for Latvia - Rebirth of the Economy
1993,1994,40,Latvia,0.0,0.0,0.448,32.412,15.695,June 1993,Latvian Way Union
1993,1994,40,Latvia,5.65,9.605,1.695,0.136,20.904,June 1993,Latvian Liberal Party
1993,1994,40,Latvia,3.704,6.79,3.704,4.766,4.3210000000000015,June 1993,Democratic Centre Party
1993,1994,50,Latvia,1.923,3.846,1.923,5.013,5.769,June 1993,Christian Democratic Union
1993,1994,60,Latvia,4.819,13.855,0.0,13.355,19.88,June 1993,Latvian National Independence Movement
1993,1994,70,Latvia,0.0,5.8820000000000014,0.0,5.352,11.765,June 1993,For Fatherland and Freedom
1993,1994,80,Latvia,6.047999999999999,0.8059999999999999,0.0,10.651,5.242000000000001,June 1993,Latvian Farmers’ Union
1993,1994,90,Latvia,0.0,0.0,0.0,5.763,2.9410000000000003,June 1993,Equal Rights
1995,1995,30,Latvia,0.0,0.0,4.651,5.607,-39.535,September 1995,Latvian Socialist Party
1995,1995,20,Latvia,1.695,3.39,1.695,7.182,-16.949,September 1995,Latvian Unity Party
1995,1995,40,Latvia,0.0,7.143,2.381,14.714,28.571,September 1995,Latvian Way Union
1995,1995,40,Latvia,0.0,1.754,3.509,15.222,-26.316,September 1995,Democratic Party ‘Saimnieks’
1995,1995,20,Latvia,0.0,2.174,2.174,5.577000000000001,-19.565,September 1995,National Harmony Party
1995,1995,60,Latvia,12.765999999999998,2.128,0.0,6.346,12.765999999999998,September 1995,Coalition Latvian National Conservative Party and Latvian Green Party
1995,1995,70,Latvia,0.0,1.724,0.0,11.993,1.724,September 1995,For Fatherland and Freedom
1995,1995,70,Latvia,0.0,6.667000000000002,0.0,14.966,13.333,September 1995,Popular Movement for Latvia-Zigerista Party
1995,1995,80,Latvia,2.0,4.0,0.0,6.3610000000000015,26.0,September 1995,"Coalition of Latvian Farmers' Union, Latvian Christian Democratic Union and Democratic Party of Latgale"
1995,1996,30,Latvia,0.0,0.0,4.651,5.607,-39.535,September 1995,Latvian Socialist Party
1995,1996,20,Latvia,1.695,3.39,1.695,7.182,-16.949,September 1995,Latvian Unity Party
1995,1996,40,Latvia,0.0,7.143,2.381,14.714,28.571,September 1995,Latvian Way Union
1995,1996,40,Latvia,0.0,1.754,3.509,15.222,-26.316,September 1995,Democratic Party ‘Saimnieks’
1995,1996,20,Latvia,0.0,2.174,2.174,5.577000000000001,-19.565,September 1995,National Harmony Party
1995,1996,60,Latvia,12.765999999999998,2.128,0.0,6.346,12.765999999999998,September 1995,Coalition Latvian National Conservative Party and Latvian Green Party
1995,1996,70,Latvia,0.0,1.724,0.0,11.993,1.724,September 1995,For Fatherland and Freedom
1995,1996,70,Latvia,0.0,6.667000000000002,0.0,14.966,13.333,September 1995,Popular Movement for Latvia-Zigerista Party
1995,1996,80,Latvia,2.0,4.0,0.0,6.3610000000000015,26.0,September 1995,"Coalition of Latvian Farmers' Union, Latvian Christian Democratic Union and Democratic Party of Latgale"
1995,1997,30,Latvia,0.0,0.0,4.651,5.607,-39.535,September 1995,Latvian Socialist Party
1995,1997,20,Latvia,1.695,3.39,1.695,7.182,-16.949,September 1995,Latvian Unity Party
1995,1997,40,Latvia,0.0,7.143,2.381,14.714,28.571,September 1995,Latvian Way Union
1995,1997,40,Latvia,0.0,1.754,3.509,15.222,-26.316,September 1995,Democratic Party ‘Saimnieks’
1995,1997,20,Latvia,0.0,2.174,2.174,5.577000000000001,-19.565,September 1995,National Harmony Party
1995,1997,60,Latvia,12.765999999999998,2.128,0.0,6.346,12.765999999999998,September 1995,Coalition Latvian National Conservative Party and Latvian Green Party
1995,1997,70,Latvia,0.0,1.724,0.0,11.993,1.724,September 1995,For Fatherland and Freedom
1995,1997,70,Latvia,0.0,6.667000000000002,0.0,14.966,13.333,September 1995,Popular Movement for Latvia-Zigerista Party
1995,1997,80,Latvia,2.0,4.0,0.0,6.3610000000000015,26.0,September 1995,"Coalition of Latvian Farmers' Union, Latvian Christian Democratic Union and Democratic Party of Latgale"
1998,1998,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,October 1998,Latvian Social Democratic Alliance
1998,1998,40,Latvia,6.595,3.903,1.211,18.148,4.441,October 1998,Latvian Way Union
1998,1998,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,October 1998,National Harmony Party
1998,1998,40,Latvia,1.163,3.488,0.0,7.348,19.767,October 1998,New Party
1998,1998,60,Latvia,1.844,3.484,0.615,21.305,4.918,October 1998,People’s Party
1998,1998,70,Latvia,2.481,3.883,2.481,14.732,0.971,October 1998,For Fatherland and Freedom - Latvian National Independence Movement
1998,1999,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,October 1998,Latvian Social Democratic Alliance
1998,1999,40,Latvia,6.595,3.903,1.211,18.148,4.441,October 1998,Latvian Way Union
1998,1999,20,Latvia,2.521,3.361,5.042,14.201,-17.647000000000006,October 1998,National Harmony Party
1998,1999,40,Latvia,1.163,3.488,0.0,7.348,19.767,October 1998,New Party
1998,1999,60,Latvia,1.844,3.484,0.615,21.305,4.918,October 1998,People’s Party
1998,1999,70,Latvia,2.481,3.883,2.481,14.732,0.971,October 1998,For Fatherland and Freedom - Latvian National Independence Movement
1998,2000,30,Latvia,2.229,5.497999999999998,2.675,12.878,-1.932,October 1998,Latvian Social Democratic Alliance
1998,2000,40,Latvia,6.595,3.903,1.211,18.148,4.441,October 1998,Latvian Way Union
