year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1992,1992,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,October 1992,Lithuanian Democratic Labour Party
1992,1992,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,October 1992,Lithuanian Social Democratic Party
1992,1992,40,Lithuania,8.209,2.985,2.239,2.524,6.716,October 1992,Centre Movement of Lithuania
1992,1992,40,Lithuania,0.0,0.0,0.0,21.172,36.508,October 1992,Sajudis Coalition
1992,1992,50,Lithuania,3.831,2.299,1.916,,10.345,October 1992,Lithuanian Christian Democratic Party
1992,1992,60,Lithuania,2.128,2.128,0.0,,23.404,October 1992,Lithuanian Democratic Party
1992,1992,95,Lithuania,0.0,6.452000000000001,0.0,,19.355,October 1992,Lithuanian Union of Political Prisoners and Deportees
1992,1992,50,Lithuania,1.986,3.626,0.639,12.61,17.701,October 1992,Lithuanian Christian Democratic Party Coalition
1992,1992,70,Lithuania,5.109,0.73,0.73,1.986,37.956,October 1992,Lithuanian National Union
1992,1992,90,Lithuania,2.174,0.0,2.174,2.14,-1.087,October 1992,Lithuanian Polish Union
1992,1993,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,October 1992,Lithuanian Democratic Labour Party
1992,1993,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,October 1992,Lithuanian Social Democratic Party
1992,1993,40,Lithuania,8.209,2.985,2.239,2.524,6.716,October 1992,Centre Movement of Lithuania
1992,1993,40,Lithuania,0.0,0.0,0.0,21.172,36.508,October 1992,Sajudis Coalition
1992,1993,50,Lithuania,3.831,2.299,1.916,,10.345,October 1992,Lithuanian Christian Democratic Party
1992,1993,60,Lithuania,2.128,2.128,0.0,,23.404,October 1992,Lithuanian Democratic Party
1992,1993,95,Lithuania,0.0,6.452000000000001,0.0,,19.355,October 1992,Lithuanian Union of Political Prisoners and Deportees
1992,1993,50,Lithuania,1.986,3.626,0.639,12.61,17.701,October 1992,Lithuanian Christian Democratic Party Coalition
1992,1993,70,Lithuania,5.109,0.73,0.73,1.986,37.956,October 1992,Lithuanian National Union
1992,1993,90,Lithuania,2.174,0.0,2.174,2.14,-1.087,October 1992,Lithuanian Polish Union
1992,1994,20,Lithuania,1.695,3.39,1.695,43.976000000000006,28.814,October 1992,Lithuanian Democratic Labour Party
1992,1994,30,Lithuania,2.445,1.222,1.4509999999999998,6.047999999999999,0.993,October 1992,Lithuanian Social Democratic Party
1992,1994,40,Lithuania,8.209,2.985,2.239,2.524,6.716,October 1992,Centre Movement of Lithuania
1992,1994,40,Lithuania,0.0,0.0,0.0,21.172,36.508,October 1992,Sajudis Coalition
1992,1994,50,Lithuania,3.831,2.299,1.916,,10.345,October 1992,Lithuanian Christian Democratic Party
1992,1994,60,Lithuania,2.128,2.128,0.0,,23.404,October 1992,Lithuanian Democratic Party
1992,1994,95,Lithuania,0.0,6.452000000000001,0.0,,19.355,October 1992,Lithuanian Union of Political Prisoners and Deportees
1992,1994,50,Lithuania,1.986,3.626,0.639,12.61,17.701,October 1992,Lithuanian Christian Democratic Party Coalition
1992,1994,70,Lithuania,5.109,0.73,0.73,1.986,37.956,October 1992,Lithuanian National Union
