year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1945,1945,20,Luxembourg,0.0,0.0,6.122000000000001,11.1,-42.857,October 1945,Communist Party of Luxembourg
1945,1945,30,Luxembourg,0.0,0.0,10.28,23.4,-43.925,October 1945,Socialist Workers’ Party of Luxembourg
1945,1945,40,Luxembourg,0.0,0.847,10.169,18.0,-2.542,October 1945,Patriotic and Democratic Group
1945,1945,50,Luxembourg,0.0,1.709,1.709,44.7,29.06,October 1945,Christian Social People’s Party
1945,1946,20,Luxembourg,0.0,0.0,6.122000000000001,11.1,-42.857,October 1945,Communist Party of Luxembourg
1945,1946,30,Luxembourg,0.0,0.0,10.28,23.4,-43.925,October 1945,Socialist Workers’ Party of Luxembourg
1945,1946,40,Luxembourg,0.0,0.847,10.169,18.0,-2.542,October 1945,Patriotic and Democratic Group
1945,1946,50,Luxembourg,0.0,1.709,1.709,44.7,29.06,October 1945,Christian Social People’s Party
1945,1947,20,Luxembourg,0.0,0.0,6.122000000000001,11.1,-42.857,October 1945,Communist Party of Luxembourg
1945,1947,30,Luxembourg,0.0,0.0,10.28,23.4,-43.925,October 1945,Socialist Workers’ Party of Luxembourg
1945,1947,40,Luxembourg,0.0,0.847,10.169,18.0,-2.542,October 1945,Patriotic and Democratic Group
1945,1947,50,Luxembourg,0.0,1.709,1.709,44.7,29.06,October 1945,Christian Social People’s Party
1948,1948,20,Luxembourg,0.0,0.0,6.122000000000001,14.3,-42.857,June 1948,Communist Party of Luxembourg
1948,1948,30,Luxembourg,0.0,0.0,20.37,37.8,-24.074,June 1948,Socialist Workers’ Party of Luxembourg
1948,1948,40,Luxembourg,0.0,0.847,10.169,11.6,-2.542,June 1948,Patriotic and Democratic Group
1948,1948,50,Luxembourg,0.0,1.7619999999999998,3.524,36.3,-16.74,June 1948,Christian Social People’s Party
1948,1949,20,Luxembourg,0.0,0.0,6.122000000000001,14.3,-42.857,June 1948,Communist Party of Luxembourg
1948,1949,30,Luxembourg,0.0,0.0,20.37,37.8,-24.074,June 1948,Socialist Workers’ Party of Luxembourg
1948,1949,40,Luxembourg,0.0,0.847,10.169,11.6,-2.542,June 1948,Patriotic and Democratic Group
1948,1949,50,Luxembourg,0.0,1.7619999999999998,3.524,36.3,-16.74,June 1948,Christian Social People’s Party
1948,1950,20,Luxembourg,0.0,0.0,6.122000000000001,14.3,-42.857,June 1948,Communist Party of Luxembourg
1948,1950,30,Luxembourg,0.0,0.0,20.37,37.8,-24.074,June 1948,Socialist Workers’ Party of Luxembourg
1948,1950,40,Luxembourg,0.0,0.847,10.169,11.6,-2.542,June 1948,Patriotic and Democratic Group
1948,1950,50,Luxembourg,0.0,1.7619999999999998,3.524,36.3,-16.74,June 1948,Christian Social People’s Party
1951,1951,20,Luxembourg,0.0,1.111,8.888999999999998,3.2,-37.778,June 1951,Communist Party of Luxembourg
1951,1951,30,Luxembourg,0.0,0.0,11.594,33.8,-4.348,June 1951,Socialist Workers’ Party of Luxembourg
1951,1951,40,Luxembourg,0.0,0.847,10.169,20.9,-2.542,June 1951,Democratic Group
1951,1951,50,Luxembourg,0.0,2.9760000000000004,10.119,42.1,-1.19,June 1951,Christian Social People’s Party
1951,1952,20,Luxembourg,0.0,1.111,8.888999999999998,3.2,-37.778,June 1951,Communist Party of Luxembourg
1951,1952,30,Luxembourg,0.0,0.0,11.594,33.8,-4.348,June 1951,Socialist Workers’ Party of Luxembourg
1951,1952,40,Luxembourg,0.0,0.847,10.169,20.9,-2.542,June 1951,Democratic Group
1951,1952,50,Luxembourg,0.0,2.9760000000000004,10.119,42.1,-1.19,June 1951,Christian Social People’s Party
1951,1953,20,Luxembourg,0.0,1.111,8.888999999999998,3.2,-37.778,June 1951,Communist Party of Luxembourg
1951,1953,30,Luxembourg,0.0,0.0,11.594,33.8,-4.348,June 1951,Socialist Workers’ Party of Luxembourg
1951,1953,40,Luxembourg,0.0,0.847,10.169,20.9,-2.542,June 1951,Democratic Group
1951,1953,50,Luxembourg,0.0,2.9760000000000004,10.119,42.1,-1.19,June 1951,Christian Social People’s Party
1954,1954,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,May 1954,Communist Party of Luxembourg
1954,1954,30,Luxembourg,0.0,0.0,2.059,32.9,-44.706,May 1954,Socialist Workers’ Party of Luxembourg
1954,1954,40,Luxembourg,0.0,0.0,10.0,12.3,-13.333,May 1954,Democratic Group
1954,1954,50,Luxembourg,3.846,0.962,13.462,45.2,10.577,May 1954,Christian Social People’s Party
1954,1955,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,May 1954,Communist Party of Luxembourg
1954,1955,30,Luxembourg,0.0,0.0,2.059,32.9,-44.706,May 1954,Socialist Workers’ Party of Luxembourg
1954,1955,40,Luxembourg,0.0,0.0,10.0,12.3,-13.333,May 1954,Democratic Group
1954,1955,50,Luxembourg,3.846,0.962,13.462,45.2,10.577,May 1954,Christian Social People’s Party
1954,1956,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,May 1954,Communist Party of Luxembourg
1954,1956,30,Luxembourg,0.0,0.0,2.059,32.9,-44.706,May 1954,Socialist Workers’ Party of Luxembourg
1954,1956,40,Luxembourg,0.0,0.0,10.0,12.3,-13.333,May 1954,Democratic Group
1954,1956,50,Luxembourg,3.846,0.962,13.462,45.2,10.577,May 1954,Christian Social People’s Party
1954,1957,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,May 1954,Communist Party of Luxembourg
1954,1957,30,Luxembourg,0.0,0.0,2.059,32.9,-44.706,May 1954,Socialist Workers’ Party of Luxembourg
1954,1957,40,Luxembourg,0.0,0.0,10.0,12.3,-13.333,May 1954,Democratic Group
1954,1957,50,Luxembourg,3.846,0.962,13.462,45.2,10.577,May 1954,Christian Social People’s Party
1954,1958,20,Luxembourg,0.0,0.0,8.696,7.3,-43.478,May 1954,Communist Party of Luxembourg
1954,1958,30,Luxembourg,0.0,0.0,2.059,32.9,-44.706,May 1954,Socialist Workers’ Party of Luxembourg
1954,1958,40,Luxembourg,0.0,0.0,10.0,12.3,-13.333,May 1954,Democratic Group
1954,1958,50,Luxembourg,3.846,0.962,13.462,45.2,10.577,May 1954,Christian Social People’s Party
1959,1959,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,February 1959,Communist Party of Luxembourg
1959,1959,30,Luxembourg,0.0,0.244,15.122,33.0,-40.488,February 1959,Socialist Workers’ Party of Luxembourg
1959,1959,40,Luxembourg,1.171,5.017,5.686,20.3,-7.86,February 1959,Democratic Party
1959,1959,50,Luxembourg,0.271,1.897,5.149,38.9,8.401,February 1959,Christian Social People’s Party
1959,1960,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,February 1959,Communist Party of Luxembourg
1959,1960,30,Luxembourg,0.0,0.244,15.122,33.0,-40.488,February 1959,Socialist Workers’ Party of Luxembourg
1959,1960,40,Luxembourg,1.171,5.017,5.686,20.3,-7.86,February 1959,Democratic Party
1959,1960,50,Luxembourg,0.271,1.897,5.149,38.9,8.401,February 1959,Christian Social People’s Party
1959,1961,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,February 1959,Communist Party of Luxembourg
1959,1961,30,Luxembourg,0.0,0.244,15.122,33.0,-40.488,February 1959,Socialist Workers’ Party of Luxembourg
1959,1961,40,Luxembourg,1.171,5.017,5.686,20.3,-7.86,February 1959,Democratic Party
1959,1961,50,Luxembourg,0.271,1.897,5.149,38.9,8.401,February 1959,Christian Social People’s Party
1959,1962,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,February 1959,Communist Party of Luxembourg
1959,1962,30,Luxembourg,0.0,0.244,15.122,33.0,-40.488,February 1959,Socialist Workers’ Party of Luxembourg
1959,1962,40,Luxembourg,1.171,5.017,5.686,20.3,-7.86,February 1959,Democratic Party
1959,1962,50,Luxembourg,0.271,1.897,5.149,38.9,8.401,February 1959,Christian Social People’s Party
1959,1963,20,Luxembourg,0.0,0.0,7.859,7.2,-34.959,February 1959,Communist Party of Luxembourg
1959,1963,30,Luxembourg,0.0,0.244,15.122,33.0,-40.488,February 1959,Socialist Workers’ Party of Luxembourg
1959,1963,40,Luxembourg,1.171,5.017,5.686,20.3,-7.86,February 1959,Democratic Party
1959,1963,50,Luxembourg,0.271,1.897,5.149,38.9,8.401,February 1959,Christian Social People’s Party
1964,1964,20,Luxembourg,0.0,0.0,15.294,10.4,-12.941,June 1964,Communist Party of Luxembourg
1964,1964,30,Luxembourg,0.297,3.5610000000000004,5.193000000000001,35.9,-39.76300000000001,June 1964,Socialist Workers’ Party of Luxembourg
1964,1964,40,Luxembourg,2.258,1.29,4.839,12.2,-8.71,June 1964,Democratic Party
1964,1964,50,Luxembourg,1.351,2.7030000000000003,7.432,35.7,-22.297,June 1964,Christian Social People’s Party
1964,1965,20,Luxembourg,0.0,0.0,15.294,10.4,-12.941,June 1964,Communist Party of Luxembourg
1964,1965,30,Luxembourg,0.297,3.5610000000000004,5.193000000000001,35.9,-39.76300000000001,June 1964,Socialist Workers’ Party of Luxembourg
1964,1965,40,Luxembourg,2.258,1.29,4.839,12.2,-8.71,June 1964,Democratic Party
1964,1965,50,Luxembourg,1.351,2.7030000000000003,7.432,35.7,-22.297,June 1964,Christian Social People’s Party
1964,1966,20,Luxembourg,0.0,0.0,15.294,10.4,-12.941,June 1964,Communist Party of Luxembourg
1964,1966,30,Luxembourg,0.297,3.5610000000000004,5.193000000000001,35.9,-39.76300000000001,June 1964,Socialist Workers’ Party of Luxembourg
1964,1966,40,Luxembourg,2.258,1.29,4.839,12.2,-8.71,June 1964,Democratic Party
1964,1966,50,Luxembourg,1.351,2.7030000000000003,7.432,35.7,-22.297,June 1964,Christian Social People’s Party
1964,1967,20,Luxembourg,0.0,0.0,15.294,10.4,-12.941,June 1964,Communist Party of Luxembourg
1964,1967,30,Luxembourg,0.297,3.5610000000000004,5.193000000000001,35.9,-39.76300000000001,June 1964,Socialist Workers’ Party of Luxembourg
1964,1967,40,Luxembourg,2.258,1.29,4.839,12.2,-8.71,June 1964,Democratic Party
1964,1967,50,Luxembourg,1.351,2.7030000000000003,7.432,35.7,-22.297,June 1964,Christian Social People’s Party
1968,1968,20,Luxembourg,0.0,0.0,5.388,13.1,-37.284,December 1968,Communist Party of Luxembourg
1968,1968,30,Luxembourg,0.336,0.672,5.8820000000000014,31.0,-30.756,December 1968,Socialist Workers’ Party of Luxembourg
1968,1968,40,Luxembourg,0.0,7.372999999999998,7.372999999999998,18.0,-6.912000000000001,December 1968,Democratic Party
1968,1968,50,Luxembourg,3.614,9.036,1.205,37.5,-18.675,December 1968,Christian Social People’s Party
1968,1969,20,Luxembourg,0.0,0.0,5.388,13.1,-37.284,December 1968,Communist Party of Luxembourg
1968,1969,30,Luxembourg,0.336,0.672,5.8820000000000014,31.0,-30.756,December 1968,Socialist Workers’ Party of Luxembourg
1968,1969,40,Luxembourg,0.0,7.372999999999998,7.372999999999998,18.0,-6.912000000000001,December 1968,Democratic Party
1968,1969,50,Luxembourg,3.614,9.036,1.205,37.5,-18.675,December 1968,Christian Social People’s Party
1968,1970,20,Luxembourg,0.0,0.0,5.388,13.1,-37.284,December 1968,Communist Party of Luxembourg
1968,1970,30,Luxembourg,0.336,0.672,5.8820000000000014,31.0,-30.756,December 1968,Socialist Workers’ Party of Luxembourg
1968,1970,40,Luxembourg,0.0,7.372999999999998,7.372999999999998,18.0,-6.912000000000001,December 1968,Democratic Party
1968,1970,50,Luxembourg,3.614,9.036,1.205,37.5,-18.675,December 1968,Christian Social People’s Party
1968,1971,20,Luxembourg,0.0,0.0,5.388,13.1,-37.284,December 1968,Communist Party of Luxembourg
1968,1971,30,Luxembourg,0.336,0.672,5.8820000000000014,31.0,-30.756,December 1968,Socialist Workers’ Party of Luxembourg
1968,1971,40,Luxembourg,0.0,7.372999999999998,7.372999999999998,18.0,-6.912000000000001,December 1968,Democratic Party
1968,1971,50,Luxembourg,3.614,9.036,1.205,37.5,-18.675,December 1968,Christian Social People’s Party
1968,1972,20,Luxembourg,0.0,0.0,5.388,13.1,-37.284,December 1968,Communist Party of Luxembourg
1968,1972,30,Luxembourg,0.336,0.672,5.8820000000000014,31.0,-30.756,December 1968,Socialist Workers’ Party of Luxembourg
1968,1972,40,Luxembourg,0.0,7.372999999999998,7.372999999999998,18.0,-6.912000000000001,December 1968,Democratic Party
1968,1972,50,Luxembourg,3.614,9.036,1.205,37.5,-18.675,December 1968,Christian Social People’s Party
1968,1973,20,Luxembourg,0.0,0.0,5.388,13.1,-37.284,December 1968,Communist Party of Luxembourg
1968,1973,30,Luxembourg,0.336,0.672,5.8820000000000014,31.0,-30.756,December 1968,Socialist Workers’ Party of Luxembourg
1968,1973,40,Luxembourg,0.0,7.372999999999998,7.372999999999998,18.0,-6.912000000000001,December 1968,Democratic Party
1968,1973,50,Luxembourg,3.614,9.036,1.205,37.5,-18.675,December 1968,Christian Social People’s Party
1974,1974,20,Luxembourg,0.172,0.343,14.065,8.800000000000002,-45.455,May 1974,Communist Party of Luxembourg
1974,1974,30,Luxembourg,3.526,7.692,7.372000000000001,27.0,-43.75,May 1974,Socialist Workers’ Party of Luxembourg
1974,1974,40,Luxembourg,3.283,5.303,5.1770000000000005,23.3,-22.348000000000006,May 1974,Democratic Party
1974,1974,50,Luxembourg,4.643,5.473,5.141,29.9,-19.735,May 1974,Christian Social People’s Party
1974,1975,20,Luxembourg,0.172,0.343,14.065,8.800000000000002,-45.455,May 1974,Communist Party of Luxembourg
1974,1975,30,Luxembourg,3.526,7.692,7.372000000000001,27.0,-43.75,May 1974,Socialist Workers’ Party of Luxembourg
1974,1975,40,Luxembourg,3.283,5.303,5.1770000000000005,23.3,-22.348000000000006,May 1974,Democratic Party
1974,1975,50,Luxembourg,4.643,5.473,5.141,29.9,-19.735,May 1974,Christian Social People’s Party
1974,1976,20,Luxembourg,0.172,0.343,14.065,8.800000000000002,-45.455,May 1974,Communist Party of Luxembourg
1974,1976,30,Luxembourg,3.526,7.692,7.372000000000001,27.0,-43.75,May 1974,Socialist Workers’ Party of Luxembourg
1974,1976,40,Luxembourg,3.283,5.303,5.1770000000000005,23.3,-22.348000000000006,May 1974,Democratic Party
1974,1976,50,Luxembourg,4.643,5.473,5.141,29.9,-19.735,May 1974,Christian Social People’s Party
1974,1977,20,Luxembourg,0.172,0.343,14.065,8.800000000000002,-45.455,May 1974,Communist Party of Luxembourg
1974,1977,30,Luxembourg,3.526,7.692,7.372000000000001,27.0,-43.75,May 1974,Socialist Workers’ Party of Luxembourg
1974,1977,40,Luxembourg,3.283,5.303,5.1770000000000005,23.3,-22.348000000000006,May 1974,Democratic Party
1974,1977,50,Luxembourg,4.643,5.473,5.141,29.9,-19.735,May 1974,Christian Social People’s Party
1974,1978,20,Luxembourg,0.172,0.343,14.065,8.800000000000002,-45.455,May 1974,Communist Party of Luxembourg
1974,1978,30,Luxembourg,3.526,7.692,7.372000000000001,27.0,-43.75,May 1974,Socialist Workers’ Party of Luxembourg
1974,1978,40,Luxembourg,3.283,5.303,5.1770000000000005,23.3,-22.348000000000006,May 1974,Democratic Party
1974,1978,50,Luxembourg,4.643,5.473,5.141,29.9,-19.735,May 1974,Christian Social People’s Party
1979,1979,20,Luxembourg,0.0,0.0,0.0,4.9,-74.3,June 1979,Communist Party of Luxembourg
1979,1979,30,Luxembourg,6.997999999999998,5.7810000000000015,4.3610000000000015,22.5,-27.586,June 1979,Socialist Workers’ Party of Luxembourg
1979,1979,40,Luxembourg,9.285,4.6960000000000015,2.5610000000000004,21.9,-15.048,June 1979,Democratic Party
1979,1979,50,Luxembourg,4.354,9.009,2.402,36.4,-9.76,June 1979,Christian Social People’s Party
1979,1980,20,Luxembourg,0.0,0.0,0.0,4.9,-74.3,June 1979,Communist Party of Luxembourg
1979,1980,30,Luxembourg,6.997999999999998,5.7810000000000015,4.3610000000000015,22.5,-27.586,June 1979,Socialist Workers’ Party of Luxembourg
1979,1980,40,Luxembourg,9.285,4.6960000000000015,2.5610000000000004,21.9,-15.048,June 1979,Democratic Party
1979,1980,50,Luxembourg,4.354,9.009,2.402,36.4,-9.76,June 1979,Christian Social People’s Party
1979,1981,20,Luxembourg,0.0,0.0,0.0,4.9,-74.3,June 1979,Communist Party of Luxembourg
1979,1981,30,Luxembourg,6.997999999999998,5.7810000000000015,4.3610000000000015,22.5,-27.586,June 1979,Socialist Workers’ Party of Luxembourg
1979,1981,40,Luxembourg,9.285,4.6960000000000015,2.5610000000000004,21.9,-15.048,June 1979,Democratic Party
1979,1981,50,Luxembourg,4.354,9.009,2.402,36.4,-9.76,June 1979,Christian Social People’s Party
1979,1982,20,Luxembourg,0.0,0.0,0.0,4.9,-74.3,June 1979,Communist Party of Luxembourg
1979,1982,30,Luxembourg,6.997999999999998,5.7810000000000015,4.3610000000000015,22.5,-27.586,June 1979,Socialist Workers’ Party of Luxembourg
1979,1982,40,Luxembourg,9.285,4.6960000000000015,2.5610000000000004,21.9,-15.048,June 1979,Democratic Party
1979,1982,50,Luxembourg,4.354,9.009,2.402,36.4,-9.76,June 1979,Christian Social People’s Party
1979,1983,20,Luxembourg,0.0,0.0,0.0,4.9,-74.3,June 1979,Communist Party of Luxembourg
1979,1983,30,Luxembourg,6.997999999999998,5.7810000000000015,4.3610000000000015,22.5,-27.586,June 1979,Socialist Workers’ Party of Luxembourg
1979,1983,40,Luxembourg,9.285,4.6960000000000015,2.5610000000000004,21.9,-15.048,June 1979,Democratic Party
1979,1983,50,Luxembourg,4.354,9.009,2.402,36.4,-9.76,June 1979,Christian Social People’s Party
1984,1984,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,June 1984,Green Alternative
1984,1984,20,Luxembourg,9.312000000000001,0.81,0.135,4.4,-42.51,June 1984,Communist Party of Luxembourg
1984,1984,30,Luxembourg,6.403,10.627,2.18,31.8,-29.428,June 1984,Socialist Workers’ Party of Luxembourg
1984,1984,40,Luxembourg,2.839,8.516,0.387,20.4,13.677,June 1984,Democratic Party
1984,1984,50,Luxembourg,6.693000000000001,7.093,0.6990000000000001,36.6,-12.987,June 1984,Christian Social People’s Party
1984,1985,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,June 1984,Green Alternative
1984,1985,20,Luxembourg,9.312000000000001,0.81,0.135,4.4,-42.51,June 1984,Communist Party of Luxembourg
1984,1985,30,Luxembourg,6.403,10.627,2.18,31.8,-29.428,June 1984,Socialist Workers’ Party of Luxembourg
1984,1985,40,Luxembourg,2.839,8.516,0.387,20.4,13.677,June 1984,Democratic Party
1984,1985,50,Luxembourg,6.693000000000001,7.093,0.6990000000000001,36.6,-12.987,June 1984,Christian Social People’s Party
1984,1986,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,June 1984,Green Alternative
1984,1986,20,Luxembourg,9.312000000000001,0.81,0.135,4.4,-42.51,June 1984,Communist Party of Luxembourg
1984,1986,30,Luxembourg,6.403,10.627,2.18,31.8,-29.428,June 1984,Socialist Workers’ Party of Luxembourg
1984,1986,40,Luxembourg,2.839,8.516,0.387,20.4,13.677,June 1984,Democratic Party
1984,1986,50,Luxembourg,6.693000000000001,7.093,0.6990000000000001,36.6,-12.987,June 1984,Christian Social People’s Party
1984,1987,10,Luxembourg,12.5,5.100000000000001,4.1,4.2,-29.6,June 1984,Green Alternative
1984,1987,20,Luxembourg,9.312000000000001,0.81,0.135,4.4,-42.51,June 1984,Communist Party of Luxembourg
1984,1987,30,Luxembourg,6.403,10.627,2.18,31.8,-29.428,June 1984,Socialist Workers’ Party of Luxembourg
