year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1946,1946,20,Netherlands,0.8,4.0,4.0,10.6,-34.4,May 1946,Communist Party of the Netherlands
1946,1946,30,Netherlands,2.5,6.2,3.7,28.314,-19.8,May 1946,Labour Party
1946,1946,40,Netherlands,0.0,5.600000000000001,9.7,6.4129999999999985,19.5,May 1946,Freedom Party
1946,1946,50,Netherlands,0.0,1.3,7.9,30.806,3.9,May 1946,Catholic People’s Party
1946,1946,50,Netherlands,0.0,1.5,4.5,12.901,21.0,May 1946,Anti-Revolutionary Party
1946,1946,50,Netherlands,0.0,0.0,3.2,7.84,22.1,May 1946,Christian Historical Union
1946,1946,95,Netherlands,0.0,0.0,4.0,2.138,56.0,May 1946,Reformed Political Party
1946,1947,20,Netherlands,0.8,4.0,4.0,10.6,-34.4,May 1946,Communist Party of the Netherlands
1946,1947,30,Netherlands,2.5,6.2,3.7,28.314,-19.8,May 1946,Labour Party
1946,1947,40,Netherlands,0.0,5.600000000000001,9.7,6.4129999999999985,19.5,May 1946,Freedom Party
1946,1947,50,Netherlands,0.0,1.3,7.9,30.806,3.9,May 1946,Catholic People’s Party
1946,1947,50,Netherlands,0.0,1.5,4.5,12.901,21.0,May 1946,Anti-Revolutionary Party
1946,1947,50,Netherlands,0.0,0.0,3.2,7.84,22.1,May 1946,Christian Historical Union
1946,1947,95,Netherlands,0.0,0.0,4.0,2.138,56.0,May 1946,Reformed Political Party
1948,1948,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,July 1948,Communist Party of the Netherlands
1948,1948,30,Netherlands,1.7,2.8,5.5,25.604,-14.8,July 1948,Labour Party
1948,1948,40,Netherlands,0.0,4.0,16.0,7.945,20.0,July 1948,People’s Party for Freedom and Democracy
1948,1948,50,Netherlands,0.0,0.0,6.600000000000001,31.039,6.5,July 1948,Catholic People’s Party
1948,1948,50,Netherlands,0.0,1.4,4.8,13.209,18.5,July 1948,Anti-Revolutionary Party
1948,1948,50,Netherlands,0.0,0.0,2.9,9.187999999999999,20.6,July 1948,Christian Historical Union
1948,1948,95,Netherlands,1.754,0.0,3.509,2.371,54.386,July 1948,Reformed Political Party
1948,1949,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,July 1948,Communist Party of the Netherlands
1948,1949,30,Netherlands,1.7,2.8,5.5,25.604,-14.8,July 1948,Labour Party
1948,1949,40,Netherlands,0.0,4.0,16.0,7.945,20.0,July 1948,People’s Party for Freedom and Democracy
1948,1949,50,Netherlands,0.0,0.0,6.600000000000001,31.039,6.5,July 1948,Catholic People’s Party
1948,1949,50,Netherlands,0.0,1.4,4.8,13.209,18.5,July 1948,Anti-Revolutionary Party
1948,1949,50,Netherlands,0.0,0.0,2.9,9.187999999999999,20.6,July 1948,Christian Historical Union
