year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1991,1991,30,Poland,0.8440000000000001,0.8440000000000001,4.641,11.312,-3.3760000000000003,October 1991,Democratic Left Alliance
1991,1991,30,Poland,0.645,5.806,0.645,,-14.194,October 1991,Democratic Party
1991,1991,30,Poland,0.8130000000000001,0.8130000000000001,4.878,4.766,-26.016,October 1991,Independent Self-governing Trade Union ‘Solidarity’
1991,1991,30,Poland,1.646,1.097,2.195,1.943,3.292,October 1991,Labour Solidarity
1991,1991,30,Poland,3.0380000000000003,1.519,1.013,11.626,20.506,October 1991,Democratic Union
1991,1991,40,Poland,0.0,0.0,0.0,7.066,17.188,October 1991,Liberal-Democratic Congress
1991,1991,40,Poland,13.3,0.0,0.0,3.088,18.227,October 1991,Polish Beer-Lovers' Party
1991,1991,40,Poland,1.307,0.0,0.0,2.128,51.96100000000001,October 1991,Union of Real Politics
1991,1991,40,Poland,0.0,0.0,0.0,,24.242,October 1991,Polish Economic Program (Large Beer)
1991,1991,50,Poland,0.0,0.0,0.0,2.231,12.903,October 1991,Christian Democratic Labour Party
1991,1991,50,Poland,0.0,2.778,7.222,8.221,0.0,October 1991,Centre Citizens’ Alliance
1991,1991,50,Poland,0.0,0.0,0.0,1.054,26.126,October 1991,Party of Christian Democrats
1991,1991,50,Poland,0.0,0.0,7.879,,27.273000000000003,October 1991,Movement for the Republic
1991,1991,50,Poland,2.778,1.389,0.0,8.246,38.889,October 1991,Catholic Electoral Action
1991,1991,70,Poland,0.0,0.0,0.0,7.081,23.864,October 1991,Confederation for an Independent Poland
1991,1991,70,Poland,0.0,0.0,0.0,0.219,42.105,October 1991,Polish Western Union
1991,1991,70,Poland,0.0,0.0,16.949,0.444,-6.78,October 1991,Party X
1991,1991,80,Poland,9.091000000000001,3.636,0.0,5.162000000000001,12.727,October 1991,Peasant Accord
1991,1991,80,Poland,2.232,1.339,10.268,8.184000000000001,3.571,October 1991,Polish Peasants' Party
1991,1991,90,Poland,4.58,0.0,0.0,0.337,0.763,October 1991,Movement for the Autonomy of Silesia
1991,1991,90,Poland,3.636,0.0,0.0,1.111,2.727,October 1991,German Minority
1991,1992,30,Poland,0.8440000000000001,0.8440000000000001,4.641,11.312,-3.3760000000000003,October 1991,Democratic Left Alliance
1991,1992,30,Poland,0.645,5.806,0.645,,-14.194,October 1991,Democratic Party
1991,1992,30,Poland,0.8130000000000001,0.8130000000000001,4.878,4.766,-26.016,October 1991,Independent Self-governing Trade Union ‘Solidarity’
1991,1992,30,Poland,1.646,1.097,2.195,1.943,3.292,October 1991,Labour Solidarity
1991,1992,30,Poland,3.0380000000000003,1.519,1.013,11.626,20.506,October 1991,Democratic Union
1991,1992,40,Poland,0.0,0.0,0.0,7.066,17.188,October 1991,Liberal-Democratic Congress
1991,1992,40,Poland,13.3,0.0,0.0,3.088,18.227,October 1991,Polish Beer-Lovers' Party
1991,1992,40,Poland,1.307,0.0,0.0,2.128,51.96100000000001,October 1991,Union of Real Politics
1991,1992,40,Poland,0.0,0.0,0.0,,24.242,October 1991,Polish Economic Program (Large Beer)
1991,1992,50,Poland,0.0,0.0,0.0,2.231,12.903,October 1991,Christian Democratic Labour Party
1991,1992,50,Poland,0.0,2.778,7.222,8.221,0.0,October 1991,Centre Citizens’ Alliance
1991,1992,50,Poland,0.0,0.0,0.0,1.054,26.126,October 1991,Party of Christian Democrats
1991,1992,50,Poland,0.0,0.0,7.879,,27.273000000000003,October 1991,Movement for the Republic
1991,1992,50,Poland,2.778,1.389,0.0,8.246,38.889,October 1991,Catholic Electoral Action
1991,1992,70,Poland,0.0,0.0,0.0,7.081,23.864,October 1991,Confederation for an Independent Poland
1991,1992,70,Poland,0.0,0.0,0.0,0.219,42.105,October 1991,Polish Western Union
1991,1992,70,Poland,0.0,0.0,16.949,0.444,-6.78,October 1991,Party X
1991,1992,80,Poland,9.091000000000001,3.636,0.0,5.162000000000001,12.727,October 1991,Peasant Accord
1991,1992,80,Poland,2.232,1.339,10.268,8.184000000000001,3.571,October 1991,Polish Peasants' Party
1991,1992,90,Poland,4.58,0.0,0.0,0.337,0.763,October 1991,Movement for the Autonomy of Silesia
1991,1992,90,Poland,3.636,0.0,0.0,1.111,2.727,October 1991,German Minority
1993,1993,30,Poland,0.0,1.053,5.263,20.405,-10.526,September 1993,Democratic Left Alliance
1993,1993,30,Poland,0.935,0.935,3.738,7.285,-14.953,September 1993,Union of Labour
1993,1993,30,Poland,7.407,1.852,0.0,10.59,9.259,September 1993,Democratic Union
1993,1993,70,Poland,0.0,2.326,4.651,5.766,0.0,September 1993,Confederation for an Independent Poland
1993,1993,80,Poland,5.332999999999998,2.667,4.0,15.398,-8.0,September 1993,Polish Peasants' Party
1993,1993,95,Poland,2.162,0.541,1.081,5.412000000000001,6.4860000000000015,September 1993,Non-Party Bloc in Support of Reforms
1993,1993,90,Poland,0.0,0.0,0.0,0.44,-10.811,September 1993,German Minority
1993,1994,30,Poland,0.0,1.053,5.263,20.405,-10.526,September 1993,Democratic Left Alliance
1993,1994,30,Poland,0.935,0.935,3.738,7.285,-14.953,September 1993,Union of Labour
1993,1994,30,Poland,7.407,1.852,0.0,10.59,9.259,September 1993,Democratic Union
1993,1994,70,Poland,0.0,2.326,4.651,5.766,0.0,September 1993,Confederation for an Independent Poland
1993,1994,80,Poland,5.332999999999998,2.667,4.0,15.398,-8.0,September 1993,Polish Peasants' Party
1993,1994,95,Poland,2.162,0.541,1.081,5.412000000000001,6.4860000000000015,September 1993,Non-Party Bloc in Support of Reforms
1993,1994,90,Poland,0.0,0.0,0.0,0.44,-10.811,September 1993,German Minority
1993,1995,30,Poland,0.0,1.053,5.263,20.405,-10.526,September 1993,Democratic Left Alliance
1993,1995,30,Poland,0.935,0.935,3.738,7.285,-14.953,September 1993,Union of Labour
1993,1995,30,Poland,7.407,1.852,0.0,10.59,9.259,September 1993,Democratic Union
1993,1995,70,Poland,0.0,2.326,4.651,5.766,0.0,September 1993,Confederation for an Independent Poland
1993,1995,80,Poland,5.332999999999998,2.667,4.0,15.398,-8.0,September 1993,Polish Peasants' Party
1993,1995,95,Poland,2.162,0.541,1.081,5.412000000000001,6.4860000000000015,September 1993,Non-Party Bloc in Support of Reforms
1993,1995,90,Poland,0.0,0.0,0.0,0.44,-10.811,September 1993,German Minority
1993,1996,30,Poland,0.0,1.053,5.263,20.405,-10.526,September 1993,Democratic Left Alliance
1993,1996,30,Poland,0.935,0.935,3.738,7.285,-14.953,September 1993,Union of Labour
1993,1996,30,Poland,7.407,1.852,0.0,10.59,9.259,September 1993,Democratic Union
1993,1996,70,Poland,0.0,2.326,4.651,5.766,0.0,September 1993,Confederation for an Independent Poland
1993,1996,80,Poland,5.332999999999998,2.667,4.0,15.398,-8.0,September 1993,Polish Peasants' Party
1993,1996,95,Poland,2.162,0.541,1.081,5.412000000000001,6.4860000000000015,September 1993,Non-Party Bloc in Support of Reforms
1993,1996,90,Poland,0.0,0.0,0.0,0.44,-10.811,September 1993,German Minority
1997,1997,30,Poland,0.735,0.735,0.735,27.133000000000006,9.191,September 1997,Democratic Left Alliance
1997,1997,30,Poland,0.0,4.737,1.579,4.742,-13.158,September 1997,Union of Labour
