year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1975,1975,20,Portugal,0.0,0.0,4.959000000000001,0.84,-55.372,April 1975,Popular Democratic Union
1975,1975,20,Portugal,0.0,0.0,0.0,13.46,-44.58600000000001,April 1975,Portuguese Communist Party
1975,1975,30,Portugal,0.0,3.03,1.515,4.43,-37.879,April 1975,Popular Democratic Movement
1975,1975,30,Portugal,0.0,0.0,0.0,40.69,-58.108,April 1975,Socialist Party
1975,1975,60,Portugal,0.0,1.887,18.868,28.35,-1.887,April 1975,Popular Democratic Party
1975,1975,50,Portugal,0.98,0.98,0.98,8.22,-3.922,April 1975,Social Democratic Center Party
1976,1976,20,Portugal,0.0,0.0,1.176,1.779,-34.118,April 1976,Popular Democratic Union
1976,1976,20,Portugal,0.0,3.279,1.639,15.297,-16.393,April 1976,Portuguese Communist Party
1976,1976,30,Portugal,0.0,0.474,1.896,36.741,31.28,April 1976,Socialist Party
1976,1976,60,Portugal,0.0,0.0,7.143,25.24,-3.571,April 1976,Popular Democratic Party
1976,1976,50,Portugal,0.521,0.0,0.521,16.69,-3.646,April 1976,Social Democratic Center Party
1976,1976,70,Portugal,0.0,0.0,4.444,0.5479999999999999,18.889,April 1976,Popular Monarchist Party
1976,1977,20,Portugal,0.0,0.0,1.176,1.779,-34.118,April 1976,Popular Democratic Union
1976,1977,20,Portugal,0.0,3.279,1.639,15.297,-16.393,April 1976,Portuguese Communist Party
1976,1977,30,Portugal,0.0,0.474,1.896,36.741,31.28,April 1976,Socialist Party
1976,1977,60,Portugal,0.0,0.0,7.143,25.24,-3.571,April 1976,Popular Democratic Party
1976,1977,50,Portugal,0.521,0.0,0.521,16.69,-3.646,April 1976,Social Democratic Center Party
1976,1977,70,Portugal,0.0,0.0,4.444,0.5479999999999999,18.889,April 1976,Popular Monarchist Party
1976,1978,20,Portugal,0.0,0.0,1.176,1.779,-34.118,April 1976,Popular Democratic Union
1976,1978,20,Portugal,0.0,3.279,1.639,15.297,-16.393,April 1976,Portuguese Communist Party
1976,1978,30,Portugal,0.0,0.474,1.896,36.741,31.28,April 1976,Socialist Party
1976,1978,60,Portugal,0.0,0.0,7.143,25.24,-3.571,April 1976,Popular Democratic Party
1976,1978,50,Portugal,0.521,0.0,0.521,16.69,-3.646,April 1976,Social Democratic Center Party
1976,1978,70,Portugal,0.0,0.0,4.444,0.5479999999999999,18.889,April 1976,Popular Monarchist Party
1979,1979,20,Portugal,1.379,0.0,2.759,2.225,-15.172,December 1979,Popular Democratic Union
1979,1979,20,Portugal,0.0,4.098,3.279,18.27,6.557,December 1979,Portuguese Communist Party
1979,1979,30,Portugal,0.0,4.098,3.279,1.25,6.557,December 1979,Popular Democratic Movement
1979,1979,30,Portugal,0.3670000000000001,0.0,1.651,28.236,6.606,December 1979,Socialist Party
1979,1979,60,Portugal,5.652,4.638,2.029,27.51,9.42,December 1979,Social Democratic Party
1979,1979,50,Portugal,5.652,4.638,2.029,15.21,9.42,December 1979,Social Democratic Center Party
1979,1979,70,Portugal,5.652,4.638,2.029,1.81,9.42,December 1979,Popular Monarchist Party
