year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990,1990,10,Slovakia,17.647000000000006,2.9410000000000003,2.353,3.49,-17.647000000000006,June 1990,Green Party of Slovakia
1990,1990,30,Slovakia,7.5470000000000015,6.917999999999998,5.0310000000000015,13.35,-16.352,June 1990,Party of the Democratic Left
1990,1990,40,Slovakia,8.556000000000001,3.743,3.209,4.4,-12.299,June 1990,Democratic Party
1990,1990,40,Slovakia,12.162,5.676,2.432,29.35,-7.027,June 1990,Public Against Violence
1990,1990,50,Slovakia,7.407,2.469,1.235,19.21,19.753,June 1990,Christian Democratic Movement
1990,1990,70,Slovakia,0.0,1.961,1.961,13.94,39.216,June 1990,Slovak National Party
1990,1990,90,Slovakia,7.018,1.754,3.509,8.66,5.263,June 1990,Coalition of Coexistence and the Hungarian Christian-Democratic Movement
1990,1991,10,Slovakia,17.647000000000006,2.9410000000000003,2.353,3.49,-17.647000000000006,June 1990,Green Party of Slovakia
1990,1991,30,Slovakia,7.5470000000000015,6.917999999999998,5.0310000000000015,13.35,-16.352,June 1990,Party of the Democratic Left
1990,1991,40,Slovakia,8.556000000000001,3.743,3.209,4.4,-12.299,June 1990,Democratic Party
1990,1991,40,Slovakia,12.162,5.676,2.432,29.35,-7.027,June 1990,Public Against Violence
1990,1991,50,Slovakia,7.407,2.469,1.235,19.21,19.753,June 1990,Christian Democratic Movement
1990,1991,70,Slovakia,0.0,1.961,1.961,13.94,39.216,June 1990,Slovak National Party
1990,1991,90,Slovakia,7.018,1.754,3.509,8.66,5.263,June 1990,Coalition of Coexistence and the Hungarian Christian-Democratic Movement
1992,1992,30,Slovakia,2.113,3.5210000000000004,4.225,14.702,1.408,June 1992,Party of the Democratic Left
1992,1992,40,Slovakia,1.695,0.0,5.085,,11.864,June 1992,Alliance of Democrats of the Slovak Republic
1992,1992,50,Slovakia,1.145,0.0,1.908,8.887,26.336,June 1992,Christian Democratic Movement
1992,1992,70,Slovakia,4.301,1.6130000000000002,0.269,7.934,3.495,June 1992,Slovak National Party
1992,1992,70,Slovakia,0.0,0.0,9.756,37.26,2.439,June 1992,Movement for a Democratic Slovakia
1992,1992,90,Slovakia,13.146,0.469,5.164,,-15.493,June 1992,Coexistence
1992,1992,90,Slovakia,7.018,1.754,3.509,7.425,5.263,June 1992,Coalition of Coexistence and the Hungarian Christian-Democratic Movement
1992,1993,30,Slovakia,2.113,3.5210000000000004,4.225,14.702,1.408,June 1992,Party of the Democratic Left
