year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1990,1990,10,Slovenia,29.939,3.462,2.24,8.839,-15.682,April 1990,Greens of Slovenia
1990,1990,20,Slovenia,3.448,12.069,1.724,17.28,6.897,April 1990,League of Communists of Slovenia
1990,1990,30,Slovenia,5.8820000000000014,1.569,4.314,7.3889999999999985,-16.078,April 1990,Social-Democratic Party of Slovenia
1990,1990,40,Slovenia,1.852,0.0,0.0,14.495,31.481,April 1990,Liberal Democratic Party
1990,1990,60,Slovenia,0.562,10.112,14.607,9.513,-33.146,April 1990,Democratic Party of Slovenia
1990,1990,50,Slovenia,8.992000000000003,8.719,6.267,12.976,-0.545,April 1990,Slovenian Christian Democrats
1990,1990,50,Slovenia,8.934000000000003,2.017,5.476,12.55,-5.476,April 1990,Slovenian People's Party
1990,1990,80,Slovenia,0.0,0.0,9.091000000000001,,90.90899999999999,April 1990,Slovenian Peasant League
1990,1991,10,Slovenia,29.939,3.462,2.24,8.839,-15.682,April 1990,Greens of Slovenia
1990,1991,20,Slovenia,3.448,12.069,1.724,17.28,6.897,April 1990,League of Communists of Slovenia
1990,1991,30,Slovenia,5.8820000000000014,1.569,4.314,7.3889999999999985,-16.078,April 1990,Social-Democratic Party of Slovenia
1990,1991,40,Slovenia,1.852,0.0,0.0,14.495,31.481,April 1990,Liberal Democratic Party
1990,1991,60,Slovenia,0.562,10.112,14.607,9.513,-33.146,April 1990,Democratic Party of Slovenia
1990,1991,50,Slovenia,8.992000000000003,8.719,6.267,12.976,-0.545,April 1990,Slovenian Christian Democrats
1990,1991,50,Slovenia,8.934000000000003,2.017,5.476,12.55,-5.476,April 1990,Slovenian People's Party
1990,1991,80,Slovenia,0.0,0.0,9.091000000000001,,90.90899999999999,April 1990,Slovenian Peasant League
1992,1992,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,December 1992,Greens of Slovenia
1992,1992,20,Slovenia,3.448,12.069,1.724,13.577,6.897,December 1992,"Unity, Asssociated List"
1992,1992,30,Slovenia,3.5210000000000004,0.0,0.7040000000000001,3.339,-11.972,December 1992,Social-Democratic Party of Slovenia
1992,1992,40,Slovenia,0.0,0.0,11.765,23.465,64.706,December 1992,Liberal Democratic Party
1992,1992,60,Slovenia,0.562,10.112,14.607,5.006,-33.146,December 1992,Democratic Party of Slovenia
1992,1992,50,Slovenia,8.992000000000003,8.719,6.267,14.509,-0.545,December 1992,Slovenian Christian Democrats
1992,1992,50,Slovenia,8.934000000000003,2.017,5.476,8.693,-5.476,December 1992,Slovenian People's Party
1992,1992,70,Slovenia,2.041,12.245,2.041,10.021,-2.041,December 1992,Slovenian National Party
1992,1993,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,December 1992,Greens of Slovenia
1992,1993,20,Slovenia,3.448,12.069,1.724,13.577,6.897,December 1992,"Unity, Asssociated List"
1992,1993,30,Slovenia,3.5210000000000004,0.0,0.7040000000000001,3.339,-11.972,December 1992,Social-Democratic Party of Slovenia
1992,1993,40,Slovenia,0.0,0.0,11.765,23.465,64.706,December 1992,Liberal Democratic Party
1992,1993,60,Slovenia,0.562,10.112,14.607,5.006,-33.146,December 1992,Democratic Party of Slovenia
1992,1993,50,Slovenia,8.992000000000003,8.719,6.267,14.509,-0.545,December 1992,Slovenian Christian Democrats
1992,1993,50,Slovenia,8.934000000000003,2.017,5.476,8.693,-5.476,December 1992,Slovenian People's Party
1992,1993,70,Slovenia,2.041,12.245,2.041,10.021,-2.041,December 1992,Slovenian National Party
1992,1994,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,December 1992,Greens of Slovenia
1992,1994,20,Slovenia,3.448,12.069,1.724,13.577,6.897,December 1992,"Unity, Asssociated List"
1992,1994,30,Slovenia,3.5210000000000004,0.0,0.7040000000000001,3.339,-11.972,December 1992,Social-Democratic Party of Slovenia
1992,1994,40,Slovenia,0.0,0.0,11.765,23.465,64.706,December 1992,Liberal Democratic Party
1992,1994,60,Slovenia,0.562,10.112,14.607,5.006,-33.146,December 1992,Democratic Party of Slovenia
1992,1994,50,Slovenia,8.992000000000003,8.719,6.267,14.509,-0.545,December 1992,Slovenian Christian Democrats
1992,1994,50,Slovenia,8.934000000000003,2.017,5.476,8.693,-5.476,December 1992,Slovenian People's Party
1992,1994,70,Slovenia,2.041,12.245,2.041,10.021,-2.041,December 1992,Slovenian National Party
1992,1995,10,Slovenia,29.939,3.462,2.24,3.704,-15.682,December 1992,Greens of Slovenia
1992,1995,20,Slovenia,3.448,12.069,1.724,13.577,6.897,December 1992,"Unity, Asssociated List"
1992,1995,30,Slovenia,3.5210000000000004,0.0,0.7040000000000001,3.339,-11.972,December 1992,Social-Democratic Party of Slovenia
1992,1995,40,Slovenia,0.0,0.0,11.765,23.465,64.706,December 1992,Liberal Democratic Party
1992,1995,60,Slovenia,0.562,10.112,14.607,5.006,-33.146,December 1992,Democratic Party of Slovenia
1992,1995,50,Slovenia,8.992000000000003,8.719,6.267,14.509,-0.545,December 1992,Slovenian Christian Democrats
1992,1995,50,Slovenia,8.934000000000003,2.017,5.476,8.693,-5.476,December 1992,Slovenian People's Party
1992,1995,70,Slovenia,2.041,12.245,2.041,10.021,-2.041,December 1992,Slovenian National Party
1996,1996,30,Slovenia,0.0,0.0,26.829,16.131,-4.878,November 1996,Social-Democratic Party of Slovenia
1996,1996,30,Slovenia,0.735,2.206,5.8820000000000014,9.033999999999999,-11.029000000000002,November 1996,Associated List of Social Democrats
1996,1996,40,Slovenia,4.494,13.109000000000002,7.865,27.009,-12.734000000000002,November 1996,Liberal Democracy of Slovenia
1996,1996,50,Slovenia,8.992000000000003,8.719,6.267,9.62,-0.545,November 1996,Slovenian Christian Democrats
1996,1996,50,Slovenia,1.852,1.852,5.556,19.378,18.519,November 1996,Slovenian People's Party
1996,1996,70,Slovenia,6.25,6.25,3.906,3.219,6.25,November 1996,Slovenian National Party
