year,yearObject,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1944,1944,20,Sweden,0.0,0.0,0.0,10.3,9.6,September 1944,Communist Party of Sweden
1944,1944,30,Sweden,0.0,0.0,5.600000000000001,46.5,-37.8,September 1944,Social Democratic Labour Party
1944,1944,40,Sweden,0.0,0.0,1.6,12.9,9.5,September 1944,People’s Party
1944,1944,60,Sweden,0.0,0.0,5.3,15.8,28.0,September 1944,Right Party
1944,1944,80,Sweden,0.0,0.0,0.0,13.6,23.81,September 1944,Agrarian Party
1944,1945,20,Sweden,0.0,0.0,0.0,10.3,9.6,September 1944,Communist Party of Sweden
1944,1945,30,Sweden,0.0,0.0,5.600000000000001,46.5,-37.8,September 1944,Social Democratic Labour Party
1944,1945,40,Sweden,0.0,0.0,1.6,12.9,9.5,September 1944,People’s Party
1944,1945,60,Sweden,0.0,0.0,5.3,15.8,28.0,September 1944,Right Party
1944,1945,80,Sweden,0.0,0.0,0.0,13.6,23.81,September 1944,Agrarian Party
1944,1946,20,Sweden,0.0,0.0,0.0,10.3,9.6,September 1944,Communist Party of Sweden
1944,1946,30,Sweden,0.0,0.0,5.600000000000001,46.5,-37.8,September 1944,Social Democratic Labour Party
1944,1946,40,Sweden,0.0,0.0,1.6,12.9,9.5,September 1944,People’s Party
1944,1946,60,Sweden,0.0,0.0,5.3,15.8,28.0,September 1944,Right Party
1944,1946,80,Sweden,0.0,0.0,0.0,13.6,23.81,September 1944,Agrarian Party
1944,1947,20,Sweden,0.0,0.0,0.0,10.3,9.6,September 1944,Communist Party of Sweden
1944,1947,30,Sweden,0.0,0.0,5.600000000000001,46.5,-37.8,September 1944,Social Democratic Labour Party
1944,1947,40,Sweden,0.0,0.0,1.6,12.9,9.5,September 1944,People’s Party
1944,1947,60,Sweden,0.0,0.0,5.3,15.8,28.0,September 1944,Right Party
1944,1947,80,Sweden,0.0,0.0,0.0,13.6,23.81,September 1944,Agrarian Party
1948,1948,20,Sweden,0.0,0.0,6.0,6.312,-44.0,September 1948,Communist Party of Sweden
1948,1948,30,Sweden,0.0,3.3,2.5,46.132,-33.4,September 1948,Social Democratic Labour Party
1948,1948,40,Sweden,0.0,0.0,5.8,22.749,22.9,September 1948,People’s Party
1948,1948,60,Sweden,0.0,0.0,0.0,12.343,56.3,September 1948,Right Party
1948,1948,80,Sweden,0.0,0.0,2.1,12.385,-4.9,September 1948,Agrarian Party
1948,1949,20,Sweden,0.0,0.0,6.0,6.312,-44.0,September 1948,Communist Party of Sweden
1948,1949,30,Sweden,0.0,3.3,2.5,46.132,-33.4,September 1948,Social Democratic Labour Party
1948,1949,40,Sweden,0.0,0.0,5.8,22.749,22.9,September 1948,People’s Party
1948,1949,60,Sweden,0.0,0.0,0.0,12.343,56.3,September 1948,Right Party
1948,1949,80,Sweden,0.0,0.0,2.1,12.385,-4.9,September 1948,Agrarian Party
1948,1950,20,Sweden,0.0,0.0,6.0,6.312,-44.0,September 1948,Communist Party of Sweden
1948,1950,30,Sweden,0.0,3.3,2.5,46.132,-33.4,September 1948,Social Democratic Labour Party
1948,1950,40,Sweden,0.0,0.0,5.8,22.749,22.9,September 1948,People’s Party
1948,1950,60,Sweden,0.0,0.0,0.0,12.343,56.3,September 1948,Right Party
