partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Alliance for the Future of Austria,2006,NAT,0.8959999999999999,3.2260000000000004,5.556,1,4.11,-3.584,10.25,4.11,Austria
Alliance for the Future of Austria,2008,NAT,0.0,4.07,17.733,1,10.7,-8.721,10.25,10.7,Austria
Austrian Communist Party,2002,LEF,0.0,0.461,4.608000000000001,1,0.562,-26.267,-23.66,0.562,Austria
Austrian Communist Party,2008,LEF,0.0,0.0,27.826,1,0.76,-17.391,-23.66,0.76,Austria
Austrian Freedom Party,1956,NAT,8.3,0.0,4.2,1,6.52,-4.2,10.25,6.52,Austria
Austrian Freedom Party,1959,NAT,2.0,0.0,2.0,1,7.704,21.2,10.25,7.704,Austria
Austrian Freedom Party,1962,NAT,1.8,0.0,1.8,1,7.044,-24.6,10.25,7.044,Austria
Austrian Freedom Party,1966,NAT,1.8,0.0,6.9,1,5.353,-28.95,10.25,5.353,Austria
Austrian Freedom Party,1970,NAT,1.8,0.0,12.0,1,5.522,-33.3,10.25,5.522,Austria
Austrian Freedom Party,1971,NAT,0.4,1.9,5.600000000000001,1,5.4529999999999985,-6.600000000000001,10.25,5.4529999999999985,Austria
Austrian Freedom Party,1975,NAT,2.8,8.3,4.600000000000001,1,5.407,-11.9,10.25,5.407,Austria
Austrian Freedom Party,1979,NAT,1.1,9.1,6.9,1,6.063,-3.5,10.25,6.063,Austria
Austrian Freedom Party,1983,NAT,3.7,7.0,3.7,1,4.982,15.1,10.25,4.982,Austria
Austrian Freedom Party,1986,NAT,0.0,10.9,3.5,1,9.732000000000001,-5.9,10.25,9.732000000000001,Austria
Austrian Freedom Party,1990,NAT,0.0,6.2,1.3,1,16.635,14.9,10.25,16.635,Austria
Austrian Freedom Party,1994,NAT,0.379,2.655,3.287,1,22.497,47.788,10.25,22.497,Austria
Austrian Freedom Party,1999,NAT,5.167999999999998,6.01,1.803,1,26.91,24.639,10.25,26.91,Austria
Austrian Freedom Party,2002,NAT,2.886,3.148,6.6720000000000015,1,10.01,-18.028,10.25,10.01,Austria
Austrian Freedom Party,2006,NAT,2.154,15.077,4.308,1,11.04,-4.308,10.25,11.04,Austria
Austrian Freedom Party,2008,NAT,3.03,4.329,10.823,1,17.54,-1.2990000000000002,10.25,17.54,Austria
Austrian Freedom Party,2013,NAT,0.0,0.0,6.0870000000000015,1,20.506,12.174,10.25,20.506,Austria
Austrian Freedom Party,2017,NAT,2.655,5.973,5.752000000000002,1,25.966,9.292,10.25,25.966,Austria
Austrian Freedom Party,2019,NAT,0.0,10.811,2.252,1,16.174,2.7030000000000003,10.25,16.174,Austria
Austrian People’s Party,1949,CHR,0.0,0.0,8.9,1,44.032,32.2,6.13,44.032,Austria
Austrian People’s Party,1953,CHR,2.4,0.0,6.5,1,41.257,29.5,6.13,41.257,Austria
Austrian People’s Party,1956,CHR,0.0,0.0,6.3,1,45.957,45.9,6.13,45.957,Austria
Austrian People’s Party,1959,CHR,6.7,0.0,1.3,1,44.192,24.0,6.13,44.192,Austria
Austrian People’s Party,1962,CHR,9.8,0.0,7.7,1,45.432,11.2,6.13,45.432,Austria
Austrian People’s Party,1966,CHR,3.5,0.0,8.800000000000002,1,48.349,5.8,6.13,48.349,Austria
Austrian People’s Party,1970,CHR,6.100000000000001,1.9,6.600000000000001,1,44.694,-6.8,6.13,44.694,Austria
Austrian People’s Party,1971,CHR,9.9,0.0,3.8,1,43.114,25.3,6.13,43.114,Austria
Austrian People’s Party,1975,CHR,4.1,1.0,3.5,1,42.94600000000001,3.1,6.13,42.94600000000001,Austria
Austrian People’s Party,1979,CHR,1.4,2.9,5.7,1,41.904,-17.1,6.13,41.904,Austria
Austrian People’s Party,1983,CHR,1.1,6.600000000000001,4.9,1,43.223,1.0,6.13,43.223,Austria
Austrian People’s Party,1986,CHR,0.0,6.7,5.0,1,41.294,29.1,6.13,41.294,Austria
Austrian People’s Party,1990,CHR,0.9,14.2,3.1,1,32.064,4.8,6.13,32.064,Austria
Austrian People’s Party,1994,CHR,0.638,7.468,1.1840000000000002,1,27.667,24.59,6.13,27.667,Austria
Austrian People’s Party,1995,CHR,0.0,0.833,0.833,1,28.291,40.417,6.13,28.291,Austria
Austrian People’s Party,1999,CHR,0.8390000000000001,1.605,4.05,1,26.91,-3.612,6.13,26.91,Austria
Austrian People’s Party,2002,CHR,5.266,3.51,4.711,1,42.3,-15.704,6.13,42.3,Austria
