partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Belgian Socialist Party,1946,SOC,0.0,0.8,3.4,1,32.85,-13.5,-14.0,32.85,Belgium
Belgian Socialist Party,1949,SOC,0.6,0.2,26.6,1,29.747,-50.0,-14.0,29.747,Belgium
Belgian Socialist Party,1950,SOC,0.0,0.0,6.8,1,35.91,-13.5,-14.0,35.91,Belgium
Belgian Socialist Party,1954,SOC,2.0,0.0,5.0,1,38.99,-31.0,-14.0,38.99,Belgium
Belgian Socialist Party,1958,SOC,0.958,0.319,7.987,1,37.47,-19.489,-14.0,37.47,Belgium
Belgian Socialist Party,1961,SOC,1.5630000000000002,0.0,1.5630000000000002,1,36.722,-19.531,-14.0,36.722,Belgium
Belgian Socialist Party,1965,SOC,9.722,0.397,3.373,1,28.281,-30.952,-14.0,28.281,Belgium
Belgian Socialist Party,1968,SOC,9.045,0.0,1.508,1,27.987,0.503,-14.0,27.987,Belgium
Belgian Socialist Party,1971,SOC,1.974,4.934,2.632,1,27.238000000000003,-25.329,-14.0,27.238000000000003,Belgium
Belgian Socialist Party,1974,SOC,2.857,1.905,6.19,1,26.656,-39.048,-14.0,26.656,Belgium
Belgian Socialist Party,1977,SOC,4.292,2.897,7.511,1,27.035,-26.073,-14.0,27.035,Belgium
Brussels Liberal Party,1971,LIB,1.25,0.0,0.0,1,1.31,9.375,4.61,1.31,Belgium
Christian Democratic and Flemish,1999,CHR,2.886,3.463,2.525,1,14.088,-4.185,6.13,14.088,Belgium
Christian Democratic and Flemish,2003,CHR,0.935,0.234,3.738,1,13.249,1.869,6.13,13.249,Belgium
Christian Democratic and Flemish,2007,CHR,0.0,1.614,6.688,1,14.808,11.393,6.13,14.808,Belgium
Christian Democratic and Flemish,2010,CHR,0.0,0.6859999999999999,6.2189999999999985,1,10.845999999999998,7.247999999999998,6.13,10.845999999999998,Belgium
Christian Democratic and Flemish,2014,CHR,5.6960000000000015,4.876,8.851000000000003,1,11.61,-0.102,6.13,11.61,Belgium
Christian Democratic and Flemish,2019,CHR,2.509,5.399,18.487,1,8.886000000000003,-11.903,6.13,8.886000000000003,Belgium
Christian People’s Party,1968,CHR,2.677,4.015,0.956,1,20.033,-12.811,6.13,20.033,Belgium
Christian People’s Party,1971,CHR,7.798999999999999,6.407,2.507,1,19.672,-17.27,6.13,19.672,Belgium
Christian People’s Party,1974,CHR,15.668,9.217,0.461,1,23.251,-11.982,6.13,23.251,Belgium
Christian People’s Party,1977,CHR,8.704,4.836,0.967,1,26.192,-4.836,6.13,26.192,Belgium
Christian People’s Party,1978,CHR,1.954,1.954,4.723,1,26.134,1.3030000000000002,6.13,26.134,Belgium
Christian People’s Party,1981,CHR,0.0,7.461,1.973,1,19.339,1.544,6.13,19.339,Belgium
Christian People’s Party,1985,CHR,4.11,6.164,2.055,1,21.293000000000006,14.795,6.13,21.293000000000006,Belgium
Christian People’s Party,1987,CHR,6.488,8.039,4.372,1,19.454,6.629,6.13,19.454,Belgium
Christian People’s Party,1991,CHR,1.39,3.529,2.995,1,16.815,6.631,6.13,16.815,Belgium
Christian People’s Party,1995,CHR,1.951,0.244,1.829,1,17.176,-3.1710000000000003,6.13,17.176,Belgium
Christian Social Party,1968,CHR,3.559,0.35600000000000004,2.135,1,11.709,-13.167,6.13,11.709,Belgium
Christian Social Party,1971,CHR,3.175,6.349,0.0,1,10.379,-22.222,6.13,10.379,Belgium
Christian Social Party,1974,CHR,26.316,2.105,0.0,1,9.094,-5.263,6.13,9.094,Belgium
Christian Social Party,1977,CHR,35.429,1.143,0.5710000000000001,1,9.752,-7.4289999999999985,6.13,9.752,Belgium
Christian Social Party,1978,CHR,8.309000000000001,4.373,5.539,1,10.131,5.102,6.13,10.131,Belgium
Christian Social Party,1981,CHR,3.015,1.173,1.34,1,7.149,8.543000000000001,6.13,7.149,Belgium
Christian Social Party,1985,CHR,0.0,2.455,2.902,1,7.952000000000001,13.616,6.13,7.952000000000001,Belgium
Christian Social Party,1987,CHR,9.398,7.229,0.0,1,8.009,-6.506,6.13,8.009,Belgium
Christian Social Party,1991,CHR,1.494,2.74,4.608000000000001,1,7.7360000000000015,-11.208,6.13,7.7360000000000015,Belgium
Christian Social Party,1995,CHR,2.009,2.827,5.432,1,7.726,-6.101,6.13,7.726,Belgium
Christian Social Party,1999,CHR,1.634,1.634,5.8820000000000014,1,5.879,-11.928,6.13,5.879,Belgium
Ecologists,1981,ECO,2.546,8.072000000000001,1.029,1,2.54,-1.517,-13.65,2.54,Belgium
Ecologists,1985,ECO,2.546,8.072000000000001,1.029,1,2.514,-1.517,-13.65,2.514,Belgium
Ecologists,1987,ECO,2.546,8.072000000000001,1.029,1,2.573,-1.517,-13.65,2.573,Belgium
Ecologists,1991,ECO,2.546,8.072000000000001,1.029,1,5.073,-1.517,-13.65,5.073,Belgium
Ecologists,1995,ECO,2.065,14.159,6.785,1,4.008,-20.944000000000006,-13.65,4.008,Belgium
Ecologists,1999,ECO,3.219,7.397,4.178,1,7.359,-19.763,-13.65,7.359,Belgium
Ecologists,2003,ECO,1.903,10.782,13.953,1,3.06,-17.336,-13.65,3.06,Belgium
Ecologists,2007,ECO,2.867,4.342000000000001,7.7360000000000015,1,5.102,-20.32,-13.65,5.102,Belgium
Ecologists,2010,ECO,0.626,3.192,5.102,1,4.796,-31.299,-13.65,4.796,Belgium
Flemish Bloc,1978,NAT,4.956,3.499,0.875,1,1.371,-2.915,10.25,1.371,Belgium
Flemish Bloc,1981,NAT,4.956,3.499,0.875,1,1.102,-2.915,10.25,1.102,Belgium
Flemish Bloc,1985,NAT,4.956,3.499,0.875,1,1.408,-2.915,10.25,1.408,Belgium
Flemish Bloc,1987,NAT,4.956,3.499,0.875,1,1.896,-2.915,10.25,1.896,Belgium
Flemish Bloc,1991,NAT,4.956,3.499,0.875,1,6.576000000000001,-2.915,10.25,6.576000000000001,Belgium
Flemish Bloc,1995,NAT,2.793,9.877,0.8170000000000001,1,7.834000000000001,-2.997,10.25,7.834000000000001,Belgium
Flemish Bloc,1999,NAT,2.793,9.877,0.8170000000000001,1,9.87,-2.997,10.25,9.87,Belgium
Flemish Bloc,2003,NAT,2.793,9.877,0.8170000000000001,1,11.68,-2.997,10.25,11.68,Belgium
Flemish Christian Peoples’ Union,1954,ETH,2.092,0.0,0.0,1,2.202,1.255,-9.04,2.202,Belgium
Flemish Interest,2007,NAT,3.258,1.409,3.0380000000000003,1,11.99,24.571,10.25,11.99,Belgium
Flemish Interest,2010,NAT,0.0,0.44,0.44,1,7.763,39.44300000000001,10.25,7.763,Belgium
Flemish Interest,2014,NAT,1.966,1.311,4.063,1,3.673,17.3,10.25,3.673,Belgium
Flemish Interest,2019,NAT,2.419,2.5,7.621,1,11.949000000000002,8.387,10.25,11.949000000000002,Belgium
Flemish Liberals and Democrats,1995,LIB,2.885,5.2879999999999985,2.885,1,13.148,-2.404,4.61,13.148,Belgium
Flemish Liberals and Democrats,1999,LIB,4.752,1.539,4.351,1,14.304,5.556,4.61,14.304,Belgium
Flemish Liberals and Democrats,2003,LIB,0.0,1.493,1.493,1,15.356,0.373,4.61,15.356,Belgium
Flemish Socialist Party,1978,SOC,2.628,3.043,7.0539999999999985,1,12.37,-29.461,-14.0,12.37,Belgium
Flemish Socialist Party,1981,SOC,2.849,4.558,3.846,1,12.359000000000002,-23.362,-14.0,12.359000000000002,Belgium
Flemish Socialist Party,1985,SOC,4.173,8.245000000000001,4.726,1,14.548,-19.155,-14.0,14.548,Belgium
Flemish Socialist Party,1987,SOC,6.857,5.714,6.857,1,14.883,-28.0,-14.0,14.883,Belgium
Flemish Socialist Party,1991,SOC,3.85,6.97,4.182,1,11.976,-11.218,-14.0,11.976,Belgium
Flemish Socialist Party,1995,SOC,1.41,4.23,5.405,1,12.557,-15.629,-14.0,12.557,Belgium
Flemish Socialist Party,1999,SOC,1.905,8.413,4.127,1,9.549,-1.429,-14.0,9.549,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1946,CHR,1.0,0.0,8.1,1,42.538,30.1,6.13,42.538,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1949,CHR,0.8,0.3,3.9,1,43.549,2.4,6.13,43.549,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1950,CHR,0.8,0.0,3.8,1,47.678,1.6,6.13,47.678,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1954,CHR,0.5,0.6,3.2,1,41.147,4.2,6.13,41.147,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1958,CHR,0.9520000000000001,0.0,14.286,1,46.499,-3.81,6.13,46.499,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1961,CHR,0.0,0.0,1.587,1,41.456,-9.524,6.13,41.456,Belgium
Francophone Christian Social Party and Flemish Christian People’s Party,1965,CHR,2.3080000000000003,0.769,5.385,1,34.451,-3.846,6.13,34.451,Belgium
Francophone Democratic Front of Francophones,1985,ETH,12.635,18.49,0.924,1,1.193,-3.852,-9.04,1.193,Belgium
Francophone Democratic Front of Francophones,1987,ETH,9.002000000000002,10.923,1.133,1,1.162,-4.443000000000001,-9.04,1.162,Belgium
Francophone Democratic Front of Francophones,1991,ETH,5.369,3.3560000000000003,1.342,1,1.474,-5.034,-9.04,1.474,Belgium
