partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Alternative for Bulgarian Revival,2014,SOC,2.632,0.526,0.0,1,4.149,-1.579,-14.0,4.149,Bulgaria
BSP for Bulgaria,2017,SOC,3.4930000000000003,0.0,2.62,1,27.195,6.987,-14.0,27.195,Bulgaria
BSP-Left Bulgaria,2014,SOC,2.963,0.741,2.222,1,15.397,-24.815,-14.0,15.397,Bulgaria
Blue Coalition,2009,CHR,0.0,1.95,1.39,1,6.759,14.91,6.13,6.759,Bulgaria
Bulgaria without Censorship,2014,CON,5.598,1.272,1.272,1,5.694,-6.107,11.64,5.694,Bulgaria
Bulgarian Agrarian National Union,1990,AGR,0.0,5.806,0.645,1,6.024,12.258,1.01,6.024,Bulgaria
Bulgarian Agrarian People’s Union - Alexandar Stambolijski,1994,AGR,2.7030000000000003,1.351,0.0,1,0.0,8.783999999999999,1.01,0.0,Bulgaria
Bulgarian Business Bloc,1994,CON,0.0,0.5379999999999999,0.8059999999999999,1,4.726,20.699,11.64,4.726,Bulgaria
Bulgarian Business Bloc,1997,CON,1.007,0.0,0.0,1,4.928,5.705,11.64,4.928,Bulgaria
Bulgarian People's Union,2005,AGR,4.739,1.896,1.896,1,5.191,-1.422,1.01,5.191,Bulgaria
Bulgarian Socialist Party,1990,SOC,2.062,3.093,4.381,1,47.151,18.299,-14.0,47.151,Bulgaria
Bulgarian Socialist Party,1991,SOC,8.314,1.848,2.54,1,0.0,1.848,-14.0,0.0,Bulgaria
Bulgarian Socialist Party,1994,SOC,4.474,0.0,5.263,1,0.0,-2.632,-14.0,0.0,Bulgaria
Bulgarian Socialist Party,1997,SOC,1.37,0.342,1.37,1,0.0,21.918000000000006,-14.0,0.0,Bulgaria
Bulgarian Socialist Party,2005,SOC,0.38,0.38,10.265999999999998,1,0.0,-22.814,-14.0,0.0,Bulgaria
Bulgarian Socialist Party,2013,SOC,2.427,2.427,5.097,1,26.612,-38.107,-14.0,26.612,Bulgaria
Citizens for European Development of Bulgaria,2009,CHR,6.66,3.222,0.8590000000000001,1,39.72,0.43,6.13,39.72,Bulgaria
Citizens for European Development of Bulgaria,2013,CHR,5.9,4.3439999999999985,1.361,1,30.539,-0.972,6.13,30.539,Bulgaria
Citizens for European Development of Bulgaria,2014,CHR,2.374,2.374,0.838,1,32.666,-1.257,6.13,32.666,Bulgaria
Citizens for European Development of Bulgaria,2017,CHR,5.96,3.863,0.773,1,32.655,7.726,6.13,32.655,Bulgaria
