partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Citizens' Alliance,2016,SOC,0.0,0.0,1.741,1,6.009,-8.897,-14.0,6.009,Cyprus
Democratic Coalition,1996,NAT,5.309,8.342,3.359,1,34.47,-4.334000000000001,10.25,34.47,Cyprus
Democratic Coalition,2001,NAT,4.875,10.542,2.438,1,34.48,-6.7029999999999985,10.25,34.48,Cyprus
Democratic Coalition,2006,NAT,4.436,3.664,3.472,1,30.344,-6.365,10.25,30.344,Cyprus
Democratic Coalition,2011,NAT,0.0,0.0,1.205,1,34.278,20.482,10.25,34.278,Cyprus
Democratic Coalition,2016,NAT,0.7609999999999999,0.0,3.469,1,30.685,20.389,10.25,30.685,Cyprus
Democratic Party,1996,LIB,5.372999999999998,4.701000000000001,4.1789999999999985,1,16.43,0.075,4.61,16.43,Cyprus
Democratic Party,2001,LIB,10.524,3.791,3.342,1,15.05,-8.878,4.61,15.05,Cyprus
Democratic Party,2006,LIB,0.0,0.0,11.236,1,17.92,40.449,4.61,17.92,Cyprus
Democratic Party,2011,LIB,2.564,0.0,7.692,1,15.76,11.795,4.61,15.76,Cyprus
Democratic Party,2016,LIB,2.3080000000000003,5.385,3.846,1,14.492,3.846,4.61,14.492,Cyprus
Ecological and Environmental Movement,2006,ECO,12.684,22.029,3.204,1,1.946,-6.409,-13.65,1.946,Cyprus
Ecological and Environmental Movement,2011,ECO,9.504,22.281,3.696,1,2.215,-7.075,-13.65,2.215,Cyprus
European Party,2006,LIB,7.572,6.925,5.54,1,5.746,6.832999999999998,4.61,5.746,Cyprus
European Party,2011,LIB,1.111,0.556,5.556,1,3.883,9.443999999999999,4.61,3.883,Cyprus
Free Democrats Movement,1996,LIB,5.66,5.307,1.533,1,3.69,4.245,4.61,3.69,Cyprus
Liberal Party,1996,LIB,6.9620000000000015,1.266,6.329,1,0.0,20.886,4.61,0.0,Cyprus
Movement of Ecologists - Citizens' Cooperation,2016,ECO,8.182,17.552,4.056,1,4.812,-8.252,-13.65,4.812,Cyprus
National Popular Front,2016,NAT,0.0,0.0,0.0,1,3.711,8.163,10.25,3.711,Cyprus
Progressive Party of the Working People,1996,SOC,6.559,1.769,2.063,1,33.0,-0.737,-14.0,33.0,Cyprus
Progressive Party of the Working People,2001,SOC,7.104,3.893,3.347,1,35.2,-14.959,-14.0,35.2,Cyprus
Progressive Party of the Working People,2006,SOC,8.15,6.52,4.506,1,31.126,-9.684,-14.0,31.126,Cyprus
Progressive Party of the Working People,2011,SOC,0.377,9.057,3.019,1,32.669000000000004,-19.245,-14.0,32.669000000000004,Cyprus
Progressive Party of the Working People,2016,SOC,2.235,0.0,14.153,1,25.671,-26.071,-14.0,25.671,Cyprus
Solidarity Movement,2016,CON,1.347,0.6729999999999999,5.051,1,5.2429999999999986,4.714,11.64,5.2429999999999986,Cyprus
United Democratic Union of Cyprus,1996,SOC,7.612,13.308,3.998,1,8.13,-11.61,-14.0,8.13,Cyprus
United Democratic Union of Cyprus,2001,SOC,17.319000000000006,8.901,4.075,1,6.61,-17.426,-14.0,6.61,Cyprus
United Democratic Union of Cyprus,2006,SOC,9.549,4.427,8.767000000000001,1,8.913,-19.097,-14.0,8.913,Cyprus
United Democratic Union of Cyprus,2011,SOC,0.873,4.367,10.48,1,8.926,4.367,-14.0,8.926,Cyprus
United Democratic Union of Cyprus,2016,SOC,0.0,0.0,2.02,1,6.185,-15.152,-14.0,6.185,Cyprus
