partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
ANO 2011,2013,LIB,4.834000000000001,3.867,3.4530000000000003,1,18.657,-9.945,4.61,18.657,Czech Republic
ANO 2011,2017,LIB,6.747000000000001,2.076,1.471,1,29.642,-13.668,4.61,29.642,Czech Republic
Association for the Republic – Republican Party of Czechoslovakia,1992,NAT,0.0,8.163,0.0,1,5.967000000000001,6.122000000000001,10.25,5.967000000000001,Czech Republic
Association for the Republic – Republican Party of Czechoslovakia,1996,NAT,4.348,3.478,0.0,1,8.006,7.826000000000001,10.25,8.006,Czech Republic
Association for the Republic – Republican Party of Czechoslovakia,1998,NAT,0.0,0.0,4.348,1,3.9,0.725,10.25,3.9,Czech Republic
Association for the Republic – Republican Party of Czechoslovakia,2002,NAT,0.398,5.1789999999999985,2.39,1,0.97,19.522,10.25,0.97,Czech Republic
Christian Democratic Party,1992,CHR,3.03,11.255,2.165,1,0.0,4.329,6.13,0.0,Czech Republic
Christian and Democratic Union,1990,CHR,2.156,8.833,3.005,1,8.39,20.754,6.13,8.39,Czech Republic
Christian and Democratic Union - Czech People's Party,1992,CHR,2.247,4.494,2.247,1,6.2650000000000015,0.0,6.13,6.2650000000000015,Czech Republic
Christian and Democratic Union - Czech People's Party,1996,CHR,2.778,6.327000000000001,2.778,1,8.076,5.556,6.13,8.076,Czech Republic
Christian and Democratic Union - Czech People's Party,1998,CHR,2.1830000000000003,8.734,1.31,1,8.996,-6.114,6.13,8.996,Czech Republic
Christian and Democratic Union - Czech People's Party,2006,CHR,3.628,4.157,1.814,1,7.23,-1.134,6.13,7.23,Czech Republic
Christian and Democratic Union - Czech People's Party,2010,CHR,1.877,3.584,2.901,1,4.4,1.536,6.13,4.4,Czech Republic
Christian and Democratic Union - Czech People's Party,2013,CHR,3.892,6.287000000000001,0.898,1,6.78,-23.054,6.13,6.78,Czech Republic
Christian and Democratic Union - Czech People's Party,2017,CHR,2.314,2.8280000000000003,1.7990000000000002,1,5.8020000000000005,-21.337,6.13,5.8020000000000005,Czech Republic
Christian and Democratic Union - Czech People's Party -  Freedom Union - Democratic Union,2002,CON,1.842,3.867,1.105,1,14.276,8.287,11.64,14.276,Czech Republic
Civic Democratic Alliance,1992,LIB,3.325,8.184000000000001,1.79,1,5.916,12.02,4.61,5.916,Czech Republic
Civic Democratic Alliance,1996,LIB,2.364,3.455,4.182,1,6.36,23.273000000000003,4.61,6.36,Czech Republic
Civic Democratic Party,1992,CON,5.114,9.091000000000001,0.5680000000000001,1,0.0,39.773,11.64,0.0,Czech Republic
Civic Democratic Party,1996,CON,2.085,2.085,1.723,1,29.617,17.498,11.64,29.617,Czech Republic
Civic Democratic Party,1998,CON,0.278,0.417,2.083,1,27.741,30.278,11.64,27.741,Czech Republic
Civic Democratic Party,2002,CON,0.0,3.232,1.795,1,24.475,40.036,11.64,24.475,Czech Republic
Civic Democratic Party,2006,CON,2.489,3.4410000000000003,4.319,1,35.38,20.791,11.64,35.38,Czech Republic
Civic Democratic Party,2010,CON,3.81,4.762,1.19,1,20.22,11.19,11.64,20.22,Czech Republic
Civic Democratic Party,2013,CON,3.02,3.3560000000000003,3.188,1,7.73,6.376,11.64,7.73,Czech Republic
Civic Democratic Party,2017,CON,3.005,3.825,1.366,1,11.322,2.186,11.64,11.322,Czech Republic
Civic Democratic Party - Christian Democratic Party,1992,CON,4.072,10.173,1.366,1,29.67,22.051,11.64,29.67,Czech Republic
Civic Forum,1990,LIB,1.198,2.395,0.599,1,49.352,14.371,4.61,49.352,Czech Republic
Communist Party of Bohemia and Moravia,1996,LEF,5.34,6.311,5.34,1,10.334,-3.398,-23.66,10.334,Czech Republic
Communist Party of Bohemia and Moravia,1998,LEF,3.39,5.569,1.937,1,11.032,-9.443,-23.66,11.032,Czech Republic
Communist Party of Bohemia and Moravia,2002,LEF,3.671,4.371,2.0980000000000003,1,18.512,-14.51,-23.66,18.512,Czech Republic
Communist Party of Bohemia and Moravia,2006,LEF,2.677,4.589,6.882999999999999,1,12.81,-22.18,-23.66,12.81,Czech Republic
Communist Party of Bohemia and Moravia,2010,LEF,3.273,5.818000000000001,1.818,1,11.27,-28.364,-23.66,11.27,Czech Republic
Communist Party of Bohemia and Moravia,2013,LEF,4.511,7.519,5.263,1,14.91,-34.962,-23.66,14.91,Czech Republic
Communist Party of Bohemia and Moravia,2017,LEF,2.611,2.872,4.439,1,7.768,-40.209,-23.66,7.768,Czech Republic
Communist Party of Czechoslovakia,1990,LEF,6.494,8.442,5.195,1,13.201,-17.532,-23.66,13.201,Czech Republic
Czech Pirate Party,2017,SIP,4.642,3.675,0.193,1,10.797,-21.083,3.36,10.797,Czech Republic
