partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Alternativ,2015,LEF,0.0,0.0,4.848,1,4.796,-29.697,-23.66,4.796,Denmark
Alternativ,2019,LEF,4.765,6.643,9.675,1,2.9530000000000003,-34.946,-23.66,2.9530000000000003,Denmark
Centre Democrats,1973,CON,1.1,1.6,4.3,1,7.2,12.1,11.64,7.2,Denmark
Centre Democrats,1975,CON,2.0,0.0,4.0,1,1.63,14.0,11.64,1.63,Denmark
Centre Democrats,1977,CON,2.3,0.0,2.3,1,5.86,29.7,11.64,5.86,Denmark
Centre Democrats,1979,CON,0.0,0.0,0.0,1,3.221,51.0,11.64,3.221,Denmark
Centre Democrats,1981,CON,0.0,0.0,0.0,1,8.277000000000001,42.1,11.64,8.277000000000001,Denmark
Centre Democrats,1984,CON,4.908,0.0,2.454,1,4.597,34.969,11.64,4.597,Denmark
Centre Democrats,1987,CON,0.0,0.98,0.98,1,4.79,5.8820000000000014,11.64,4.79,Denmark
Centre Democrats,1988,CON,0.962,0.962,1.923,1,4.67,17.308,11.64,4.67,Denmark
Centre Democrats,1990,CON,0.0,0.0,2.5,1,5.11,10.0,11.64,5.11,Denmark
Centre Democrats,1994,CON,0.0,0.513,0.0,1,2.84,2.051,11.64,2.84,Denmark
Centre Democrats,1998,CON,0.935,9.812999999999999,1.869,1,4.31,-14.019,11.64,4.31,Denmark
Centre Democrats,2005,CON,3.125,0.0,0.0,1,1.0,-10.938,11.64,1.0,Denmark
Christian Democrats,2005,CHR,0.0,0.971,0.485,1,1.7,-3.883,6.13,1.7,Denmark
Christian People’s Party,1971,CHR,0.0,0.0,2.0,1,1.979,21.7,6.13,1.979,Denmark
Christian People’s Party,1973,CHR,0.0,0.0,7.3,1,4.047,39.1,6.13,4.047,Denmark
Christian People’s Party,1975,CHR,3.1,0.0,0.0,1,5.336,25.1,6.13,5.336,Denmark
Christian People’s Party,1977,CHR,2.6,0.0,5.3,1,3.415,31.5,6.13,3.415,Denmark
Christian People’s Party,1979,CHR,0.0,1.0,9.2,1,2.59,32.6,6.13,2.59,Denmark
Christian People’s Party,1981,CHR,0.4,1.5,3.7,1,2.311,15.4,6.13,2.311,Denmark
Christian People’s Party,1984,CHR,2.797,5.944,1.399,1,2.725,11.538,6.13,2.725,Denmark
Christian People’s Party,1987,CHR,0.442,8.407,0.0,1,2.369,6.6370000000000005,6.13,2.369,Denmark
Christian People’s Party,1988,CHR,0.0,0.84,15.126,1,2.044,15.126,6.13,2.044,Denmark
Christian People’s Party,1990,CHR,0.0,11.111,0.0,1,2.29,14.815,6.13,2.29,Denmark
Christian People’s Party,1994,CHR,0.0,18.033,0.0,1,1.848,9.836,6.13,1.848,Denmark
Christian People’s Party,1998,CHR,2.469,2.469,9.877,1,2.51,43.21,6.13,2.51,Denmark
Christian People’s Party,2001,CHR,0.0,5.195,2.597,1,2.28,24.675,6.13,2.28,Denmark
Common Course,1987,LEF,0.971,5.825,1.942,1,2.16,-48.544,-23.66,2.16,Denmark
Conservative People’s Party,1945,CON,0.0,0.0,0.8,1,18.236,-0.2,11.64,18.236,Denmark
Conservative People’s Party,1947,CON,0.0,0.0,3.8,1,12.443,19.3,11.64,12.443,Denmark
Conservative People’s Party,1950,CON,0.0,0.0,4.8,1,17.779,38.2,11.64,17.779,Denmark
Conservative People’s Party,1953,CON,1.5,0.0,5.500000000000002,2,34.158,11.05,11.64,17.079,Denmark
Conservative People’s Party,1957,CON,0.0,0.0,0.0,1,16.615,39.0,11.64,16.615,Denmark
Conservative People’s Party,1960,CON,0.0,0.0,5.5,1,17.918,59.3,11.64,17.918,Denmark
Conservative People’s Party,1964,CON,0.0,1.2,3.7,1,20.058,18.4,11.64,20.058,Denmark
Conservative People’s Party,1966,CON,0.0,0.0,0.0,1,18.684,35.7,11.64,18.684,Denmark
Conservative People’s Party,1968,CON,0.0,1.1,4.3,1,20.355,15.0,11.64,20.355,Denmark
Conservative People’s Party,1971,CON,2.9,4.8,0.0,1,16.69,39.1,11.64,16.69,Denmark
Conservative People’s Party,1973,CON,0.0,0.0,9.7,1,9.151,38.7,11.64,9.151,Denmark
Conservative People’s Party,1975,CON,1.4,0.0,0.0,1,5.515,8.4,11.64,5.515,Denmark
Conservative People’s Party,1977,CON,0.0,0.0,1.7,1,8.475,22.1,11.64,8.475,Denmark
Conservative People’s Party,1979,CON,0.0,0.0,0.0,1,12.477,35.9,11.64,12.477,Denmark
Conservative People’s Party,1981,CON,0.0,0.0,0.0,1,14.454,51.7,11.64,14.454,Denmark
Conservative People’s Party,1984,CON,0.0,2.041,4.082,1,23.445,34.694,11.64,23.445,Denmark
Conservative People’s Party,1987,CON,6.18,7.303,0.0,1,20.844,4.494,11.64,20.844,Denmark
Conservative People’s Party,1988,CON,0.0,0.0,0.0,1,19.286,36.0,11.64,19.286,Denmark
Conservative People’s Party,1990,CON,0.0,8.257,1.835,1,15.967,10.092,11.64,15.967,Denmark
Conservative People’s Party,1994,CON,0.0,1.77,0.0,1,15.021,15.929,11.64,15.021,Denmark
Conservative People’s Party,1998,CON,0.0,9.544,0.0,1,8.92,18.672,11.64,8.92,Denmark
Conservative People’s Party,2001,CON,0.0,0.926,0.0,1,9.07,20.37,11.64,9.07,Denmark
Conservative People’s Party,2005,CON,0.0,1.714,0.5710000000000001,1,10.273,9.714,11.64,10.273,Denmark
Conservative People’s Party,2007,CON,0.0,8.264,0.0,1,10.39,-17.355,11.64,10.39,Denmark
Conservative People’s Party,2011,CON,0.0,0.7040000000000001,12.675999999999998,1,4.922,47.887,11.64,4.922,Denmark
Conservative People’s Party,2015,CON,17.143,0.0,0.0,1,3.353,60.0,11.64,3.353,Denmark
Conservative People’s Party,2019,CON,0.514,9.774,4.835,1,6.622000000000001,-7.202000000000001,11.64,6.622000000000001,Denmark
Danish Communist Party,1945,LEF,0.0,0.0,8.6,1,12.455,-21.2,-23.66,12.455,Denmark
Danish Communist Party,1947,LEF,0.0,0.0,12.3,1,6.77,-10.6,-23.66,6.77,Denmark
Danish Communist Party,1950,LEF,0.0,0.0,3.6,1,4.601,-26.9,-23.66,4.601,Denmark
Danish Communist Party,1953,LEF,0.0,0.0,5.3,2,9.109000000000002,-15.527000000000001,-23.66,4.554500000000001,Denmark
Danish Communist Party,1957,LEF,1.0,0.0,6.7,1,3.13,-41.8,-23.66,3.13,Denmark
Danish Communist Party,1960,LEF,0.8,0.0,9.8,1,1.122,-43.2,-23.66,1.122,Denmark
Danish Communist Party,1964,LEF,1.3,0.0,2.6,1,1.231,-24.9,-23.66,1.231,Denmark
Danish Communist Party,1966,LEF,0.0,0.0,3.1,1,0.7709999999999999,-43.7,-23.66,0.7709999999999999,Denmark
Danish Communist Party,1968,LEF,0.0,0.0,0.0,1,1.041,-50.0,-23.66,1.041,Denmark
Danish Communist Party,1971,LEF,0.0,0.0,13.2,1,1.372,-31.7,-23.66,1.372,Denmark
Danish Communist Party,1973,LEF,0.0,2.3,2.3,1,3.626,-30.2,-23.66,3.626,Denmark
Danish Communist Party,1975,LEF,0.0,0.0,7.3,1,4.192,-30.7,-23.66,4.192,Denmark
Danish Communist Party,1977,LEF,0.0,0.0,5.4,1,3.671,-23.4,-23.66,3.671,Denmark
Danish Communist Party,1979,LEF,0.0,0.0,2.6,1,1.857,-51.4,-23.66,1.857,Denmark
Danish Communist Party,1981,LEF,0.0,0.0,0.0,1,1.109,-37.6,-23.66,1.109,Denmark
Danish Communist Party,1984,LEF,0.0,0.0,14.953,1,0.687,-41.121,-23.66,0.687,Denmark
Danish People’s Party,1998,NAT,2.778,2.778,1.389,1,7.41,9.722,10.25,7.41,Denmark
Danish People’s Party,2001,NAT,0.0,0.0,5.0,1,12.0,35.0,10.25,12.0,Denmark
Danish People’s Party,2005,NAT,0.0,10.0,4.0,1,13.253,38.0,10.25,13.253,Denmark
Danish People’s Party,2007,NAT,0.0,17.021,4.255,1,13.86,14.894,10.25,13.86,Denmark
Danish People’s Party,2011,NAT,0.0,2.312,3.179,1,12.303,30.925,10.25,12.303,Denmark
Danish People’s Party,2015,NAT,0.0,0.0,0.0,1,21.078000000000007,18.75,10.25,21.078000000000007,Denmark
Danish People’s Party,2019,NAT,0.0,7.447,7.447,1,8.735,32.979,10.25,8.735,Denmark
Danish Social-Liberal Party,1945,LIB,0.0,0.0,7.8,1,8.152999999999999,-15.7,4.61,8.152999999999999,Denmark
Danish Social-Liberal Party,1947,LIB,0.0,0.0,7.7,1,6.919,-2.5,4.61,6.919,Denmark
Danish Social-Liberal Party,1950,LIB,0.0,0.0,0.0,1,8.176,0.0,4.61,8.176,Denmark
Danish Social-Liberal Party,1953,LIB,0.0,0.0,9.9,2,16.456,-5.300000000000001,4.61,8.228,Denmark
Danish Social-Liberal Party,1957,LIB,0.0,0.0,0.0,1,7.784,0.1,4.61,7.784,Denmark
Danish Social-Liberal Party,1960,LIB,1.5,0.0,3.0,1,5.7970000000000015,-12.0,4.61,5.7970000000000015,Denmark
Danish Social-Liberal Party,1964,LIB,1.1,0.0,5.5,1,5.309,-13.2,4.61,5.309,Denmark
Danish Social-Liberal Party,1966,LIB,0.0,0.0,5.8,1,7.296,-15.4,4.61,7.296,Denmark
Danish Social-Liberal Party,1968,LIB,0.0,1.6,4.8,1,14.969,-12.8,4.61,14.969,Denmark
Danish Social-Liberal Party,1971,LIB,0.0,0.0,2.7,1,14.342,2.7,4.61,14.342,Denmark
Danish Social-Liberal Party,1973,LIB,0.0,4.0,8.0,1,11.238,-12.0,4.61,11.238,Denmark
