partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Coalition Party,1995,AGR,4.545,0.9570000000000001,0.478,1,0.0,5.742000000000001,1.01,0.0,Estonia
Coalition Party,1999,AGR,5.479,1.37,1.37,1,7.632999999999999,6.849,1.01,7.632999999999999,Estonia
Coalition Party and Rural Union,1995,AGR,4.545,0.9570000000000001,0.478,1,32.23,5.742000000000001,1.01,32.23,Estonia
Conservative People's Party of Estonia,2015,NAT,4.27,3.82,1.124,1,8.146,12.809,10.25,8.146,Estonia
Electoral Union Pro Patria and Estonian National Independence Party,1995,CON,3.681,5.521,0.0,1,7.859,9.202,11.64,7.859,Estonia
Electoral Union ‘Estonian Citizen',1992,AGR,4.0,0.0,0.0,1,6.881,44.0,1.01,6.881,Estonia
Electoral Union ‘Independent Royalists',1992,SIP,0.0,0.0,0.0,1,7.122000000000001,62.5,3.36,7.122000000000001,Estonia
Electoral Union ‘Our Home is Estonia',1995,ETH,1.98,0.0,1.98,1,5.874000000000001,-13.861,-9.04,5.874000000000001,Estonia
Electoral Union ‘Popular Front',1992,LIB,0.0,9.028,2.778,1,12.248,0.34700000000000003,4.61,12.248,Estonia
Electoral Union ‘Secure Home',1992,LEF,1.515,0.0,0.0,1,13.602,31.818,-23.66,13.602,Estonia
Electoral coalition Estonian Rural Center Party - Estonian Social Democratic Party,1992,SOC,3.614,7.229,0.0,1,9.728,-10.241,-14.0,9.728,Estonia
Electoral coalition Estonian Rural Center Party - Estonian Social Democratic Party,1995,SOC,2.83,0.472,0.943,1,5.989,-2.83,-14.0,5.989,Estonia
Estonian Center Party,1995,LIB,1.389,0.0,0.0,1,14.173,-15.278,4.61,14.173,Estonia
Estonian Center Party,1999,LIB,2.024,0.405,7.287000000000001,1,23.414,16.194000000000006,4.61,23.414,Estonia
Estonian Center Party,2003,LIB,7.222,6.667000000000002,6.3889999999999985,1,25.403,0.833,4.61,25.403,Estonia
Estonian Center Party,2007,LIB,8.951000000000002,3.5810000000000004,3.069,1,26.08,-29.156,4.61,26.08,Estonia
Estonian Center Party,2011,LIB,5.593,3.132,5.369,1,23.321,-12.975,4.61,23.321,Estonia
