partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Agrarian Union,1945,AGR,1.099,0.0,4.396,1,21.353,3.297,1.01,21.353,Finland
Agrarian Union,1948,AGR,2.326,0.0,10.465,1,24.236,-2.326,1.01,24.236,Finland
Agrarian Union,1951,AGR,2.419,0.0,8.871,1,23.257,2.419,1.01,23.257,Finland
Agrarian Union,1954,AGR,0.0,0.0,7.407,1,24.098000000000006,37.778,1.01,24.098000000000006,Finland
Agrarian Union,1958,AGR,0.0,0.0,2.609,1,23.061,10.435,1.01,23.061,Finland
Agrarian Union,1962,AGR,0.4370000000000001,1.092,6.545,1,22.954,-3.298,1.01,22.954,Finland
Centre Party,1966,AGR,0.873,2.1830000000000003,10.48,1,21.225,-17.031,1.01,21.225,Finland
Centre Party,1970,AGR,0.0,4.425,7.08,1,17.121,-15.929,1.01,17.121,Finland
Centre Party,1972,AGR,0.0,0.0,12.765999999999998,1,16.41,4.255,1.01,16.41,Finland
Centre Party,1975,AGR,0.0,4.878,9.756,1,17.629,-40.244,1.01,17.629,Finland
Centre Party,1979,AGR,2.5,8.333,18.333,1,17.291,-24.167,1.01,17.291,Finland
Centre Party,1983,AGR,0.0,10.204,20.408,1,17.625999999999994,-36.735,1.01,17.625999999999994,Finland
Centre Party,1987,AGR,8.439,8.017000000000001,0.0,1,17.62,-10.549,1.01,17.62,Finland
Christian Democrats in Finland,2003,CHR,0.0,9.375,7.813,1,5.3370000000000015,7.813,6.13,5.3370000000000015,Finland
Christian Democrats in Finland,2007,CHR,0.0,9.353,4.317,1,4.97,-15.108,6.13,4.97,Finland
Christian Democrats in Finland,2011,CHR,0.784,3.292,4.3889999999999985,1,4.03,-16.771,6.13,4.03,Finland
Christian Democrats in Finland,2015,CHR,0.4970000000000001,6.457000000000002,2.152,1,3.542,4.967000000000001,6.13,3.542,Finland
Christian Democrats in Finland,2019,CHR,1.61,10.018,4.114,1,3.898,-9.481,6.13,3.898,Finland
Democratic Alternative,1987,LEF,1.37,8.219,4.566,1,4.242,-42.466,-23.66,4.242,Finland
Finnish Centre,1991,AGR,0.0,11.392,0.0,1,24.825,1.266,1.01,24.825,Finland
Finnish Centre,1995,AGR,0.0,21.951,4.878,1,19.85,26.829,1.01,19.85,Finland
Finnish Centre,1999,AGR,0.0,4.1960000000000015,5.5939999999999985,1,22.399,-1.0490000000000002,1.01,22.399,Finland
