partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
"Centre, Democracy and Progress",1973,CHR,0.0,0.0,4.2,1,3.85,-4.0,6.13,3.85,France
Centrist Alliance,2012,CON,0.0,4.167,1.389,1,0.601,-16.667,11.64,0.601,France
Democratic Centre,1967,CHR,0.0,0.0,0.0,1,14.093,7.3,6.13,14.093,France
Democratic Movement,2007,CON,4.11,4.452,5.822,1,7.612999999999999,-3.767,11.64,7.612999999999999,France
Democratic Movement,2012,CON,3.39,6.295,6.295,1,1.765,-19.613,11.64,1.765,France
Democratic Movement,2017,CON,1.5490000000000002,3.319,7.08,1,4.115,-17.92,11.64,4.115,France
Democratic Union of the Fifth Republic - Gaulists,1967,CON,0.0,0.0,10.8,1,32.953,11.0,11.64,32.953,France
Ecology Generation,1997,ECO,1.626,13.821,4.878,1,2.674,0.0,-13.65,2.674,France
Europe Ecology - The Greens,2012,ECO,3.363,14.071,5.132999999999999,1,5.465,-36.106,-13.65,5.465,France
Europe Ecology - The Greens,2017,ECO,2.273,15.0,6.818000000000001,1,4.297,-8.636000000000001,-13.65,4.297,France
French Communist Party,1946,LEF,0.0,0.0,4.878,1,28.585,18.902,-23.66,28.585,France
French Communist Party,1951,LEF,0.325,0.0,6.818000000000001,1,26.434,0.325,-23.66,26.434,France
French Communist Party,1956,LEF,0.5670000000000001,0.0,4.249,1,25.659,0.85,-23.66,25.659,France
French Communist Party,1958,LEF,2.8,0.0,0.0,1,18.886,-51.4,-23.66,18.886,France
French Communist Party,1962,LEF,2.7,0.7000000000000001,9.4,1,21.875,-35.6,-23.66,21.875,France
French Communist Party,1967,LEF,3.2,1.1,5.3,1,22.506,-50.2,-23.66,22.506,France
French Communist Party,1968,LEF,2.4,1.6,8.700000000000001,1,20.024,-46.1,-23.66,20.024,France
French Communist Party,1973,LEF,2.1,1.2,6.600000000000001,1,21.41,-31.4,-23.66,21.41,France
French Communist Party,1978,LEF,1.6,1.6,8.700000000000001,1,20.612,-39.9,-23.66,20.612,France
French Communist Party,1981,LEF,2.4,1.2,10.7,1,16.125999999999998,-32.3,-23.66,16.125999999999998,France
French Communist Party,1986,LEF,1.7,0.8,12.6,1,9.687999999999999,-26.1,-23.66,9.687999999999999,France
French Communist Party,1988,LEF,1.8,1.8,9.1,1,11.175,-19.8,-23.66,11.175,France
French Communist Party,1993,LEF,1.361,0.0,6.803,1,9.14,-38.095,-23.66,9.14,France
French Communist Party,1997,LEF,1.429,2.857,14.286,1,9.901,-32.857,-23.66,9.901,France
French Communist Party,2002,LEF,0.0,1.25,13.75,1,4.91,-17.5,-23.66,4.91,France
French Communist Party,2007,LEF,5.332999999999998,2.333,8.0,1,4.287,-48.0,-23.66,4.287,France
French Communist Party,2017,LEF,0.0,0.0,8.333,1,2.717,-16.667,-23.66,2.717,France
French Section of the Workers' International,1946,SOC,4.526,0.0,3.879,1,17.872,-14.44,-14.0,17.872,France
French Section of the Workers' International,1951,SOC,0.0,0.0,4.046,1,14.349,-15.607,-14.0,14.349,France
French Section of the Workers' International,1956,SOC,0.8130000000000001,0.0,8.943,1,15.111,-41.057,-14.0,15.111,France
French Section of the Workers' International,1958,SOC,0.0,0.0,0.0,1,15.476,-19.4,-14.0,15.476,France
French Section of the Workers' International,1962,SOC,2.7,0.0,8.0,1,12.432,-49.5,-14.0,12.432,France
French Section of the Workers' International,1967,SOC,2.2,0.0,7.5,1,11.37,-38.0,-14.0,11.37,France
French Section of the Workers' International,1968,SOC,5.100000000000001,0.0,6.8,1,9.86,-42.5,-14.0,9.86,France
Indomitable France,2017,LEF,1.5590000000000002,8.967000000000002,7.018,1,11.025,-30.019,-23.66,11.025,France
Left Front,2012,LEF,6.024,2.276,9.371,1,6.909,-47.925,-23.66,6.909,France
Left Radical Party,2012,LEF,0.0,1.965,7.86,1,1.653,-35.808,-23.66,1.653,France
Left Radical Party,2017,LEF,1.862,2.98,4.842000000000001,1,0.469,-10.056,-23.66,0.469,France
National Centre of Independents and Peasants - Conservatives,1951,CON,1.166,0.0,1.648,1,13.89,27.203000000000007,11.64,13.89,France
National Centre of Independents and Peasants - Conservatives,1956,CON,0.413,0.0,1.653,1,15.159,28.926,11.64,15.159,France
National Centre of Independents and Peasants - Conservatives,1958,CON,0.4,0.0,2.9,1,19.964,19.7,11.64,19.964,France
National Centre of Independents and Peasants - Conservatives,1962,CON,1.3,0.6,4.5,1,11.515,11.4,11.64,11.515,France
National Centre of Independents and Peasants - Conservatives,1967,CON,1.3,0.6,4.5,1,3.26,11.4,11.64,3.26,France
National Centre of Independents and Peasants - Conservatives,1968,CON,1.3,0.6,4.5,1,1.94,11.4,11.64,1.94,France
National Centre of Independents and Peasants - Conservatives,1973,CON,1.3,0.6,4.5,1,3.41,11.4,11.64,3.41,France
National Centre of Independents and Peasants - Conservatives,1978,CON,1.3,0.6,4.5,1,1.87,11.4,11.64,1.87,France
National Front,1986,NAT,1.3430000000000002,1.493,0.746,1,9.828,29.254,10.25,9.828,France
National Front,1988,NAT,0.672,4.746,0.373,1,9.788,39.96,10.25,9.788,France
National Front,1993,NAT,0.672,4.746,0.373,1,12.68,39.96,10.25,12.68,France
National Front,1997,NAT,0.0,8.0,0.0,1,14.932,50.667,10.25,14.932,France
National Front,2002,NAT,4.167,5.449,0.6409999999999999,1,11.12,27.564,10.25,11.12,France
National Front,2007,NAT,2.857,4.6530000000000005,1.143,1,4.289,28.49,10.25,4.289,France
National Front,2012,NAT,1.347,3.704,1.347,1,13.595999999999998,8.081,10.25,13.595999999999998,France
National Front,2017,NAT,3.766,2.092,5.858000000000001,1,13.2,1.6740000000000002,10.25,13.2,France
New Centre,2012,CON,7.778,3.889,12.639,1,2.196,-24.028,11.64,2.196,France
Popular Republican Movement,1946,CHR,0.0,0.0,1.045,1,26.341,48.432,6.13,26.341,France
Popular Republican Movement,1951,CHR,0.685,0.0,2.235,1,12.388,25.928,6.13,12.388,France
Popular Republican Movement,1956,CHR,1.37,0.0,3.425,1,11.011,3.425,6.13,11.011,France
Popular Republican Movement,1958,CHR,5.0,0.0,5.7,1,11.09,-12.5,6.13,11.09,France
Popular Republican Movement,1962,CHR,0.0,0.0,10.0,1,7.875,-6.600000000000001,6.13,7.875,France
Progress and Modern Democracy,1968,CHR,0.0,0.0,4.2,1,10.470999999999998,-4.0,6.13,10.470999999999998,France
Radical Party,2012,LIB,1.0490000000000002,3.846,4.1960000000000015,1,1.237,-22.378,4.61,1.237,France
Radical Socialist Party,1946,LIB,0.0,0.0,2.139,1,12.401,37.433,4.61,12.401,France
Radical Socialist Party,1951,LIB,0.0,0.0,3.07,1,9.868,15.383,4.61,9.868,France
Radical Socialist Party,1956,LIB,0.0,0.0,4.0,1,15.018,-6.667000000000002,4.61,15.018,France
Radical Socialist Party,1958,LIB,0.0,0.0,12.0,1,9.651,8.0,4.61,9.651,France
Radical Socialist Party,1962,LIB,1.5,1.0,0.0,1,7.421,-20.3,4.61,7.421,France
Radical Socialist Party,1967,LIB,2.2,0.0,7.5,1,7.53,-38.0,4.61,7.53,France
Radical Socialist Party,1968,LIB,5.100000000000001,0.0,6.8,1,6.67,-42.5,4.61,6.67,France
Rally for the French People - Gaullists,1946,CON,0.862,0.0,0.862,1,1.628,25.0,11.64,1.628,France
Rally for the French People - Gaullists,1951,CON,0.862,0.0,0.862,1,21.567,25.0,11.64,21.567,France
Rally for the French People - Gaullists,1956,CON,0.8310000000000001,0.0,2.681,1,3.92,20.35,11.64,3.92,France
Rally for the Republic,1993,CON,2.362,3.15,4.724,1,20.24,-4.724,11.64,20.24,France
Rally for the Republic,1997,CON,1.639,3.279,8.197000000000001,1,16.801,3.279,11.64,16.801,France
