partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Centre Union,1974,CHR,0.0,0.0,5.67,1,20.423,-32.99,6.13,20.423,Greece
Coalition of the Radical Left,2004,LEF,1.25,4.375,6.875,1,3.262,-20.625,-23.66,3.262,Greece
Coalition of the Radical Left,2007,LEF,0.0,1.786,3.571,1,5.045,8.929,-23.66,5.045,Greece
Coalition of the Radical Left,2009,LEF,0.0,2.381,7.143,1,4.602,21.429,-23.66,4.602,Greece
Coalition of the Radical Left,2012,LEF,0.741,1.111,3.704,1,16.781,-35.556,-23.66,16.781,Greece
Coalition of the Radical Left,2015,LEF,2.879,4.73,2.431,2,71.80000000000001,-31.978,-23.66,35.900000000000006,Greece
Coalition of the Radical Left - Unionist Social Front,2012,LEF,20.142,9.406,1.952,1,26.887,-25.732,-23.66,26.887,Greece
Communist Party of Greece,1974,LEF,0.0,0.205,5.738,1,5.92,-28.689,-23.66,5.92,Greece
Communist Party of Greece,1977,LEF,0.0,1.22,6.098,1,9.362,-15.244000000000002,-23.66,9.362,Greece
Communist Party of Greece,1981,LEF,0.0,0.0,2.439,1,10.938,-6.098,-23.66,10.938,Greece
Communist Party of Greece,1985,LEF,0.0,1.969,5.47,1,9.89,3.5010000000000003,-23.66,9.89,Greece
Communist Party of Greece,1993,LEF,0.858,0.858,10.3,1,4.54,1.931,-23.66,4.54,Greece
Communist Party of Greece,1996,LEF,0.6,0.0,4.796,1,5.61,-11.031,-23.66,5.61,Greece
Communist Party of Greece,2000,LEF,1.86,0.233,8.14,1,5.53,-34.186,-23.66,5.53,Greece
Communist Party of Greece,2004,LEF,0.862,0.862,1.724,1,5.896,8.621,-23.66,5.896,Greece
Communist Party of Greece,2007,LEF,0.0,0.763,3.053,1,8.154,-53.435,-23.66,8.154,Greece
Communist Party of Greece,2009,LEF,0.0,0.0,0.0,1,7.541,70.58800000000002,-23.66,7.541,Greece
Communist Party of Greece,2012,LEF,0.0,0.0,2.831,2,12.98,17.259,-23.66,6.49,Greece
Communist Party of Greece,2015,LEF,0.0,0.0,3.2260000000000004,2,10.758999999999999,-7.6579999999999995,-23.66,5.379499999999999,Greece
Democratic Left,2012,LEF,6.456,10.505999999999998,5.57,2,12.362,-6.709000000000001,-23.66,6.181,Greece
Democratic Social Movement,1996,SOC,9.891,0.713,8.131,1,4.437,-17.166,-14.0,4.437,Greece
Golden Dawn,2012,NAT,4.302,0.0,7.526,2,13.892,38.172,10.25,6.946,Greece
Golden Dawn,2015,NAT,0.581,1.744,0.0,1,6.136,2.326,10.25,6.136,Greece
Independent Greeks,2012,NAT,0.0,0.0,9.032,2,18.118000000000002,-12.258,10.25,9.059000000000001,Greece
Independent Greeks,2015,NAT,0.0,0.0,7.692,1,4.635,46.154,10.25,4.635,Greece
National Alignment,1977,CON,0.0,0.0,1.754,1,6.823,12.281,11.64,6.823,Greece
New Democracy,1974,CHR,0.0,0.0,2.381,1,54.37300000000001,-3.571,6.13,54.37300000000001,Greece
New Democracy,1977,CHR,0.0,0.0,0.0,1,41.841,32.298,6.13,41.841,Greece
New Democracy,1981,CHR,0.0,1.843,3.2260000000000004,1,35.875,24.424,6.13,35.875,Greece
New Democracy,1985,CHR,0.0,0.0,1.467,1,40.843,3.667,6.13,40.843,Greece
New Democracy,1989,CHR,0.0,0.802,1.07,2,90.46600000000001,35.968,6.13,45.233000000000004,Greece
New Democracy,1990,CHR,0.0,1.604,2.139,1,46.889,29.947,6.13,46.889,Greece
New Democracy,1993,CHR,0.0,2.212,2.212,1,39.295,35.398,6.13,39.295,Greece
New Democracy,1996,CHR,16.753,14.94,0.45,1,38.124,-11.164,6.13,38.124,Greece
New Democracy,2000,CHR,3.977,3.841,2.033,1,42.73,-4.971,6.13,42.73,Greece
New Democracy,2004,CHR,6.495,6.119,0.659,1,45.362,-17.602999999999994,6.13,45.362,Greece
New Democracy,2007,CHR,0.0,9.455,5.609,1,41.835,-12.66,6.13,41.835,Greece
New Democracy,2009,CHR,0.0,18.252,3.221,1,33.477,-16.258,6.13,33.477,Greece
New Democracy,2012,CHR,0.0,0.0,27.272,2,48.507000000000005,22.727,6.13,24.253500000000003,Greece
New Democracy,2015,CHR,1.839,1.439,0.617,2,54.564,4.745,6.13,27.282,Greece
Panhellenic Socialist Movement,1974,SOC,0.0,0.368,13.628,1,13.575,-37.569,-14.0,13.575,Greece
Panhellenic Socialist Movement,1977,SOC,4.253,5.917000000000002,4.771,1,25.343000000000004,-27.182,-14.0,25.343000000000004,Greece
Panhellenic Socialist Movement,1981,SOC,4.313,3.2430000000000003,6.8870000000000005,1,48.074,-27.115,-14.0,48.074,Greece
Panhellenic Socialist Movement,1985,SOC,4.809,3.545,4.285,1,45.824,-28.637,-14.0,45.824,Greece
Panhellenic Socialist Movement,1989,SOC,7.370000000000001,4.556,6.712,2,79.80199999999999,-14.655000000000001,-14.0,39.900999999999996,Greece
Panhellenic Socialist Movement,1990,SOC,5.895,3.305,4.109,1,38.613,-29.701,-14.0,38.613,Greece
Panhellenic Socialist Movement,1993,SOC,6.674,6.569,3.529,1,46.883,-18.763,-14.0,46.883,Greece
Panhellenic Socialist Movement,1996,SOC,10.754,4.023,3.912,1,41.495,-13.795,-14.0,41.495,Greece
Panhellenic Socialist Movement,2000,SOC,8.734,5.937,1.847,1,43.79,-17.23,-14.0,43.79,Greece
Panhellenic Socialist Movement,2004,SOC,7.7189999999999985,6.467000000000001,1.602,1,40.548,-9.467,-14.0,40.548,Greece
Panhellenic Socialist Movement,2007,SOC,2.866,6.494,3.851,1,38.097,-14.644,-14.0,38.097,Greece
Panhellenic Socialist Movement,2009,SOC,4.718,9.667,4.022,1,43.923,-20.727,-14.0,43.923,Greece
Panhellenic Socialist Movement,2012,SOC,0.245,0.0,2.9410000000000003,2,25.459000000000003,6.525499999999999,-14.0,12.729500000000002,Greece
Panhellenic Socialist Movement,2015,SOC,0.242,9.459,3.909,2,10.113,-31.1485,-14.0,5.0565,Greece
Political Spring,1993,CHR,2.217,9.031,0.7390000000000001,1,4.874,-0.985,6.13,4.874,Greece
Political Spring,1996,CHR,2.332,1.4580000000000002,2.915,1,2.944,16.618,6.13,2.944,Greece
Popular Orthodox Rally,2007,NAT,0.0,3.665,4.338,1,3.795,-1.571,10.25,3.795,Greece
Popular Orthodox Rally,2012,NAT,2.8080000000000003,4.212,2.964,1,2.901,7.02,10.25,2.901,Greece
Popular Unity,2015,LEF,1.702,0.426,0.0,1,2.86,-40.426,-23.66,2.86,Greece
Progressive Left Coalition,1989,LEF,2.9210000000000003,7.87,5.977,2,24.094,-11.040000000000001,-23.66,12.047,Greece
Progressive Left Coalition,1990,LEF,2.131,4.688,6.392,1,10.28,-19.318,-23.66,10.28,Greece
Progressive Left Coalition,1996,LEF,0.0,3.704,6.667000000000002,1,5.119,19.259,-23.66,5.119,Greece
Progressive Left Coalition,2000,LEF,2.729,4.386,9.259,1,3.2,-24.951,-23.66,3.2,Greece
The River,2015,SOC,7.856,5.326000000000001,0.932,1,5.9060000000000015,-12.916,-14.0,5.9060000000000015,Greece
Union of Centrists,2015,LIB,0.862,1.525,1.061,1,3.352,-1.393,4.61,3.352,Greece
Union of the Democratic Centre,1977,CHR,1.6669999999999998,0.333,4.0,1,11.946,-16.333,6.13,11.946,Greece
