partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Agrarian Alliance,1990,AGR,0.0,5.1720000000000015,3.448,1,0.0,1.724,1.01,0.0,Hungary
Alliance of Federation of Young Democrats - Christian Democratic People's Party,2018,CON,0.0,0.0,0.448,1,49.274,48.655,11.64,49.274,Hungary
Alliance of Federation of Young Democrats - Hungarian Civic Union - Christian Democratic People's Party,2006,CON,5.184,3.274,4.9110000000000005,1,42.49,-12.278,11.64,42.49,Hungary
Alliance of Federation of Young Democrats - Hungarian Civic Union - Christian Democratic People's Party,2010,CON,1.164,0.5820000000000001,7.662000000000001,1,67.88,-4.462,11.64,67.88,Hungary
Alliance of Federation of Young Democrats - Hungarian Civic Union - Christian Democratic People's Party,2014,CON,0.0,0.0,1.416,1,44.63,35.411,11.64,44.63,Hungary
Alliance of Free Democrats,1990,LIB,0.0,0.0,3.2260000000000004,1,21.396,7.527,4.61,21.396,Hungary
Alliance of Free Democrats,1994,LIB,0.0,0.0,1.754,1,19.738,28.947,4.61,19.738,Hungary
Alliance of Free Democrats,1998,LIB,4.984,3.489,1.153,1,7.71,-2.928,4.61,7.71,Hungary
Alliance of Free Democrats,2002,LIB,5.159,3.53,12.937,1,5.574,0.623,4.61,5.574,Hungary
Alliance of Free Democrats,2006,LIB,5.359,4.728,9.141,1,4.66,9.613999999999999,4.61,4.66,Hungary
Christian Democratic People’s Party,1990,CHR,1.121,1.57,2.466,1,6.46,18.161,6.13,6.46,Hungary
Christian Democratic People’s Party,1994,CHR,0.483,5.556,1.208,1,7.028,-0.725,6.13,7.028,Hungary
Christian Democratic People’s Party,1998,CHR,6.348,3.545,4.617,1,2.339,-4.287,6.13,2.339,Hungary
Democratic Coalition,2014,LEF,4.0280000000000005,3.032,9.225,1,2.742,-6.496,-23.66,2.742,Hungary
Democratic Coalition,2018,LEF,3.704,2.364,7.4860000000000015,1,5.376,-12.648,-23.66,5.376,Hungary
Dialogue for Hungary,2018,LEF,0.596,5.3679999999999986,13.055,1,1.787,-36.05,-23.66,1.787,Hungary
