partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Anti-Austerity Alliance,2016,LEF,0.0,3.084,20.705,1,1.969,-32.159,-23.66,1.969,Ireland
Democratic Left Party,1992,LEF,5.822,7.877000000000002,18.493,1,2.78,-26.712,-23.66,2.78,Ireland
Democratic Left Party,1997,LEF,1.4780000000000002,4.926,23.153,1,2.51,-12.315,-23.66,2.51,Ireland
Family of the Irish,1948,CHR,0.0,0.0,0.0,1,19.827,51.7,6.13,19.827,Ireland
Family of the Irish,1951,CHR,0.0,0.0,1.8,1,25.753,33.9,6.13,25.753,Ireland
Family of the Irish,1954,CHR,0.0,0.0,5.600000000000001,1,31.983,22.2,6.13,31.983,Ireland
Family of the Irish,1957,CHR,0.0,0.0,0.0,1,26.625,78.40000000000002,6.13,26.625,Ireland
Family of the Irish,1961,CHR,1.2,3.4,3.4,1,32.018,9.1,6.13,32.018,Ireland
Family of the Irish,1965,CHR,0.2,0.9,7.3,1,34.081,-7.9,6.13,34.081,Ireland
Family of the Irish,1969,CHR,0.0,0.0,4.8,1,34.099000000000004,-7.3,6.13,34.099000000000004,Ireland
Family of the Irish,1973,CHR,0.0,3.4,13.5,1,35.081,-19.1,6.13,35.081,Ireland
Family of the Irish,1977,CHR,2.8,1.2,0.6,1,30.49,-16.0,6.13,30.49,Ireland
Family of the Irish,1981,CHR,2.5,2.5,9.1,1,36.455,7.4,6.13,36.455,Ireland
Family of the Irish,1982,CHR,0.0,0.613,11.740000000000002,2,76.518,15.1295,6.13,38.259,Ireland
Family of the Irish,1987,CHR,7.5,0.625,2.75,1,27.073,-12.75,6.13,27.073,Ireland
Family of the Irish,1989,CHR,2.403,11.556,1.487,1,29.292,-10.755,6.13,29.292,Ireland
Family of the Irish,1992,CHR,0.5710000000000001,0.0,3.429,1,24.472,9.714,6.13,24.472,Ireland
Family of the Irish,1997,CHR,0.87,6.646,3.639,1,27.945,8.94,6.13,27.945,Ireland
Family of the Irish,2002,CHR,0.0,3.934,7.246,1,22.478,-9.317,6.13,22.478,Ireland
Family of the Irish,2007,CHR,3.5780000000000003,2.576,1.813,1,27.322,-11.26,6.13,27.322,Ireland
Family of the Irish,2011,CHR,3.333,3.067,0.9329999999999999,1,36.104,0.733,6.13,36.104,Ireland
Family of the Irish,2016,CHR,4.909,4.822,3.475,1,25.516,-18.115,6.13,25.516,Ireland
Green Party,1989,ECO,1.99,25.373,8.458,1,1.4980000000000002,-10.945,-13.65,1.4980000000000002,Ireland
Green Party,1992,ECO,1.99,25.373,8.458,1,1.398,-10.945,-13.65,1.398,Ireland
Green Party,1997,ECO,1.271,14.195,7.2029999999999985,1,2.757,-14.195,-13.65,2.757,Ireland
Green Party,2002,ECO,7.572999999999999,7.961,8.932,1,3.847,-30.485,-13.65,3.847,Ireland
Green Party,2007,ECO,2.124,7.11,4.801,1,4.692,-20.129,-13.65,4.692,Ireland
Green Party,2011,ECO,4.174,15.789,3.63,1,1.8,-14.882,-13.65,1.8,Ireland
Green Party,2016,ECO,2.7960000000000003,20.24,4.527,1,2.719,-32.091,-13.65,2.719,Ireland
Independent Alliance,2016,SIP,0.0,0.0,8.219,1,4.212,15.068,3.36,4.212,Ireland
Labour Party,1948,SOC,0.0,0.0,15.0,1,8.695,-19.2,-14.0,8.695,Ireland
Labour Party,1951,SOC,0.0,0.0,3.2,1,11.402,-42.0,-14.0,11.402,Ireland
Labour Party,1954,SOC,0.0,0.0,22.5,1,12.061,-17.5,-14.0,12.061,Ireland
Labour Party,1957,SOC,0.0,0.0,2.8,1,9.107000000000001,-31.9,-14.0,9.107000000000001,Ireland
Labour Party,1961,SOC,0.0,0.0,4.9,1,11.649,-34.4,-14.0,11.649,Ireland
Labour Party,1965,SOC,12.9,12.1,0.0,1,15.380999999999998,-15.8,-14.0,15.380999999999998,Ireland
Labour Party,1969,SOC,0.0,0.0,7.8,1,17.021,-16.6,-14.0,17.021,Ireland
Labour Party,1973,SOC,0.0,3.4,13.5,1,13.673,-19.1,-14.0,13.673,Ireland
Labour Party,1977,SOC,2.8,1.2,0.6,1,11.629,-16.0,-14.0,11.629,Ireland
Labour Party,1981,SOC,1.9,1.9,13.3,1,9.892999999999999,-8.700000000000001,-14.0,9.892999999999999,Ireland
Labour Party,1982,SOC,0.526,0.0,37.532,2,18.484,-30.345,-14.0,9.242,Ireland
Labour Party,1987,SOC,2.062,2.062,18.557,1,6.4460000000000015,-21.306,-14.0,6.4460000000000015,Ireland
Labour Party,1989,SOC,0.0,1.105,16.022000000000002,1,9.475,-29.282,-14.0,9.475,Ireland
Labour Party,1992,SOC,3.329,2.177,10.883,1,19.307,-14.597,-14.0,19.307,Ireland
Labour Party,1997,SOC,2.205,6.103,16.41,1,10.399,-5.949,-14.0,10.399,Ireland
Labour Party,2002,SOC,4.885,6.87,8.015,1,10.772,-22.29,-14.0,10.772,Ireland
