partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Autonomy Liberty Democracy (Aosta Valley),2006,ETH,5.36,4.73,1.65,1,0.0,-17.71,-9.04,0.0,Italy
Autonomy Progress Federalism Aosta Valley,2013,ETH,0.0,9.091000000000001,0.0,1,0.05,-18.182,-9.04,0.05,Italy
Brothers of Italy,2018,CON,7.143,6.593,1.648,1,4.201000000000001,7.692,11.64,4.201000000000001,Italy
Brothers of Italy - National Centre-right,2013,CON,9.761000000000001,7.592000000000001,0.6509999999999999,1,1.958,15.835,11.64,1.958,Italy
Christian Democratic Centre,1996,CHR,0.0,3.704,0.0,1,0.0,35.185,6.13,0.0,Italy
Christian Democrats,1946,CHR,0.0,0.0,8.333,1,35.204,29.167,6.13,35.204,Italy
Christian Democrats,1948,CHR,0.0,0.0,2.381,1,48.503,7.143,6.13,48.503,Italy
Christian Democrats,1953,CHR,1.064,0.0,4.255,1,40.1,-12.765999999999998,6.13,40.1,Italy
Christian Democrats,1958,CHR,0.877,0.0,0.0,1,42.355,-9.649,6.13,42.355,Italy
Christian Democrats,1963,CHR,1.883,0.209,2.092,1,38.186,-5.858000000000001,6.13,38.186,Italy
Christian Democrats,1968,CHR,3.734,0.0,0.0,1,39.012,-10.788,6.13,39.012,Italy
Christian Democrats,1972,CHR,0.0,0.0,0.0,1,38.662,3.571,6.13,38.662,Italy
Christian Democrats,1976,CHR,1.057,0.0,0.634,1,38.71,3.1710000000000003,6.13,38.71,Italy
Christian Democrats,1979,CHR,1.399,0.6990000000000001,0.0,1,38.293,-6.294,6.13,38.293,Italy
Christian Democrats,1983,CHR,0.238,0.476,0.238,1,32.921,-2.619,6.13,32.921,Italy
Christian Democrats,1987,CHR,0.118,7.556,1.889,1,34.304,4.25,6.13,34.304,Italy
Christian Democrats,1992,CHR,5.252999999999999,2.992,1.995,1,29.656,8.777000000000001,6.13,29.656,Italy
Civic Choice,2013,LIB,2.083,4.167,10.119,1,8.305,1.19,4.61,8.305,Italy
Civil Revolution,2013,LEF,8.213000000000001,7.005,10.628,1,2.25,-20.531,-23.66,2.25,Italy
Coalition of South Tyrolean People’s Party and Trentino Tyrolean Autonomist Party,2018,ETH,0.0,0.0,0.0,1,0.396,5.8820000000000014,-9.04,0.396,Italy
Communist Refoundation Party,1992,LEF,3.62,4.072,3.62,1,5.6179999999999986,-26.697,-23.66,5.6179999999999986,Italy
Communist Refoundation Party,1994,LEF,3.9,4.178,5.5710000000000015,1,6.047999999999999,-24.234,-23.66,6.047999999999999,Italy
Communist Refoundation Party,1996,LEF,1.84,2.454,5.521,1,8.576,-26.994,-23.66,8.576,Italy
Communist Refoundation Party,2001,LEF,4.4830000000000005,8.304,5.706,1,5.03,-31.992,-23.66,5.03,Italy
Communist Refoundation Party,2006,LEF,5.36,4.73,1.65,1,5.8439999999999985,-17.71,-23.66,5.8439999999999985,Italy
Daisy - Democracy is Freedom,2001,LIB,5.238,5.004,0.938,1,14.51,-7.584000000000001,4.61,14.51,Italy
Democratic Alliance,1994,CHR,8.621,0.862,0.0,1,1.172,6.034,6.13,1.172,Italy
Democratic Alliance,1996,CHR,0.0,0.0,5.667000000000002,1,5.84,33.667,6.13,5.84,Italy
Democratic Centre,2013,LIB,0.0,0.765,8.418000000000001,1,0.491,24.49,4.61,0.491,Italy
Democratic Party,2008,SOC,0.0,4.04,1.01,1,33.163000000000004,-7.576000000000001,-14.0,33.163000000000004,Italy
Democratic Party,2013,SOC,0.0,0.0,18.627,1,25.423,-6.863,-14.0,25.423,Italy
Democratic Party,2018,SOC,5.3820000000000014,3.198,5.616000000000001,1,18.981,-8.267999999999999,-14.0,18.981,Italy
Democratic Party of the Left,1992,LEF,0.0,0.37,7.778,1,16.108,10.741,-23.66,16.108,Italy
