partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
A. Brazauskas Social Democratic Coalition,2000,SOC,8.234,5.728,5.012,1,31.082,-9.068999999999999,-14.0,31.082,Lithuania
Centre Movement of Lithuania,1992,LIB,2.985,8.209,2.239,1,2.524,6.716,4.61,2.524,Lithuania
Coalition Labour Party and Youth,2008,LIB,15.106,2.417,2.417,1,8.987,-3.323,4.61,8.987,Lithuania
Coalition of Rolandas Paksas ‘For Order and Justice',2004,LIB,3.158,0.0,4.912,1,11.358,-2.807,4.61,11.358,Lithuania
Election Action of Lithuania’s Poles,2000,ETH,5.556,1.587,1.587,1,1.947,-1.587,-9.04,1.947,Lithuania
Election Action of Lithuania’s Poles,2012,ETH,8.777000000000001,7.8370000000000015,4.3889999999999985,1,6.085,5.643,-9.04,6.085,Lithuania
Election Action of Lithuania’s Poles,2016,ETH,8.766,2.273,8.766,1,5.718,-15.26,-9.04,5.718,Lithuania
Homeland Union,1996,CON,2.062,1.649,2.062,1,31.34,16.907,11.64,31.34,Lithuania
Homeland Union,2000,CON,1.994,6.045,1.093,1,8.622,7.653,11.64,8.622,Lithuania
Homeland Union,2004,CON,1.383,0.0,3.953,1,14.754,27.273000000000003,11.64,14.754,Lithuania
Homeland Union - Lithuanian Christian Democrats,2008,CON,6.283,1.307,1.4580000000000002,1,19.715,19.879,11.64,19.715,Lithuania
Homeland Union - Lithuanian Christian Democrats,2012,CON,4.46,4.915,1.278,1,15.745,14.347,11.64,15.745,Lithuania
Homeland Union - Lithuanian Christian Democrats,2016,CON,3.466,3.776,9.392999999999999,1,22.629,4.302,11.64,22.629,Lithuania
Labour Party,2004,LIB,3.158,4.211,0.0,1,28.439,13.684,4.61,28.439,Lithuania
Labour Party,2012,LIB,7.108000000000001,5.8820000000000014,2.819,1,20.694000000000006,-24.02,4.61,20.694000000000006,Lithuania
Labour Party,2016,LIB,8.120000000000001,6.785,1.891,1,4.883,-20.245,4.61,4.883,Lithuania
Liberal Movement,2008,LIB,2.439,2.439,1.22,1,5.73,-0.61,4.61,5.73,Lithuania
Liberal Movement,2012,LIB,6.227,4.029,3.48,1,8.952999999999998,6.777,4.61,8.952999999999998,Lithuania
Liberal Movement,2016,LIB,5.502000000000002,6.044,5.711,1,9.449,6.336,4.61,9.449,Lithuania
Liberal and Centre Union,2004,LIB,4.627,3.342,2.571,1,9.189,5.141,4.61,9.189,Lithuania
Liberal and Centre Union,2008,LIB,9.589,2.511,1.37,1,5.343,5.251,4.61,5.343,Lithuania
Lithuanian Centre Union,1996,LIB,4.066,4.066,1.355,1,8.672,1.6569999999999998,4.61,8.672,Lithuania
Lithuanian Centre Union,2000,LIB,4.301,3.2260000000000004,1.6130000000000002,1,2.857,-8.602,4.61,2.857,Lithuania
Lithuanian Christian Democratic Party,1992,CHR,2.299,3.831,1.916,1,0.0,10.345,6.13,0.0,Lithuania
Lithuanian Christian Democratic Party,1996,CHR,1.806,2.917,1.944,1,10.425999999999998,10.417,6.13,10.425999999999998,Lithuania
Lithuanian Christian Democratic Party,2000,CHR,3.427,7.372999999999998,3.011,1,3.074,6.231,6.13,3.074,Lithuania
