partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
50Plus,2012,SIP,1.456,2.9130000000000003,3.883,1,1.885,-6.311,3.36,1.885,Netherlands
50Plus,2017,SIP,4.04,4.444,7.475000000000001,1,3.111,-31.111,3.36,3.111,Netherlands
Anti-Revolutionary Party,1946,CHR,1.5,0.0,4.5,1,12.901,21.0,6.13,12.901,Netherlands
Anti-Revolutionary Party,1948,CHR,1.4,0.0,4.8,1,13.209,18.5,6.13,13.209,Netherlands
Anti-Revolutionary Party,1952,CHR,1.9,1.2,3.1,1,11.307,15.6,6.13,11.307,Netherlands
Anti-Revolutionary Party,1956,CHR,1.5,2.0,1.5,1,9.908999999999999,8.5,6.13,9.908999999999999,Netherlands
Anti-Revolutionary Party,1959,CHR,2.1,0.0,5.600000000000001,1,9.386000000000001,16.9,6.13,9.386000000000001,Netherlands
Anti-Revolutionary Party,1963,CHR,1.9,0.5,4.7,1,8.721,2.4,6.13,8.721,Netherlands
Anti-Revolutionary Party,1967,CHR,2.8,1.0,6.4,1,9.902000000000001,-5.5,6.13,9.902000000000001,Netherlands
Anti-Revolutionary Party,1971,CHR,3.8,3.2,5.2,1,8.59,-18.1,6.13,8.59,Netherlands
Anti-Revolutionary Party,1972,CHR,5.7,7.9,6.600000000000001,1,8.84,-14.0,6.13,8.84,Netherlands
Catholic People’s Party,1946,CHR,1.3,0.0,7.9,1,30.806,3.9,6.13,30.806,Netherlands
Catholic People’s Party,1948,CHR,0.0,0.0,6.600000000000001,1,31.039,6.5,6.13,31.039,Netherlands
Catholic People’s Party,1952,CHR,1.3,0.6,5.5,1,28.665,19.7,6.13,28.665,Netherlands
Catholic People’s Party,1956,CHR,2.6,0.8,4.2,1,31.693,8.6,6.13,31.693,Netherlands
Catholic People’s Party,1959,CHR,3.9,1.3,2.6,1,31.601,-9.1,6.13,31.601,Netherlands
Catholic People’s Party,1963,CHR,7.0,0.0,6.100000000000001,1,31.882,-13.3,6.13,31.882,Netherlands
Catholic People’s Party,1967,CHR,4.5,0.6,3.2,1,26.503,7.2,6.13,26.503,Netherlands
Catholic People’s Party,1971,CHR,3.8,2.2,4.600000000000001,1,21.837,-26.2,6.13,21.837,Netherlands
Catholic People’s Party,1972,CHR,5.7,7.9,6.600000000000001,1,17.655,-14.0,6.13,17.655,Netherlands
Centre Democrats,1989,NAT,0.0,7.612,0.0,1,0.918,3.114,10.25,0.918,Netherlands
Centre Democrats,1994,NAT,0.773,7.216,0.258,1,2.5,12.629,10.25,2.5,Netherlands
Centre Party,1982,NAT,5.102,8.163,5.102,1,0.8310000000000001,-4.847,10.25,0.8310000000000001,Netherlands
Christian Democratic Appeal,1977,CHR,2.6,5.8,3.3,1,31.887,-11.6,6.13,31.887,Netherlands
Christian Democratic Appeal,1981,CHR,3.1,5.100000000000001,4.0,1,30.806,-19.3,6.13,30.806,Netherlands
Christian Democratic Appeal,1982,CHR,2.2,7.100000000000001,5.4,1,29.387,-11.7,6.13,29.387,Netherlands
Christian Democratic Appeal,1986,CHR,5.600000000000001,6.9,3.3,1,34.593,-4.0,6.13,34.593,Netherlands
Christian Democratic Appeal,1989,CHR,3.0,12.2,3.0,1,35.313,-8.800000000000002,6.13,35.313,Netherlands
Christian Democratic Appeal,1994,CHR,0.7979999999999999,8.728,2.544,1,22.217,-2.594,6.13,22.217,Netherlands
Christian Democratic Appeal,1998,CHR,2.761,6.854,3.797,1,18.37,-1.6269999999999998,6.13,18.37,Netherlands
Christian Democratic Appeal,2002,CHR,1.887,3.628,1.742,1,27.93,2.467,6.13,27.93,Netherlands
Christian Democratic Appeal,2003,CHR,1.887,3.628,1.742,1,28.65,2.467,6.13,28.65,Netherlands
Christian Democratic Appeal,2006,CHR,2.8760000000000003,2.247,1.843,1,26.513,4.0,6.13,26.513,Netherlands
Christian Democratic Appeal,2010,CHR,2.745,3.729,6.0070000000000014,1,13.62,9.581,6.13,13.62,Netherlands
Christian Democratic Appeal,2012,CHR,0.923,1.594,3.3560000000000003,1,8.506,17.701,6.13,8.506,Netherlands
Christian Democratic Appeal,2017,CHR,2.4730000000000003,0.7070000000000001,2.191,1,12.379,3.604,6.13,12.379,Netherlands
Christian Historical Union,1946,CHR,0.0,0.0,3.2,1,7.84,22.1,6.13,7.84,Netherlands
Christian Historical Union,1948,CHR,0.0,0.0,2.9,1,9.187999999999999,20.6,6.13,9.187999999999999,Netherlands
Christian Historical Union,1952,CHR,0.0,0.0,4.15,1,8.925000000000002,23.75,6.13,8.925000000000002,Netherlands
Christian Historical Union,1956,CHR,0.0,0.0,5.4,1,8.431000000000001,26.9,6.13,8.431000000000001,Netherlands
Christian Historical Union,1959,CHR,1.6,0.0,4.7,1,8.107999999999999,14.0,6.13,8.107999999999999,Netherlands
Christian Historical Union,1963,CHR,6.8,0.0,9.1,1,8.577,-2.4,6.13,8.577,Netherlands
Christian Historical Union,1967,CHR,3.2,0.8,4.0,1,8.142000000000001,10.4,6.13,8.142000000000001,Netherlands
Christian Historical Union,1971,CHR,6.100000000000001,3.1,2.4,1,6.317,-21.4,6.13,6.317,Netherlands
Christian Historical Union,1972,CHR,5.7,7.9,6.600000000000001,1,4.794,-14.0,6.13,4.794,Netherlands
Christian Union,2002,CHR,2.263,6.899,2.3,1,2.54,10.571,6.13,2.54,Netherlands
Christian Union,2003,CHR,0.306,5.81,3.67,1,2.13,32.416,6.13,2.13,Netherlands
Christian Union,2006,CHR,1.19,7.933,2.33,1,3.974,8.825000000000003,6.13,3.974,Netherlands
Christian Union,2010,CHR,1.356,5.755,4.435,1,3.248,18.878,6.13,3.248,Netherlands
Christian Union,2012,CHR,1.072,5.619,2.255,1,3.1260000000000003,10.203,6.13,3.1260000000000003,Netherlands
Christian Union,2017,CHR,2.548,5.095,3.992,1,3.388,5.475000000000001,6.13,3.388,Netherlands
Communist Party of the Netherlands,1946,LEF,4.0,0.8,4.0,1,10.6,-34.4,-23.66,10.6,Netherlands
Communist Party of the Netherlands,1948,LEF,3.947,0.0,13.158,1,7.744,-31.579,-23.66,7.744,Netherlands
Communist Party of the Netherlands,1982,LEF,3.261,5.652,21.522,1,1.794,-24.783,-23.66,1.794,Netherlands
DENK,2017,SOC,0.0,1.487,9.382,1,2.055,-24.828000000000007,-14.0,2.055,Netherlands
Democratic Socialists‘70,1971,CHR,5.100000000000001,7.100000000000001,7.7,1,5.329,-12.9,6.13,5.329,Netherlands
Democratic Socialists‘70,1972,CHR,4.8,5.600000000000001,3.1,1,4.121,-12.9,6.13,4.121,Netherlands
Democratic Socialists‘70,1977,CHR,4.4,9.2,4.0,1,0.715,-13.6,6.13,0.715,Netherlands
Democrats‘66,1967,LIB,1.9,3.4,10.7,1,4.475000000000001,-18.3,4.61,4.475000000000001,Netherlands
Democrats‘66,1971,LIB,3.5,12.4,4.3,1,6.775,-21.3,4.61,6.775,Netherlands
Democrats‘66,1972,LIB,3.1,9.2,9.3,1,4.1530000000000005,-44.5,4.61,4.1530000000000005,Netherlands
Democrats‘66,1977,LIB,0.0,7.100000000000001,5.0,1,5.439,-26.6,4.61,5.439,Netherlands
Democrats‘66,1981,LIB,5.100000000000001,8.3,5.600000000000001,1,11.059,-22.1,4.61,11.059,Netherlands
Democrats‘66,1982,LIB,4.5,6.9,7.4,1,4.265,-12.6,4.61,4.265,Netherlands
Democrats‘66,1986,LIB,3.9,9.8,5.0,1,6.1320000000000014,-4.5,4.61,6.1320000000000014,Netherlands
Democrats‘66,1989,LIB,4.1,14.4,4.0,1,7.887,-7.5,4.61,7.887,Netherlands
Democrats‘66,1994,LIB,1.898,9.318,3.192,1,15.49,-8.24,4.61,15.49,Netherlands
Democrats‘66,1998,LIB,6.439,8.227,2.7030000000000003,1,8.99,-17.766,4.61,8.99,Netherlands
Democrats‘66,2002,LIB,3.028,7.9060000000000015,1.262,1,5.100000000000001,-8.831,4.61,5.100000000000001,Netherlands
Democrats‘66,2003,LIB,1.918,3.597,1.679,1,4.08,8.392999999999999,4.61,4.08,Netherlands
Democrats‘66,2006,LIB,2.387,5.57,4.31,1,1.964,-1.3259999999999998,4.61,1.964,Netherlands
Democrats‘66,2010,LIB,4.691,4.381,5.5539999999999985,1,6.943000000000001,2.863,4.61,6.943000000000001,Netherlands
Democrats‘66,2012,LIB,2.696,3.784,2.229,1,8.033,-0.778,4.61,8.033,Netherlands
Democrats‘66,2017,LIB,2.9410000000000003,5.41,6.276,1,12.227,-6.539,4.61,12.227,Netherlands
Forum for Democracy,2017,NAT,0.588,1.176,0.0,1,1.78,16.471,10.25,1.78,Netherlands
Freedom Party,1946,LIB,5.600000000000001,0.0,9.7,1,6.4129999999999985,19.5,4.61,6.4129999999999985,Netherlands
General Elderly Alliance,1994,SIP,1.064,4.894,7.553,1,3.6,0.851,3.36,3.6,Netherlands
Green Left,1989,ECO,3.4,8.700000000000001,6.100000000000001,1,4.074,-15.0,-13.65,4.074,Netherlands
Green Left,1994,ECO,1.5119999999999998,7.797999999999999,2.883,1,3.467,-15.69,-13.65,3.467,Netherlands
Green Left,1998,ECO,1.875,10.31,13.265999999999998,1,7.27,-22.783,-13.65,7.27,Netherlands
Green Left,2002,ECO,2.573,10.455,2.012,1,6.95,-9.136000000000001,-13.65,6.95,Netherlands
Green Left,2003,ECO,0.177,6.537000000000001,6.184,1,5.13,19.965,-13.65,5.13,Netherlands
Green Left,2006,ECO,2.537,9.274,6.649,1,4.605,-12.423,-13.65,4.605,Netherlands
Green Left,2010,ECO,0.642,7.322,14.836,1,6.67,1.606,-13.65,6.67,Netherlands
Green Left,2012,ECO,1.785,10.311,7.204,1,2.333,-9.584,-13.65,2.333,Netherlands
Green Left,2017,ECO,2.822,7.584000000000001,9.877,1,9.125,-9.347,-13.65,9.125,Netherlands
Labour Party,1946,SOC,6.2,2.5,3.7,1,28.314,-19.8,-14.0,28.314,Netherlands
Labour Party,1948,SOC,2.8,1.7,5.5,1,25.604,-14.8,-14.0,25.604,Netherlands
Labour Party,1952,SOC,5.100000000000001,0.0,10.2,1,28.972,-22.6,-14.0,28.972,Netherlands
Labour Party,1956,SOC,3.8,1.0,7.0,1,32.687,-21.0,-14.0,32.687,Netherlands
Labour Party,1959,SOC,4.1,0.0,2.7,1,30.357,-28.2,-14.0,30.357,Netherlands
Labour Party,1963,SOC,3.4,0.6,8.4,1,28.011,-30.6,-14.0,28.011,Netherlands
Labour Party,1967,SOC,2.6,2.6,12.3,1,23.555,-24.6,-14.0,23.555,Netherlands
Labour Party,1971,SOC,5.3,4.1,7.8,1,24.6,-39.7,-14.0,24.6,Netherlands
Labour Party,1972,SOC,3.1,9.2,9.3,1,27.339,-44.5,-14.0,27.339,Netherlands
Labour Party,1977,SOC,2.2,6.100000000000001,11.5,1,33.829,-45.6,-14.0,33.829,Netherlands
Labour Party,1981,SOC,3.4,5.100000000000001,7.100000000000001,1,28.288,-28.6,-14.0,28.288,Netherlands
Labour Party,1982,SOC,2.6,2.4,13.2,1,30.395,-20.7,-14.0,30.395,Netherlands
Labour Party,1986,SOC,3.7,7.5,6.9,1,33.271,-20.2,-14.0,33.271,Netherlands
