partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Catholic Electoral Action,1991,CHR,1.389,2.778,0.0,1,8.246,38.889,6.13,8.246,Poland
Centre Citizens’ Alliance,1991,CHR,2.778,0.0,7.222,1,8.221,0.0,6.13,8.221,Poland
Christian Democratic Labour Party,1991,CHR,0.0,0.0,0.0,1,2.231,12.903,6.13,2.231,Poland
Civic Platform,2001,LIB,0.0,0.0,1.711,1,12.683,-10.575,4.61,12.683,Poland
Civic Platform,2005,LIB,0.0,0.0,6.205,1,24.137,1.01,4.61,24.137,Poland
Civic Platform,2007,LIB,9.969,0.545,1.09,1,41.512,5.997000000000001,4.61,41.512,Poland
Civic Platform,2011,LIB,5.412000000000001,3.247,0.833,1,39.179,-4.413,4.61,39.179,Poland
Civic Platform,2015,LIB,2.552,0.547,2.461,1,24.088,-13.309,4.61,24.088,Poland
Coalion of the Democratic Left Alliance and the Union of Labour,2001,SOC,5.819,1.509,5.388,1,41.04,-4.31,-14.0,41.04,Poland
Confederation for an Independent Poland,1991,NAT,0.0,0.0,0.0,1,7.081,23.864,10.25,7.081,Poland
Confederation for an Independent Poland,1993,NAT,2.326,0.0,4.651,1,5.766,0.0,10.25,5.766,Poland
Democratic Left Alliance,1991,SOC,0.8440000000000001,0.8440000000000001,4.641,1,11.312,-3.3760000000000003,-14.0,11.312,Poland
Democratic Left Alliance,1993,SOC,1.053,0.0,5.263,1,20.405,-10.526,-14.0,20.405,Poland
Democratic Left Alliance,1997,SOC,0.735,0.735,0.735,1,27.133000000000006,9.191,-14.0,27.133000000000006,Poland
Democratic Left Alliance,2005,SOC,0.0,1.176,10.0,1,11.311,-0.588,-14.0,11.311,Poland
Democratic Left Alliance,2011,SOC,7.171,3.936,5.339,1,8.242,-0.8959999999999999,-14.0,8.242,Poland
Democratic Party,1991,SOC,5.806,0.645,0.645,1,0.0,-14.194,-14.0,0.0,Poland
Democratic Union,1991,SOC,1.519,3.0380000000000003,1.013,1,11.626,20.506,-14.0,11.626,Poland
Democratic Union,1993,SOC,1.852,7.407,0.0,1,10.59,9.259,-14.0,10.59,Poland
Electoral Action ‘Solidarity',1997,CHR,4.255,0.532,3.723,1,33.827,17.021,6.13,33.827,Poland
Freedom Union,1997,LIB,4.643,3.317,0.166,1,13.367,-1.99,4.61,13.367,Poland
German Minority,1991,ETH,0.0,3.636,0.0,1,1.111,2.727,-9.04,1.111,Poland
German Minority,1993,ETH,0.0,0.0,0.0,1,0.44,-10.811,-9.04,0.44,Poland
German Minority,1997,ETH,0.0,4.082,0.0,1,0.39,2.041,-9.04,0.39,Poland
German Minority,2001,ETH,4.0,0.0,0.0,1,0.363,0.0,-9.04,0.363,Poland
German Minority,2005,ETH,4.0,0.0,0.0,1,0.292,0.0,-9.04,0.292,Poland
German Minority,2007,ETH,6.818000000000001,0.0,0.0,1,0.201,5.682,-9.04,0.201,Poland
German Minority,2011,ETH,0.0,0.0,6.667000000000002,1,0.195,-20.0,-9.04,0.195,Poland
German Minority,2015,ETH,1.835,0.917,4.587,1,0.181,-2.752,-9.04,0.181,Poland
Independent Self-governing Trade Union ‘Solidarity’,1991,SOC,0.8130000000000001,0.8130000000000001,4.878,1,4.766,-26.016,-14.0,4.766,Poland
Kukiz'15,2015,NAT,0.0,0.0,2.649,1,8.809000000000003,-1.766,10.25,8.809000000000003,Poland
Labour Solidarity,1991,SOC,1.097,1.646,2.195,1,1.943,3.292,-14.0,1.943,Poland
Law and Justice,2001,CON,4.526,1.606,1.168,1,9.501,4.672,11.64,9.501,Poland
Law and Justice,2005,CON,15.015999999999998,0.0,3.514,1,26.987,-1.597,11.64,26.987,Poland
Law and Justice,2007,CON,3.345,0.231,1.038,1,32.111,9.804,11.64,32.111,Poland
