partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Association of Independent Social Democrats,1980,SOC,6.509,1.775,1.183,1,1.55,4.734,-14.0,1.55,Portugal
Democratic Intervention,1987,SOC,3.125,0.0,5.207999999999998,1,0.804,32.292,-14.0,0.804,Portugal
Democratic Renewal Party,1985,SOC,1.786,0.0,7.143,1,18.526,17.857,-14.0,18.526,Portugal
Democratic Renewal Party,1987,SOC,1.786,0.0,7.143,1,5.046,17.857,-14.0,5.046,Portugal
Ecologist Party ‘The Greens',1983,ECO,6.25,46.875,6.25,1,0.42,15.625,-13.65,0.42,Portugal
Ecologist Party ‘The Greens',1985,ECO,3.125,34.549,3.125,1,0.42,30.961,-13.65,0.42,Portugal
Ecologist Party ‘The Greens',1987,ECO,0.0,22.222,0.0,1,0.402,46.29600000000001,-13.65,0.402,Portugal
Ecologist Party ‘The Greens',2002,ECO,0.0,53.488,10.078,1,1.167,9.302,-13.65,1.167,Portugal
Ecologist Party ‘The Greens',2005,ECO,0.0,43.04600000000001,5.96,1,1.086,-27.815,-13.65,1.086,Portugal
Ecologist Party ‘The Greens',2009,ECO,0.0,33.33,8.33,1,1.089,-25.0,-13.65,1.089,Portugal
Ecologist Party ‘The Greens',2011,ECO,0.0,11.811,9.449,1,1.029,-14.173,-13.65,1.029,Portugal
Ecologist Party ‘The Greens',2015,ECO,3.971,16.968,7.22,1,1.008,-14.079,-13.65,1.008,Portugal
Ecologist Party ‘The Greens',2019,ECO,0.474,23.697,7.109,1,1.057,-31.28,-13.65,1.057,Portugal
Enough,2019,NAT,2.077,2.374,0.7909999999999999,1,1.358,47.87300000000001,10.25,1.358,Portugal
Free,2019,ECO,2.571,16.095,9.524,1,1.144,-24.095,-13.65,1.144,Portugal
Left Bloc,1999,LEF,3.646,5.4689999999999985,15.365,1,2.481,-27.604,-23.66,2.481,Portugal
Left Bloc,2002,LEF,0.0,0.621,8.82,1,2.795,-20.248,-23.66,2.795,Portugal
Left Bloc,2005,LEF,3.689,6.967000000000001,12.602,1,6.542000000000002,-28.637,-23.66,6.542000000000002,Portugal
Left Bloc,2009,LEF,2.96,9.84,6.44,1,10.134,-28.66,-23.66,10.134,Portugal
Left Bloc,2011,LEF,2.602,4.25,5.551,1,5.393,-35.82,-23.66,5.393,Portugal
Left Bloc,2015,LEF,4.809,8.439,6.987,1,10.581,-26.679,-23.66,10.581,Portugal
Left Bloc,2019,LEF,2.967,3.904,14.055,1,10.009,-34.513000000000005,-23.66,10.009,Portugal
Leftwing Union for the Socialist Democracy,1980,SOC,6.509,1.775,1.183,1,1.55,4.734,-14.0,1.55,Portugal
Liberal Iniciative,2019,LIB,0.253,1.154,1.515,1,1.355,13.853,4.61,1.355,Portugal
National Solidarity Party,1991,SIP,5.525,7.735,4.42,1,1.706,-1.105,3.36,1.706,Portugal
People-Animals-Nature,2015,ECO,1.58,33.791,4.121,1,1.443,-19.368,-13.65,1.443,Portugal
People-Animals-Nature,2019,ECO,3.204,21.586,8.981,1,3.4930000000000003,-25.473000000000006,-13.65,3.4930000000000003,Portugal
Popular Democratic Movement,1975,SOC,3.03,0.0,1.515,1,4.43,-37.879,-14.0,4.43,Portugal
Popular Democratic Movement,1979,SOC,4.098,0.0,3.279,1,1.25,6.557,-14.0,1.25,Portugal
Popular Democratic Movement,1980,SOC,1.083,0.361,0.0,1,0.85,38.267,-14.0,0.85,Portugal
