partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
Amaiur,2011,SIP,0.0,0.0,8.621,1,1.39,-17.241,3.36,1.39,Spain
Andalusian Party,1977,ETH,0.879,3.516,1.758,1,0.01,-22.418000000000006,-9.04,0.01,Spain
Andalusian Party,1979,ETH,0.879,3.516,1.758,1,1.81,-22.418000000000006,-9.04,1.81,Spain
Andalusian Party,1989,ETH,0.879,3.516,1.758,1,1.05,-22.418000000000006,-9.04,1.05,Spain
Andalusian Party,1993,ETH,0.879,3.516,1.758,1,0.412,-22.418000000000006,-9.04,0.412,Spain
Andalusian Party,2000,ETH,4.77,4.69,2.01,1,0.89,-17.56,-9.04,0.89,Spain
Andalusian Party,2004,ETH,8.529,5.707999999999998,2.854,1,0.7000000000000001,-12.063,-9.04,0.7000000000000001,Spain
Aragonese Party,1993,ETH,3.287,1.817,1.557,1,0.62,-14.879,-9.04,0.62,Spain
Aragonese Party,2000,ETH,3.287,1.817,1.557,1,0.33,-14.879,-9.04,0.33,Spain
Aragonese Regionalist Party,1977,ETH,3.287,1.817,1.557,1,0.21,-14.879,-9.04,0.21,Spain
Aragonese Regionalist Party,1979,ETH,3.287,1.817,1.557,1,0.33,-14.879,-9.04,0.33,Spain
Aragonese Regionalist Party,1986,ETH,3.287,1.817,1.557,1,0.36,-14.879,-9.04,0.36,Spain
Aragonese Regionalist Party,1989,ETH,3.287,1.817,1.557,1,0.35200000000000004,-14.879,-9.04,0.35200000000000004,Spain
Aragonist Council,2004,ETH,5.777,9.754,2.557,1,0.364,-17.614,-9.04,0.364,Spain
Aragonist Council,2008,ETH,2.9610000000000003,16.173,3.872,1,0.14800000000000002,-13.781,-9.04,0.14800000000000002,Spain
Basque Country Unite,2015,ETH,0.0,0.877,6.1400000000000015,1,0.8690000000000001,0.877,-9.04,0.8690000000000001,Spain
Basque Country Unite,2016,ETH,0.0,0.862,4.31,1,0.768,10.345,-9.04,0.768,Spain
Basque Country Unite,2019,ETH,0.0,2.469,39.753,2,2.1550000000000002,-19.901,-9.04,1.0775000000000001,Spain
Basque Left,1977,ETH,0.0,4.961,2.872,1,0.34,-23.499,-9.04,0.34,Spain
Basque Left,1979,ETH,0.0,4.961,2.872,1,0.48,-23.499,-9.04,0.48,Spain
Basque Left,1982,ETH,0.0,4.961,2.872,1,0.48,-23.499,-9.04,0.48,Spain
Basque Left,1986,ETH,0.0,4.961,2.872,1,0.5329999999999999,-23.499,-9.04,0.5329999999999999,Spain
Basque Left,1989,ETH,0.0,4.961,2.872,1,0.52,-23.499,-9.04,0.52,Spain
Basque Nationalist Party,1977,ETH,1.19,2.381,2.381,1,1.703,-20.238,-9.04,1.703,Spain
