yearIndex,partyname,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
1944,Agrarian Party,AGR,0.0,0.0,0.0,1,13.6,23.81,1.01,13.6,Sweden
1944,Communist Party of Sweden,LEF,0.0,0.0,0.0,1,10.3,9.6,-23.66,10.3,Sweden
1944,People’s Party,LIB,0.0,0.0,1.6,1,12.9,9.5,4.61,12.9,Sweden
1944,Right Party,CON,0.0,0.0,5.3,1,15.8,28.0,11.64,15.8,Sweden
1944,Social Democratic Labour Party,SOC,0.0,0.0,5.600000000000001,1,46.5,-37.8,-14.0,46.5,Sweden
1948,Agrarian Party,AGR,0.0,0.0,2.1,1,12.385,-4.9,1.01,12.385,Sweden
1948,Communist Party of Sweden,LEF,0.0,0.0,6.0,1,6.312,-44.0,-23.66,6.312,Sweden
1948,People’s Party,LIB,0.0,0.0,5.8,1,22.749,22.9,4.61,22.749,Sweden
1948,Right Party,CON,0.0,0.0,0.0,1,12.343,56.3,11.64,12.343,Sweden
1948,Social Democratic Labour Party,SOC,3.3,0.0,2.5,1,46.132,-33.4,-14.0,46.132,Sweden
1952,Agrarian Party,AGR,1.3,1.3,4.1,1,10.735,1.2,1.01,10.735,Sweden
1952,Communist Party of Sweden,LEF,0.0,0.0,1.1,1,4.34,-40.7,-23.66,4.34,Sweden
1952,People’s Party,LIB,0.0,0.0,4.7,1,24.442,16.1,4.61,24.442,Sweden
1952,Right Party,CON,0.0,0.0,0.0,1,14.373,40.9,11.64,14.373,Sweden
1952,Social Democratic Labour Party,SOC,1.7,0.0,3.3,1,46.047,-28.3,-14.0,46.047,Sweden
1956,Agrarian Party,AGR,0.9,0.9,1.8,1,9.45,1.8,1.01,9.45,Sweden
1956,Communist Party of Sweden,LEF,1.7,0.0,10.9,1,5.001,-46.2,-23.66,5.001,Sweden
1956,People’s Party,LIB,0.0,0.7000000000000001,3.4,1,23.807,-17.3,4.61,23.807,Sweden
1956,Right Party,CON,0.0,0.0,0.0,1,17.108,53.7,11.64,17.108,Sweden
1956,Social Democratic Labour Party,SOC,3.5,0.0,2.9,1,44.581,-44.2,-14.0,44.581,Sweden
1958,Centre Party,AGR,1.6,0.0,1.6,1,12.662,11.9,1.01,12.662,Sweden
1958,Communist Party of Sweden,LEF,14.5,1.9,4.0,1,3.364,-41.7,-23.66,3.364,Sweden
1958,People’s Party,LIB,0.0,0.0,0.0,1,18.209,21.6,4.61,18.209,Sweden
1958,Right Party,CON,0.0,0.0,0.0,1,19.518,56.1,11.64,19.518,Sweden
1958,Social Democratic Labour Party,SOC,0.0,0.0,3.2,1,46.216,-24.7,-14.0,46.216,Sweden
1960,Centre Party,AGR,1.9,0.0,1.2,1,13.611,6.0,1.01,13.611,Sweden
1960,Communist Party of Sweden,LEF,0.0,0.0,2.4,1,4.479,-40.5,-23.66,4.479,Sweden
1960,People’s Party,LIB,0.0,0.0,6.5,1,17.492,8.6,4.61,17.492,Sweden
1960,Right Party,CON,0.0,0.0,1.1,1,16.557000000000002,34.8,11.64,16.557000000000002,Sweden
1960,Social Democratic Labour Party,SOC,0.3,0.0,2.3,1,47.789,-61.4,-14.0,47.789,Sweden
1964,Centre Party,AGR,3.404,4.681,0.851,1,13.181,-14.043,1.01,13.181,Sweden
1964,Communist Party of Sweden,LEF,0.0,0.0,0.0,1,5.223,-50.0,-23.66,5.223,Sweden
1964,People’s Party,LIB,5.3,0.0,10.6,1,16.975,-48.9,4.61,16.975,Sweden
1964,Right Party,CON,0.0,0.0,0.0,1,13.722,60.4,11.64,13.722,Sweden
1964,Social Democratic Labour Party,SOC,0.3,0.0,7.2,1,47.269,-33.6,-14.0,47.269,Sweden
1968,Centre Party,AGR,1.9,4.2,5.600000000000001,1,15.679,-11.6,1.01,15.679,Sweden
1968,Left Communists Party,LEF,0.0,1.5,12.1,1,3.006,-46.9,-23.66,3.006,Sweden
1968,People’s Party,LIB,0.0,0.0,1.0,1,14.255999999999998,-59.9,4.61,14.255999999999998,Sweden
1968,Right Party,CON,0.0,0.0,2.9,1,12.859000000000002,25.8,11.64,12.859000000000002,Sweden
1968,Social Democratic Labour Party,SOC,0.0,5.4,12.5,1,50.11600000000001,-42.9,-14.0,50.11600000000001,Sweden
1970,Centre Party,AGR,0.0,5.2,6.3,1,19.919,-14.6,1.01,19.919,Sweden
1970,Left Communists Party,LEF,2.6,11.5,12.8,1,4.756,-40.9,-23.66,4.756,Sweden
1970,Moderate Coalition Party,CON,0.0,2.1,6.4,1,11.531,10.8,11.64,11.531,Sweden
1970,People’s Party,LIB,0.0,8.9,8.9,1,16.211,-33.5,4.61,16.211,Sweden
1970,Social Democratic Labour Party,SOC,0.5,7.100000000000001,16.8,1,45.343,-41.2,-14.0,45.343,Sweden
1973,Centre Party,AGR,0.6,6.9,5.2,1,25.101,-24.0,1.01,25.101,Sweden
1973,Left Communists Party,LEF,0.0,9.9,2.5,1,5.3279999999999985,-43.0,-23.66,5.3279999999999985,Sweden
1973,Moderate Coalition Party,CON,0.0,6.600000000000001,10.5,1,14.294,19.7,11.64,14.294,Sweden
1973,People’s Party,LIB,0.0,12.1,6.0,1,9.419,-11.5,4.61,9.419,Sweden
1973,Social Democratic Labour Party,SOC,0.0,0.0,10.3,1,43.559,-7.7,-14.0,43.559,Sweden
1976,Centre Party,AGR,0.7000000000000001,17.2,5.100000000000001,1,24.085,-18.2,1.01,24.085,Sweden
1976,Left Communists Party,LEF,1.6,11.9,10.8,1,4.753,-38.3,-23.66,4.753,Sweden
1976,Moderate Coalition Party,CON,4.9,1.0,2.9,1,15.589,2.2,11.64,15.589,Sweden
1976,People’s Party,LIB,4.2,11.2,3.5,1,11.063,-2.1,4.61,11.063,Sweden
1976,Social Democratic Labour Party,SOC,0.0,4.3,5.7,1,42.749,-11.5,-14.0,42.749,Sweden
1979,Centre Party,AGR,3.2,14.3,4.600000000000001,1,18.07,-8.1,1.01,18.07,Sweden
1979,Left Communists Party,LEF,0.8,7.4,14.4,1,5.605,-47.3,-23.66,5.605,Sweden
1979,Moderate Coalition Party,CON,4.8,12.7,4.8,1,20.343,23.1,11.64,20.343,Sweden
1979,People’s Party,LIB,0.9,12.5,7.600000000000001,1,10.591,-15.2,4.61,10.591,Sweden
1979,Social Democratic Labour Party,SOC,0.0,7.3,7.3,1,43.244,-15.3,-14.0,43.244,Sweden
1982,Centre Party,AGR,0.9,14.6,2.3,1,15.476,-14.0,1.01,15.476,Sweden
1982,Left Communists Party,LEF,0.0,10.6,13.5,1,5.561,-39.7,-23.66,5.561,Sweden
1982,Moderate Coalition Party,CON,2.9,3.6,0.7000000000000001,1,23.644,25.1,11.64,23.644,Sweden
1982,People’s Party,LIB,1.6,2.4,13.0,1,5.901,4.8,4.61,5.901,Sweden
1982,Social Democratic Labour Party,SOC,0.0,12.9,7.3,1,45.606,-18.5,-14.0,45.606,Sweden
1985,Centre Party,AGR,1.2,15.5,3.0,1,12.13,-1.1,1.01,12.13,Sweden
1985,Christian Democratic Coalition,CHR,4.545,11.364,6.818000000000001,1,0.28,-4.545,6.13,0.28,Sweden
1985,Left Communists Party,LEF,0.4,13.1,13.6,1,5.36,-36.7,-23.66,5.36,Sweden
1985,Moderate Coalition Party,CON,1.9,4.8,0.0,1,21.328000000000007,59.8,11.64,21.328000000000007,Sweden
1985,People’s Party,LIB,4.0,6.5,3.5,1,14.231,12.9,4.61,14.231,Sweden
1985,Social Democratic Labour Party,SOC,2.5,9.9,0.0,1,44.684,-21.1,-14.0,44.684,Sweden
1988,Centre Party,AGR,5.2,26.0,9.4,1,11.3,-5.3,1.01,11.3,Sweden
1988,Green Ecology Party,ECO,0.0,38.0,1.4,1,5.526,-18.4,-13.65,5.526,Sweden
1988,Left Communists Party,LEF,6.600000000000001,12.2,6.100000000000001,1,5.8439999999999985,-37.4,-23.66,5.8439999999999985,Sweden
1988,Moderate Coalition Party,CON,1.6,8.2,0.0,1,18.297,36.7,11.64,18.297,Sweden
1988,People’s Party,LIB,5.7,9.7,1.0,1,12.202,-7.7,4.61,12.202,Sweden
1988,Social Democratic Labour Party,SOC,9.5,15.9,15.9,1,43.207,-23.9,-14.0,43.207,Sweden
1991,Centre Party,AGR,1.55,22.481,11.628,1,8.503,5.426,1.01,8.503,Sweden
1991,Christian Democratic Community Party,CHR,4.545,11.364,6.818000000000001,1,7.135,-4.545,6.13,7.135,Sweden
1991,Green Ecology Party,ECO,2.299,37.931,4.598,1,3.383,-12.644,-13.65,3.383,Sweden
1991,Left Party,LEF,1.449,15.942,7.971,1,4.513,-42.754,-23.66,4.513,Sweden
1991,Liberal People’s Party,LIB,0.35700000000000004,4.2860000000000005,7.857,1,9.128,3.929,4.61,9.128,Sweden
1991,Moderate Coalition Party,CON,1.5630000000000002,3.646,2.604,1,21.924,43.75,11.64,21.924,Sweden
1991,New Democracy,SIP,0.0,3.597,2.518,1,6.732,42.806,3.36,6.732,Sweden
1991,Social Democratic Labour Party,SOC,0.0,11.538,15.385,1,37.705,-6.154,-14.0,37.705,Sweden
1994,Centre Party,AGR,0.0,21.818,18.182,1,7.653,21.818,1.01,7.653,Sweden
1994,Christian Democratic Community Party,CHR,4.651,11.628,23.256,1,4.068000000000001,13.953,6.13,4.068000000000001,Sweden
1994,Green Ecology Party,ECO,0.0,33.75,16.25,1,5.023,-6.25,-13.65,5.023,Sweden
1994,Left Party,LEF,2.273,13.068,21.023000000000003,1,6.174,-27.273000000000003,-23.66,6.174,Sweden
1994,Liberal People’s Party,LIB,1.042,3.646,26.563,1,7.192,19.271,4.61,7.192,Sweden
1994,Moderate Coalition Party,CON,1.005,3.518,1.508,1,22.38,40.201,11.64,22.38,Sweden
1994,Social Democratic Labour Party,SOC,0.0,1.942,11.165,1,45.25,23.786,-14.0,45.25,Sweden
1998,Centre Party,AGR,0.413,11.57,8.264,1,5.13,11.57,1.01,5.13,Sweden
