,partyname,yearIndex,parfamName,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
0,50Plus,2012,SIP,1.456,2.9130000000000003,3.883,1,1.885,-6.311,3.36,1.885,Netherlands
1,50Plus,2017,SIP,4.04,4.444,7.475000000000001,1,3.111,-31.111,3.36,3.111,Netherlands
2,Anti-Revolutionary Party,1946,CHR,1.5,0.0,4.5,1,12.901,21.0,6.13,12.901,Netherlands
3,Anti-Revolutionary Party,1948,CHR,1.4,0.0,4.8,1,13.209000000000001,18.5,6.13,13.209000000000001,Netherlands
4,Anti-Revolutionary Party,1952,CHR,1.9,1.2,3.1,1,11.307,15.6,6.13,11.307,Netherlands
5,Anti-Revolutionary Party,1956,CHR,1.5,2.0,1.5,1,9.909,8.5,6.13,9.909,Netherlands
6,Anti-Revolutionary Party,1959,CHR,2.1,0.0,5.600000000000001,1,9.386,16.9,6.13,9.386,Netherlands
7,Anti-Revolutionary Party,1963,CHR,1.9,0.5,4.7,1,8.721,2.4,6.13,8.721,Netherlands
8,Anti-Revolutionary Party,1967,CHR,2.8,1.0,6.4,1,9.902,-5.5,6.13,9.902,Netherlands
9,Anti-Revolutionary Party,1971,CHR,3.8,3.2,5.2,1,8.59,-18.1,6.13,8.59,Netherlands
10,Anti-Revolutionary Party,1972,CHR,5.7,7.9,6.600000000000001,1,8.84,-14.0,6.13,8.84,Netherlands
11,Catholic People’s Party,1946,CHR,1.3,0.0,7.9,1,30.805999999999997,3.9,6.13,30.805999999999997,Netherlands
12,Catholic People’s Party,1948,CHR,0.0,0.0,6.600000000000001,1,31.039,6.5,6.13,31.039,Netherlands
13,Catholic People’s Party,1952,CHR,1.3,0.6,5.5,1,28.665,19.7,6.13,28.665,Netherlands
14,Catholic People’s Party,1956,CHR,2.6,0.8,4.2,1,31.693,8.6,6.13,31.693,Netherlands
15,Catholic People’s Party,1959,CHR,3.9,1.3,2.6,1,31.601,-9.1,6.13,31.601,Netherlands
16,Catholic People’s Party,1963,CHR,7.0,0.0,6.100000000000001,1,31.881999999999998,-13.3,6.13,31.881999999999998,Netherlands
17,Catholic People’s Party,1967,CHR,4.5,0.6,3.2,1,26.503,7.2,6.13,26.503,Netherlands
18,Catholic People’s Party,1971,CHR,3.8,2.2,4.600000000000001,1,21.837,-26.2,6.13,21.837,Netherlands
19,Catholic People’s Party,1972,CHR,5.7,7.9,6.600000000000001,1,17.655,-14.0,6.13,17.655,Netherlands
20,Centre Democrats,1989,NAT,0.0,7.612,0.0,1,0.9179999999999999,3.114,10.25,0.9179999999999999,Netherlands
21,Centre Democrats,1994,NAT,0.773,7.216,0.258,1,2.5,12.629000000000001,10.25,2.5,Netherlands
22,Centre Party,1982,NAT,5.102,8.163,5.102,1,0.8310000000000001,-4.8469999999999995,10.25,0.8310000000000001,Netherlands
23,Christian Democratic Appeal,1977,CHR,2.6,5.8,3.3,1,31.886999999999997,-11.6,6.13,31.886999999999997,Netherlands
24,Christian Democratic Appeal,1981,CHR,3.1,5.100000000000001,4.0,1,30.805999999999997,-19.3,6.13,30.805999999999997,Netherlands
25,Christian Democratic Appeal,1982,CHR,2.2,7.100000000000001,5.4,1,29.386999999999997,-11.7,6.13,29.386999999999997,Netherlands
26,Christian Democratic Appeal,1986,CHR,5.600000000000001,6.9,3.3,1,34.593,-4.0,6.13,34.593,Netherlands
27,Christian Democratic Appeal,1989,CHR,3.0,12.2,3.0,1,35.313,-8.800000000000002,6.13,35.313,Netherlands
28,Christian Democratic Appeal,1994,CHR,0.7979999999999999,8.728,2.544,1,22.217,-2.594,6.13,22.217,Netherlands
29,Christian Democratic Appeal,1998,CHR,2.761,6.854,3.7969999999999997,1,18.37,-1.6269999999999998,6.13,18.37,Netherlands
30,Christian Democratic Appeal,2002,CHR,1.8869999999999998,3.628,1.742,1,27.93,2.467,6.13,27.93,Netherlands
31,Christian Democratic Appeal,2003,CHR,1.8869999999999998,3.628,1.742,1,28.65,2.467,6.13,28.65,Netherlands
32,Christian Democratic Appeal,2006,CHR,2.8760000000000003,2.247,1.8430000000000002,1,26.513,4.0,6.13,26.513,Netherlands
33,Christian Democratic Appeal,2010,CHR,2.745,3.7289999999999996,6.0070000000000014,1,13.62,9.581,6.13,13.62,Netherlands
34,Christian Democratic Appeal,2012,CHR,0.9229999999999999,1.594,3.3560000000000003,1,8.506,17.701,6.13,8.506,Netherlands
35,Christian Democratic Appeal,2017,CHR,2.4730000000000003,0.7070000000000001,2.191,1,12.379000000000001,3.6039999999999996,6.13,12.379000000000001,Netherlands
36,Christian Historical Union,1946,CHR,0.0,0.0,3.2,1,7.84,22.1,6.13,7.84,Netherlands
37,Christian Historical Union,1948,CHR,0.0,0.0,2.9,1,9.188,20.6,6.13,9.188,Netherlands
38,Christian Historical Union,1952,CHR,0.0,0.0,4.15,1,8.925000000000002,23.75,6.13,8.925000000000002,Netherlands
39,Christian Historical Union,1956,CHR,0.0,0.0,5.4,1,8.431000000000001,26.9,6.13,8.431000000000001,Netherlands
40,Christian Historical Union,1959,CHR,1.6,0.0,4.7,1,8.107999999999999,14.0,6.13,8.107999999999999,Netherlands
41,Christian Historical Union,1963,CHR,6.8,0.0,9.1,1,8.577,-2.4,6.13,8.577,Netherlands
42,Christian Historical Union,1967,CHR,3.2,0.8,4.0,1,8.142000000000001,10.4,6.13,8.142000000000001,Netherlands
43,Christian Historical Union,1971,CHR,6.100000000000001,3.1,2.4,1,6.317,-21.4,6.13,6.317,Netherlands
44,Christian Historical Union,1972,CHR,5.7,7.9,6.600000000000001,1,4.794,-14.0,6.13,4.794,Netherlands
45,Christian Union,2002,CHR,2.263,6.899,2.3,1,2.54,10.571,6.13,2.54,Netherlands
46,Christian Union,2003,CHR,0.306,5.81,3.67,1,2.13,32.416,6.13,2.13,Netherlands
47,Christian Union,2006,CHR,1.19,7.933,2.33,1,3.9739999999999998,8.825000000000003,6.13,3.9739999999999998,Netherlands
