parfamName,yearIndex,parfam,countryname,environ,culture,equality,pervote,rile,staticRile,electionDate,partyname
LEF,1946,20,Netherlands,0.8,4.0,4.0,10.6,-34.4,-23.66,May 1946,Communist Party of the Netherlands
SOC,1946,30,Netherlands,2.5,6.2,3.7,28.314,-19.8,-14.0,May 1946,Labour Party
LIB,1946,40,Netherlands,0.0,5.600000000000001,9.7,6.412999999999999,19.5,4.61,May 1946,Freedom Party
CHR,1946,50,Netherlands,0.0,1.3,7.9,30.805999999999997,3.9,6.13,May 1946,Catholic People’s Party
CHR,1946,50,Netherlands,0.0,1.5,4.5,12.901,21.0,6.13,May 1946,Anti-Revolutionary Party
CHR,1946,50,Netherlands,0.0,0.0,3.2,7.84,22.1,6.13,May 1946,Christian Historical Union
SIP,1946,95,Netherlands,0.0,0.0,4.0,2.138,56.0,3.36,May 1946,Reformed Political Party
LEF,1947,20,Netherlands,0.8,4.0,4.0,10.6,-34.4,-23.66,May 1946,Communist Party of the Netherlands
SOC,1947,30,Netherlands,2.5,6.2,3.7,28.314,-19.8,-14.0,May 1946,Labour Party
LIB,1947,40,Netherlands,0.0,5.600000000000001,9.7,6.412999999999999,19.5,4.61,May 1946,Freedom Party
CHR,1947,50,Netherlands,0.0,1.3,7.9,30.805999999999997,3.9,6.13,May 1946,Catholic People’s Party
CHR,1947,50,Netherlands,0.0,1.5,4.5,12.901,21.0,6.13,May 1946,Anti-Revolutionary Party
CHR,1947,50,Netherlands,0.0,0.0,3.2,7.84,22.1,6.13,May 1946,Christian Historical Union
SIP,1947,95,Netherlands,0.0,0.0,4.0,2.138,56.0,3.36,May 1946,Reformed Political Party
LEF,1948,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,-23.66,July 1948,Communist Party of the Netherlands
SOC,1948,30,Netherlands,1.7,2.8,5.5,25.604,-14.8,-14.0,July 1948,Labour Party
LIB,1948,40,Netherlands,0.0,4.0,16.0,7.945,20.0,4.61,July 1948,People’s Party for Freedom and Democracy
CHR,1948,50,Netherlands,0.0,0.0,6.600000000000001,31.039,6.5,6.13,July 1948,Catholic People’s Party
CHR,1948,50,Netherlands,0.0,1.4,4.8,13.209000000000001,18.5,6.13,July 1948,Anti-Revolutionary Party
CHR,1948,50,Netherlands,0.0,0.0,2.9,9.188,20.6,6.13,July 1948,Christian Historical Union
SIP,1948,95,Netherlands,1.754,0.0,3.509,2.371,54.386,3.36,July 1948,Reformed Political Party
LEF,1949,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,-23.66,July 1948,Communist Party of the Netherlands
SOC,1949,30,Netherlands,1.7,2.8,5.5,25.604,-14.8,-14.0,July 1948,Labour Party
LIB,1949,40,Netherlands,0.0,4.0,16.0,7.945,20.0,4.61,July 1948,People’s Party for Freedom and Democracy
CHR,1949,50,Netherlands,0.0,0.0,6.600000000000001,31.039,6.5,6.13,July 1948,Catholic People’s Party
CHR,1949,50,Netherlands,0.0,1.4,4.8,13.209000000000001,18.5,6.13,July 1948,Anti-Revolutionary Party
CHR,1949,50,Netherlands,0.0,0.0,2.9,9.188,20.6,6.13,July 1948,Christian Historical Union
SIP,1949,95,Netherlands,1.754,0.0,3.509,2.371,54.386,3.36,July 1948,Reformed Political Party
LEF,1950,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,-23.66,July 1948,Communist Party of the Netherlands
SOC,1950,30,Netherlands,1.7,2.8,5.5,25.604,-14.8,-14.0,July 1948,Labour Party
LIB,1950,40,Netherlands,0.0,4.0,16.0,7.945,20.0,4.61,July 1948,People’s Party for Freedom and Democracy
CHR,1950,50,Netherlands,0.0,0.0,6.600000000000001,31.039,6.5,6.13,July 1948,Catholic People’s Party
CHR,1950,50,Netherlands,0.0,1.4,4.8,13.209000000000001,18.5,6.13,July 1948,Anti-Revolutionary Party
CHR,1950,50,Netherlands,0.0,0.0,2.9,9.188,20.6,6.13,July 1948,Christian Historical Union
SIP,1950,95,Netherlands,1.754,0.0,3.509,2.371,54.386,3.36,July 1948,Reformed Political Party
LEF,1951,20,Netherlands,0.0,3.947,13.158,7.744,-31.579,-23.66,July 1948,Communist Party of the Netherlands
SOC,1951,30,Netherlands,1.7,2.8,5.5,25.604,-14.8,-14.0,July 1948,Labour Party
LIB,1951,40,Netherlands,0.0,4.0,16.0,7.945,20.0,4.61,July 1948,People’s Party for Freedom and Democracy
CHR,1951,50,Netherlands,0.0,0.0,6.600000000000001,31.039,6.5,6.13,July 1948,Catholic People’s Party
CHR,1951,50,Netherlands,0.0,1.4,4.8,13.209000000000001,18.5,6.13,July 1948,Anti-Revolutionary Party
CHR,1951,50,Netherlands,0.0,0.0,2.9,9.188,20.6,6.13,July 1948,Christian Historical Union
SIP,1951,95,Netherlands,1.754,0.0,3.509,2.371,54.386,3.36,July 1948,Reformed Political Party
SOC,1952,30,Netherlands,0.0,5.100000000000001,10.2,28.971999999999998,-22.6,-14.0,June 1952,Labour Party
LIB,1952,40,Netherlands,0.0,3.8,9.6,8.827999999999998,32.6,4.61,June 1952,People’s Party for Freedom and Democracy
CHR,1952,50,Netherlands,0.6,1.3,5.5,28.665,19.7,6.13,June 1952,Catholic People’s Party
CHR,1952,50,Netherlands,1.2,1.9,3.1,11.307,15.6,6.13,June 1952,Anti-Revolutionary Party
CHR,1952,50,Netherlands,0.0,0.0,4.15,8.925000000000002,23.75,6.13,June 1952,Christian Historical Union
SOC,1953,30,Netherlands,0.0,5.100000000000001,10.2,28.971999999999998,-22.6,-14.0,June 1952,Labour Party
LIB,1953,40,Netherlands,0.0,3.8,9.6,8.827999999999998,32.6,4.61,June 1952,People’s Party for Freedom and Democracy
CHR,1953,50,Netherlands,0.6,1.3,5.5,28.665,19.7,6.13,June 1952,Catholic People’s Party
CHR,1953,50,Netherlands,1.2,1.9,3.1,11.307,15.6,6.13,June 1952,Anti-Revolutionary Party
CHR,1953,50,Netherlands,0.0,0.0,4.15,8.925000000000002,23.75,6.13,June 1952,Christian Historical Union
SOC,1954,30,Netherlands,0.0,5.100000000000001,10.2,28.971999999999998,-22.6,-14.0,June 1952,Labour Party
LIB,1954,40,Netherlands,0.0,3.8,9.6,8.827999999999998,32.6,4.61,June 1952,People’s Party for Freedom and Democracy
CHR,1954,50,Netherlands,0.6,1.3,5.5,28.665,19.7,6.13,June 1952,Catholic People’s Party
CHR,1954,50,Netherlands,1.2,1.9,3.1,11.307,15.6,6.13,June 1952,Anti-Revolutionary Party
CHR,1954,50,Netherlands,0.0,0.0,4.15,8.925000000000002,23.75,6.13,June 1952,Christian Historical Union
SOC,1955,30,Netherlands,0.0,5.100000000000001,10.2,28.971999999999998,-22.6,-14.0,June 1952,Labour Party
LIB,1955,40,Netherlands,0.0,3.8,9.6,8.827999999999998,32.6,4.61,June 1952,People’s Party for Freedom and Democracy
CHR,1955,50,Netherlands,0.6,1.3,5.5,28.665,19.7,6.13,June 1952,Catholic People’s Party
CHR,1955,50,Netherlands,1.2,1.9,3.1,11.307,15.6,6.13,June 1952,Anti-Revolutionary Party
CHR,1955,50,Netherlands,0.0,0.0,4.15,8.925000000000002,23.75,6.13,June 1952,Christian Historical Union
SOC,1956,30,Netherlands,1.0,3.8,7.0,32.687,-21.0,-14.0,June 1956,Labour Party
LIB,1956,40,Netherlands,0.0,2.7,3.8,8.774000000000001,10.4,4.61,June 1956,People’s Party for Freedom and Democracy
CHR,1956,50,Netherlands,0.8,2.6,4.2,31.693,8.6,6.13,June 1956,Catholic People’s Party
CHR,1956,50,Netherlands,2.0,1.5,1.5,9.909,8.5,6.13,June 1956,Anti-Revolutionary Party
CHR,1956,50,Netherlands,0.0,0.0,5.4,8.431000000000001,26.9,6.13,June 1956,Christian Historical Union
SOC,1957,30,Netherlands,1.0,3.8,7.0,32.687,-21.0,-14.0,June 1956,Labour Party
