year,parfam,countryname,environ,culture,equality,pervote,rile,electionDate,partyname
1944-01-01,20,Sweden,0.0,0.0,0.0,10.3,9.6,September 1944,Communist Party of Sweden
1944-01-01,30,Sweden,0.0,0.0,5.600000000000001,46.5,-37.8,September 1944,Social Democratic Labour Party
1944-01-01,40,Sweden,0.0,0.0,1.6,12.9,9.5,September 1944,People’s Party
1944-01-01,60,Sweden,0.0,0.0,5.3,15.8,28.0,September 1944,Right Party
1944-01-01,80,Sweden,0.0,0.0,0.0,13.6,23.81,September 1944,Agrarian Party
1948-01-01,20,Sweden,0.0,0.0,6.0,6.312,-44.0,September 1948,Communist Party of Sweden
1948-01-01,30,Sweden,0.0,3.3,2.5,46.132,-33.4,September 1948,Social Democratic Labour Party
1948-01-01,40,Sweden,0.0,0.0,5.8,22.749000000000002,22.9,September 1948,People’s Party
1948-01-01,60,Sweden,0.0,0.0,0.0,12.343,56.3,September 1948,Right Party
1948-01-01,80,Sweden,0.0,0.0,2.1,12.385,-4.9,September 1948,Agrarian Party
1952-01-01,20,Sweden,0.0,0.0,1.1,4.34,-40.7,September 1952,Communist Party of Sweden
1952-01-01,30,Sweden,0.0,1.7,3.3,46.047,-28.3,September 1952,Social Democratic Labour Party
1952-01-01,40,Sweden,0.0,0.0,4.7,24.441999999999997,16.1,September 1952,People’s Party
1952-01-01,60,Sweden,0.0,0.0,0.0,14.373,40.9,September 1952,Right Party
1952-01-01,80,Sweden,1.3,1.3,4.1,10.735,1.2,September 1952,Agrarian Party
1956-01-01,20,Sweden,0.0,1.7,10.9,5.001,-46.2,September 1956,Communist Party of Sweden
1956-01-01,30,Sweden,0.0,3.5,2.9,44.581,-44.2,September 1956,Social Democratic Labour Party
1956-01-01,40,Sweden,0.7000000000000001,0.0,3.4,23.807,-17.3,September 1956,People’s Party
1956-01-01,60,Sweden,0.0,0.0,0.0,17.108,53.7,September 1956,Right Party
1956-01-01,80,Sweden,0.9,0.9,1.8,9.45,1.8,September 1956,Agrarian Party
1958-01-01,20,Sweden,1.9,14.5,4.0,3.364,-41.7,June 1958,Communist Party of Sweden
1958-01-01,30,Sweden,0.0,0.0,3.2,46.216,-24.7,June 1958,Social Democratic Labour Party
1958-01-01,40,Sweden,0.0,0.0,0.0,18.209,21.6,June 1958,People’s Party
1958-01-01,60,Sweden,0.0,0.0,0.0,19.518,56.1,June 1958,Right Party
1958-01-01,80,Sweden,0.0,1.6,1.6,12.662,11.9,June 1958,Centre Party
1960-01-01,20,Sweden,0.0,0.0,2.4,4.479,-40.5,September 1960,Communist Party of Sweden
1960-01-01,30,Sweden,0.0,0.3,2.3,47.788999999999994,-61.4,September 1960,Social Democratic Labour Party
1960-01-01,40,Sweden,0.0,0.0,6.5,17.492,8.6,September 1960,People’s Party
1960-01-01,60,Sweden,0.0,0.0,1.1,16.557000000000002,34.8,September 1960,Right Party
1960-01-01,80,Sweden,0.0,1.9,1.2,13.610999999999999,6.0,September 1960,Centre Party
1964-01-01,20,Sweden,0.0,0.0,0.0,5.223,-50.0,September 1964,Communist Party of Sweden
1964-01-01,30,Sweden,0.0,0.3,7.2,47.269,-33.6,September 1964,Social Democratic Labour Party
1964-01-01,40,Sweden,0.0,5.3,10.6,16.975,-48.9,September 1964,People’s Party
1964-01-01,60,Sweden,0.0,0.0,0.0,13.722000000000001,60.4,September 1964,Right Party
1964-01-01,80,Sweden,4.681,3.404,0.851,13.181,-14.043,September 1964,Centre Party
1968-01-01,20,Sweden,1.5,0.0,12.1,3.0060000000000002,-46.9,September 1968,Left Communists Party
1968-01-01,30,Sweden,5.4,0.0,12.5,50.11600000000001,-42.9,September 1968,Social Democratic Labour Party
1968-01-01,40,Sweden,0.0,0.0,1.0,14.255999999999998,-59.9,September 1968,People’s Party
